triple_index,kind,subject,relation,object,evidence,verdict,revise_subtype,suggested_subject,suggested_relation,suggested_object,justification,confidence,stage_b_justification,stage_b_confidence,flags
0,relation,Decompressive Craniectomy,has outcome,Outcome,The outcome was captured at six months using the extended Glasgow Outcome Scale (GOSE).,accept_direct,,,,,Decompressive Craniectomy hasOutcome Outcome is a valid direct relationship as surgical procedures directly relate to patient outcomes.,0.95,,,
1,relation,Traumatic Brain Injury,targets condition,Intracranial Pressure (ICP),one of the cornerstones of brain-protective strategies is to reduce and control intracranial pressure (ICP),accept_direct,,,,,The relationship 'Traumatic Brain Injury targets condition Intracranial Pressure' is valid as ICP is a critical parameter influenced by TBI in neurointensive care.,0.95,,,
2,relation,Intracranial Hypertension,is associated with,Mortality,Uncontrollable intracranial hypertension is a major cause of death in patients with severe traumatic brain injury.,accept_direct,,,,,"Intracranial Hypertension is associated with Mortality, as the evidence states it is a major cause of death in severe traumatic brain injury patients.",0.9,,,
3,relation,Intracranial Hypertension,targets condition,Decompressive Craniectomy,patients with intracranial hypertension treated conservatively were excluded.,accept_direct,,,,,Intracranial Hypertension targets condition Decompressive Craniectomy directly as a valid treatment for elevated intracranial pressure in TBI patients.,0.9,,,
4,relation,GCS Assessment,assesses,Motor Impairment,The Glasgow Motors Score was used for assessing motor impairment.,accept_direct,,,,,"GCS Assessment assesses Motor Impairment directly, as it is used to evaluate neurological status in brain injury patients.",0.95,,,
5,relation,Pupil Assessment,monitoring indicates condition,Motor Impairment,Pupil abnormalities were seen in 34.4% of our patients.,reject,,,,,The relationship 'monitoring indicates condition' does not hold between 'Pupil Assessment' and 'Motor Impairment'; they are not directly related as per the domain context.,0.7,,,low_evidence
6,relation,Secondary Insult,is associated with,Hypotension,"Hypoxia and arterial hypotension were found in 10.0% and 6.1%, respectively.",accept_direct,,,,,"Secondary Insult is associated with Hypotension as both are valid subclasses under Condition, and the relationship holds directly between these classes.",0.9,,,
7,relation,Traumatic Brain Injury,has outcome,Outcome,A more extensive description is provided in the Supplementary Appendix.,accept_direct,,,,,Traumatic Brain Injury hasOutcome Outcome is a valid relationship as TBI is associated with patient outcomes in neurointensive care.,0.9,,,
8,relation,Traumatic Brain Injury,is treated with,Decompressive Craniectomy,Decompressive craniectomy (DC) as a last-tier intervention,accept_direct,,,,,"Traumatic Brain Injury is treated with Decompressive Craniectomy, which is a valid surgical procedure for TBI management in neurointensive care.",0.95,,,
9,relation,Decompressive Craniectomy,is monitored by,Intracranial Pressure (ICP),Mean intracranial pressure (ICP) pre-Decompressive craniectomy (DC),accept_indirect,,,,,Decompressive Craniectomy indirectly relates to Intracranial Pressure via the monitoring of ICP post-surgery; it is a critical parameter in neurological assessments.,0.7,,,low_evidence
10,relation,Intracranial Pressure (ICP),is influenced by,Cerebral Perfusion Pressure (CPP),Mean intracranial pressure (ICP)/Cerebral Perfusion Pressure (CPP),accept_direct,,,,,The relationship 'Intracranial Pressure (ICP) is influenced by Cerebral Perfusion Pressure (CPP)' is clinically valid as CPP directly affects ICP in neurointensive care.,0.95,,,
11,relation,Decompressive Craniectomy,is administered during,Barbiturates,Decompressive craniectomy (DC) + thiopental can be referring to barbiturate administration,accept_indirect,,,,,"Decompressive Craniectomy is associated with Barbiturates via the relation of isAdministeredDuring, as Barbiturates are used for sedation during such procedures.",0.7,,,low_evidence
12,relation,Decompressive Craniectomy,targets condition,Traumatic Intracranial Hypertension,Decompressive craniectomy (DC) in a patient-tailored combination with other second and third-tier therapies should maintain its place in the management of severe traumatic intracranial hypertension.,accept_direct,,,,,"Decompressive Craniectomy targets Traumatic Intracranial Hypertension as a valid surgical procedure for managing this condition, supported by the evidence provided.",0.9,,,
13,relation,Decompressive Craniectomy,has clinical assessment,GOSe Outcome,outcome was only evaluated in terms of robust extended Glasgow Outcome Scores,revise,4.4,Decompressive Craniectomy,hasClinicalAssessment,GOSe Outcome,The relation 'has clinical assessment' should be 'hasClinicalAssessment' as it must follow the BrainIT relation naming conventions.,0.9,The relation 'has clinical assessment' should be 'hasClinicalAssessment' to follow BrainIT naming conventions.,1.0,
14,relation,Decompressive Craniectomy,reduces,Mean Intracranial Pressure,it effectively reduces Mean intracranial pressure (ICP),accept_direct,,,,,"Decompressive Craniectomy reduces Mean Intracranial Pressure is a valid direct relationship as the procedure aims to relieve pressure on the brain, directly affecting ICP.",0.95,,,
15,relation,Intracranial Pressure (ICP),has monitoring data,Traumatic Brain Injury,The BESTIntracranial pressure (ICP) monitoring is still considered to provide important information to detect and prevent secondary injury after severe Traumatic brain injury (TBI).,accept_direct,,,,,Intracranial Pressure (ICP) has monitoring data related to Traumatic Brain Injury (TBI) as ICP is a critical parameter monitored in TBI cases.,0.9,,,
16,relation,Intracranial Hypertension,receives therapy,GOSe Outcome,"Intracranial pressures above 20 mmHg lasting longer than 37 min in adults, and longer than 8 min in children, are associated with worse outcomes.",revise,4.4,Intracranial Hypertension,isInfluencedBy,Secondary Insult Therapy,"The relation 'receivesTherapy' requires a therapy as the object; 'GOSe Outcome' is an outcome, not a therapy, so it should be replaced with a valid therapy class.",0.9,The relation 'receivesTherapy' is incorrect; 'Intracranial Hypertension' is influenced by 'Secondary Insult Therapy' instead.,0.9,
17,relation,Cerebral Perfusion Pressure (CPP),has clinical assessment,Intracranial Hypertension,"When the cerebral perfusion pressure is below 50 mmHg, all intracranial pressure insults, regardless of duration, are associated with worse outcome.",revise,4.4,Cerebral Perfusion Pressure,isMonitoredBy,Intracranial Hypertension,The relation 'has clinical assessment' should be 'isMonitoredBy' as CPP is monitored to assess Intracranial Hypertension.,0.85,The relation 'has clinical assessment' should be 'isMonitoredBy' as CPP is monitored to assess Intracranial Hypertension.,1.0,
18,relation,Intracranial Pressure (ICP),has monitoring data,Monitoring Data,The BESTIntracranial pressure (ICP) and mean arterial blood pressure (MAP) monitoring data,accept_direct,,,,,Intracranial Pressure (ICP) hasMonitoringData Monitoring Data is valid as ICP is a core monitoring parameter and falls under the Monitoring Data class.,0.9,,,
19,relation,Monitoring Data,monitoring indicates condition,Condition,the percentage of monitoring time in the red zone during the first day only was a significant independent predictor of mortality,reject,,,,,"The relation 'monitoring indicates condition' is semantically incorrect; monitoring data does not indicate a condition directly, and no small edit would fix it.",0.85,,,
20,relation,Intracranial Pressure (ICP),associated with condition,Condition,"when Cerebral Perfusion Pressure (CPP) was below 50 mmHg, almost all The BESTIntracranial pressure (ICP) insults were associated with worse outcome",reject,,,,,'Intracranial Pressure (ICP) associated with Condition' is incorrect as Condition is too generic; ICP does not specifically associate with a type of stroke.,0.7,,,low_evidence
21,relation,Traumatic Brain Injury,has monitoring data,Monitoring Data,"The present study autoregulation is intact, the transition curve shifts to the right.",accept_direct,,,,,"The relationship 'Traumatic Brain Injury has monitoring data Monitoring Data' is valid as TBI is monitored through various physiological parameters, which are classified under Monitoring Data.",0.9,,,
22,relation,Traumatic Brain Injury,is associated with,Secondary Brain Injury,"Cerebrovascular pressure autoregulation is often impaired in severe Traumatic brain injury (TBI), and such impairment is such as the relationship between physiological thresholds and outcome.",accept_direct,,,,,Traumatic Brain Injury is associated with Secondary Brain Injury as a valid clinical relationship in neurointensive care.,0.95,,,
23,relation,Cerebral Perfusion Pressure (CPP),receives therapy,Traumatic Brain Injury,"One would expect such change in recommendation to be followed, and hence to lead to alterations in Cerebral Perfusion Pressure (CPP) policy across centres.",revise,4.4,Cerebral Perfusion Pressure (CPP),assesses,Traumatic Brain Injury,"Cerebral Perfusion Pressure (CPP) is a parameter, not a therapy; it should be linked to a therapy class instead of receiving therapy.",0.85,"Cerebral Perfusion Pressure (CPP) assesses Traumatic Brain Injury, correcting the relation from 'receives therapy' to 'assesses'.",0.9,
24,relation,Cerebral Perfusion Pressure (CPP),has monitoring data,Monitoring Data,Cerebral perfusion pressure (CPP 1/4 Blood Pressure (BP)-ICP) monitoring is a good example.,accept_direct,,,,,"Cerebral Perfusion Pressure (CPP) is a Core Monitoring Parameter, and Monitoring Data is the top-level class for all monitored values, making the relationship valid.",0.9,,,
