metric,value
coverage,0.8817204301075269
precision,0.5
recall,0.8817204301075269
errors,{"hallucinations": 0, "plausible_out_of_ontology": 82, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,135
structural.hierarchy_coverage,0.8719512195121951
extraction_only.coverage,0.43010752688172044
extraction_only.precision,0.29850746268656714
extraction_only.recall,0.43010752688172044
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,4
extraction_only.structural.hierarchy_coverage,0.05223880597014925
extraction_only.relations.n_generated,50
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.98
extraction_only.relations.recall,0.4444
extraction_only.relations.per_gold_relation.has demographic data,True
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.8817204301075269
clinical_only.precision,0.5
clinical_only.recall,0.8817204301075269
relations.n_generated,37
relations.n_gold,18
relations.precision,0.8378
relations.recall,0.6111
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,134
hierarchy.n_gold,76
hierarchy.precision,0.4552
hierarchy.recall,0.8026
hierarchy.matched,61
by_stratum.core.n_generated,108
by_stratum.core.precision,0.3425925925925926
by_stratum.core.recall,0.3978494623655914
by_stratum.core.coverage,0.3978494623655914
by_stage.extraction.n_classes,134
by_stage.extraction.n_relations,50
by_stage.extraction.n_hierarchy,4
by_stage.extraction.coverage,0.4301
by_stage.extraction.precision,0.2985
by_stage.extraction.recall,0.4301
by_stage.extraction.relation_recall,0.4444
by_stage.extraction.relation_precision,0.98
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,144
by_stage.after_text_grounded.n_relations,58
by_stage.after_text_grounded.n_hierarchy,91
by_stage.after_text_grounded.coverage,0.4409
by_stage.after_text_grounded.precision,0.2847
by_stage.after_text_grounded.recall,0.4409
by_stage.after_text_grounded.relation_recall,0.4444
by_stage.after_text_grounded.relation_precision,0.9655
by_stage.after_text_grounded.hierarchy_recall,0.1579
by_stage.after_text_grounded.hierarchy_precision,0.1319
by_stage.after_sgc.n_classes,171
by_stage.after_sgc.n_relations,64
by_stage.after_sgc.n_hierarchy,136
by_stage.after_sgc.coverage,0.6559
by_stage.after_sgc.precision,0.3567
by_stage.after_sgc.recall,0.6559
by_stage.after_sgc.relation_recall,0.7222
by_stage.after_sgc.relation_precision,0.9688
by_stage.after_sgc.hierarchy_recall,0.75
by_stage.after_sgc.hierarchy_precision,0.4191
by_stage.after_cleanup.n_classes,178
by_stage.after_cleanup.n_relations,27
by_stage.after_cleanup.n_hierarchy,127
by_stage.after_cleanup.coverage,0.8817
by_stage.after_cleanup.precision,0.4607
by_stage.after_cleanup.recall,0.8817
by_stage.after_cleanup.relation_recall,0.6111
by_stage.after_cleanup.relation_precision,0.9259
by_stage.after_cleanup.hierarchy_recall,0.75
by_stage.after_cleanup.hierarchy_precision,0.4488
by_stage.after_orphan_rescue.n_classes,179
by_stage.after_orphan_rescue.n_relations,39
by_stage.after_orphan_rescue.n_hierarchy,129
by_stage.after_orphan_rescue.coverage,0.8817
by_stage.after_orphan_rescue.precision,0.4581
by_stage.after_orphan_rescue.recall,0.8817
by_stage.after_orphan_rescue.relation_recall,0.6111
by_stage.after_orphan_rescue.relation_precision,0.8205
by_stage.after_orphan_rescue.hierarchy_recall,0.75
by_stage.after_orphan_rescue.hierarchy_precision,0.4419
by_stage.after_llm_refinement.n_classes,177
by_stage.after_llm_refinement.n_relations,37
by_stage.after_llm_refinement.n_hierarchy,129
by_stage.after_llm_refinement.coverage,0.8817
by_stage.after_llm_refinement.precision,0.4633
by_stage.after_llm_refinement.recall,0.8817
by_stage.after_llm_refinement.relation_recall,0.6111
by_stage.after_llm_refinement.relation_precision,0.8378
by_stage.after_llm_refinement.hierarchy_recall,0.75
by_stage.after_llm_refinement.hierarchy_precision,0.4453
by_stage.after_rule_based.n_classes,164
by_stage.after_rule_based.n_relations,37
by_stage.after_rule_based.n_hierarchy,135
by_stage.after_rule_based.coverage,0.8817
by_stage.after_rule_based.precision,0.5
by_stage.after_rule_based.recall,0.8817
by_stage.after_rule_based.relation_recall,0.6111
by_stage.after_rule_based.relation_precision,0.8378
by_stage.after_rule_based.hierarchy_recall,0.8026
by_stage.after_rule_based.hierarchy_precision,0.4552
