metric,value
coverage,0.4946236559139785
precision,0.6216216216216216
recall,0.4946236559139785
errors,{"hallucinations": 0, "plausible_out_of_ontology": 28, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,40
structural.hierarchy_coverage,0.5945945945945946
extraction_only.coverage,0.5376344086021505
extraction_only.precision,0.5617977528089888
extraction_only.recall,0.5376344086021505
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,30
extraction_only.structural.hierarchy_coverage,0.34831460674157305
extraction_only.relations.n_generated,51
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3725
extraction_only.relations.recall,0.4444
extraction_only.relations.per_gold_relation.has demographic data,True
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.4946236559139785
clinical_only.precision,0.6216216216216216
clinical_only.recall,0.4946236559139785
relations.n_generated,25
relations.n_gold,18
relations.precision,0.56
relations.recall,0.4444
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,39
hierarchy.n_gold,76
hierarchy.precision,0.4872
hierarchy.recall,0.25
hierarchy.matched,19
by_stratum.core.n_generated,60
by_stratum.core.precision,0.6833333333333333
by_stratum.core.recall,0.44086021505376344
by_stratum.core.coverage,0.44086021505376344
by_stage.extraction.n_classes,89
by_stage.extraction.n_relations,51
by_stage.extraction.n_hierarchy,30
by_stage.extraction.coverage,0.5376
by_stage.extraction.precision,0.5618
by_stage.extraction.recall,0.5376
by_stage.extraction.relation_recall,0.5
by_stage.extraction.relation_precision,0.3333
by_stage.extraction.hierarchy_recall,0.0789
by_stage.extraction.hierarchy_precision,0.2069
by_stage.after_text_grounded.n_classes,98
by_stage.after_text_grounded.n_relations,56
by_stage.after_text_grounded.n_hierarchy,66
by_stage.after_text_grounded.coverage,0.5699
by_stage.after_text_grounded.precision,0.5408
by_stage.after_text_grounded.recall,0.5699
by_stage.after_text_grounded.relation_recall,0.5
by_stage.after_text_grounded.relation_precision,0.3214
by_stage.after_text_grounded.hierarchy_recall,0.2368
by_stage.after_text_grounded.hierarchy_precision,0.2769
by_stage.after_cleanup.n_classes,74
by_stage.after_cleanup.n_relations,23
by_stage.after_cleanup.n_hierarchy,41
by_stage.after_cleanup.coverage,0.5054
by_stage.after_cleanup.precision,0.6351
by_stage.after_cleanup.recall,0.5054
by_stage.after_cleanup.relation_recall,0.3889
by_stage.after_cleanup.relation_precision,0.5652
by_stage.after_cleanup.hierarchy_recall,0.25
by_stage.after_cleanup.hierarchy_precision,0.475
by_stage.after_orphan_rescue.n_classes,75
by_stage.after_orphan_rescue.n_relations,26
by_stage.after_orphan_rescue.n_hierarchy,41
by_stage.after_orphan_rescue.coverage,0.5054
by_stage.after_orphan_rescue.precision,0.6267
by_stage.after_orphan_rescue.recall,0.5054
by_stage.after_orphan_rescue.relation_recall,0.4444
by_stage.after_orphan_rescue.relation_precision,0.5385
by_stage.after_orphan_rescue.hierarchy_recall,0.25
by_stage.after_orphan_rescue.hierarchy_precision,0.475
by_stage.after_llm_refinement.n_classes,74
by_stage.after_llm_refinement.n_relations,25
by_stage.after_llm_refinement.n_hierarchy,40
by_stage.after_llm_refinement.coverage,0.4946
by_stage.after_llm_refinement.precision,0.6216
by_stage.after_llm_refinement.recall,0.4946
by_stage.after_llm_refinement.relation_recall,0.4444
by_stage.after_llm_refinement.relation_precision,0.56
by_stage.after_llm_refinement.hierarchy_recall,0.25
by_stage.after_llm_refinement.hierarchy_precision,0.4872
