metric,value
coverage,0.40860215053763443
precision,0.5757575757575758
recall,0.40860215053763443
errors,{"hallucinations": 0, "plausible_out_of_ontology": 28, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,47
structural.hierarchy_coverage,0.9090909090909091
extraction_only.coverage,0.15053763440860216
extraction_only.precision,0.3783783783783784
extraction_only.recall,0.15053763440860216
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,8
extraction_only.structural.hierarchy_coverage,0.3783783783783784
extraction_only.relations.n_generated,21
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.5238
extraction_only.relations.recall,0.4444
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,False
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,True
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.40860215053763443
clinical_only.precision,0.5757575757575758
clinical_only.recall,0.40860215053763443
relations.n_generated,22
relations.n_gold,18
relations.precision,0.7727
relations.recall,0.6667
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,True
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,47
hierarchy.n_gold,76
hierarchy.precision,0.3191
hierarchy.recall,0.1974
hierarchy.matched,15
by_stratum.core.n_generated,29
by_stratum.core.precision,0.4827586206896552
by_stratum.core.recall,0.15053763440860216
by_stratum.core.coverage,0.15053763440860216
by_stage.extraction.n_classes,37
by_stage.extraction.n_relations,21
by_stage.extraction.n_hierarchy,8
by_stage.extraction.coverage,0.1505
by_stage.extraction.precision,0.3784
by_stage.extraction.recall,0.1505
by_stage.extraction.relation_recall,0.4444
by_stage.extraction.relation_precision,0.5238
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,70
by_stage.after_text_grounded.n_relations,32
by_stage.after_text_grounded.n_hierarchy,41
by_stage.after_text_grounded.coverage,0.4194
by_stage.after_text_grounded.precision,0.5571
by_stage.after_text_grounded.recall,0.4194
by_stage.after_text_grounded.relation_recall,0.7222
by_stage.after_text_grounded.relation_precision,0.6562
by_stage.after_text_grounded.hierarchy_recall,0.1974
by_stage.after_text_grounded.hierarchy_precision,0.3659
by_stage.after_cleanup.n_classes,65
by_stage.after_cleanup.n_relations,22
by_stage.after_cleanup.n_hierarchy,37
by_stage.after_cleanup.coverage,0.4086
by_stage.after_cleanup.precision,0.5846
by_stage.after_cleanup.recall,0.4086
by_stage.after_cleanup.relation_recall,0.6667
by_stage.after_cleanup.relation_precision,0.7727
by_stage.after_cleanup.hierarchy_recall,0.1842
by_stage.after_cleanup.hierarchy_precision,0.3784
by_stage.after_orphan_rescue.n_classes,66
by_stage.after_orphan_rescue.n_relations,22
by_stage.after_orphan_rescue.n_hierarchy,47
by_stage.after_orphan_rescue.coverage,0.4086
by_stage.after_orphan_rescue.precision,0.5758
by_stage.after_orphan_rescue.recall,0.4086
by_stage.after_orphan_rescue.relation_recall,0.6667
by_stage.after_orphan_rescue.relation_precision,0.7727
by_stage.after_orphan_rescue.hierarchy_recall,0.1974
by_stage.after_orphan_rescue.hierarchy_precision,0.3191
by_stage.after_llm_refinement.n_classes,66
by_stage.after_llm_refinement.n_relations,22
by_stage.after_llm_refinement.n_hierarchy,47
by_stage.after_llm_refinement.coverage,0.4086
by_stage.after_llm_refinement.precision,0.5758
by_stage.after_llm_refinement.recall,0.4086
by_stage.after_llm_refinement.relation_recall,0.6667
by_stage.after_llm_refinement.relation_precision,0.7727
by_stage.after_llm_refinement.hierarchy_recall,0.1974
by_stage.after_llm_refinement.hierarchy_precision,0.3191
