metric,value
coverage,0.40860215053763443
precision,0.6666666666666666
recall,0.40860215053763443
errors,{"hallucinations": 0, "plausible_out_of_ontology": 19, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,24
structural.hierarchy_coverage,0.49122807017543857
extraction_only.coverage,0.3763440860215054
extraction_only.precision,0.4268292682926829
extraction_only.recall,0.3763440860215054
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,12
extraction_only.structural.hierarchy_coverage,0.18292682926829268
extraction_only.relations.n_generated,54
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.4259
extraction_only.relations.recall,0.1111
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.40860215053763443
clinical_only.precision,0.6666666666666666
clinical_only.recall,0.40860215053763443
relations.n_generated,20
relations.n_gold,18
relations.precision,0.75
relations.recall,0.2222
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,24
hierarchy.n_gold,76
hierarchy.precision,0.375
hierarchy.recall,0.1184
hierarchy.matched,9
by_stratum.core.n_generated,48
by_stratum.core.precision,0.6458333333333334
by_stratum.core.recall,0.3333333333333333
by_stratum.core.coverage,0.3333333333333333
by_stage.extraction.n_classes,82
by_stage.extraction.n_relations,54
by_stage.extraction.n_hierarchy,12
by_stage.extraction.coverage,0.3763
by_stage.extraction.precision,0.4268
by_stage.extraction.recall,0.3763
by_stage.extraction.relation_recall,0.1111
by_stage.extraction.relation_precision,0.4259
by_stage.extraction.hierarchy_recall,0.0263
by_stage.extraction.hierarchy_precision,0.1667
by_stage.after_text_grounded.n_classes,88
by_stage.after_text_grounded.n_relations,60
by_stage.after_text_grounded.n_hierarchy,70
by_stage.after_text_grounded.coverage,0.4301
by_stage.after_text_grounded.precision,0.4545
by_stage.after_text_grounded.recall,0.4301
by_stage.after_text_grounded.relation_recall,0.2778
by_stage.after_text_grounded.relation_precision,0.45
by_stage.after_text_grounded.hierarchy_recall,0.2632
by_stage.after_text_grounded.hierarchy_precision,0.2857
by_stage.after_cleanup.n_classes,60
by_stage.after_cleanup.n_relations,18
by_stage.after_cleanup.n_hierarchy,21
by_stage.after_cleanup.coverage,0.3978
by_stage.after_cleanup.precision,0.6167
by_stage.after_cleanup.recall,0.3978
by_stage.after_cleanup.relation_recall,0.2222
by_stage.after_cleanup.relation_precision,0.7222
by_stage.after_cleanup.hierarchy_recall,0.1184
by_stage.after_cleanup.hierarchy_precision,0.4286
by_stage.after_orphan_rescue.n_classes,61
by_stage.after_orphan_rescue.n_relations,20
by_stage.after_orphan_rescue.n_hierarchy,25
by_stage.after_orphan_rescue.coverage,0.4086
by_stage.after_orphan_rescue.precision,0.623
by_stage.after_orphan_rescue.recall,0.4086
by_stage.after_orphan_rescue.relation_recall,0.2222
by_stage.after_orphan_rescue.relation_precision,0.75
by_stage.after_orphan_rescue.hierarchy_recall,0.1184
by_stage.after_orphan_rescue.hierarchy_precision,0.36
by_stage.after_llm_refinement.n_classes,57
by_stage.after_llm_refinement.n_relations,20
by_stage.after_llm_refinement.n_hierarchy,24
by_stage.after_llm_refinement.coverage,0.4086
by_stage.after_llm_refinement.precision,0.6667
by_stage.after_llm_refinement.recall,0.4086
by_stage.after_llm_refinement.relation_recall,0.2222
by_stage.after_llm_refinement.relation_precision,0.75
by_stage.after_llm_refinement.hierarchy_recall,0.1184
by_stage.after_llm_refinement.hierarchy_precision,0.375
