metric,value
coverage,0.8194444444444444
precision,1.0
recall,0.8194444444444444
errors,{"hallucinations": 0, "plausible_out_of_ontology": 0, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,54
structural.hierarchy_coverage,1.0677966101694916
extraction_only.coverage,0.5833333333333334
extraction_only.precision,0.9333333333333333
extraction_only.recall,0.5833333333333334
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,27
extraction_only.structural.hierarchy_coverage,0.7555555555555555
extraction_only.relations.n_generated,7
extraction_only.relations.n_gold,16
extraction_only.relations.precision,1.0
extraction_only.relations.recall,0.3125
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,True
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.8194444444444444
clinical_only.precision,1.0
clinical_only.recall,0.8194444444444444
relations.n_generated,10
relations.n_gold,16
relations.precision,1.0
relations.recall,0.625
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,True
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,54
hierarchy.n_gold,57
hierarchy.precision,1.0
hierarchy.recall,0.9474
hierarchy.matched,54
by_stratum.core.n_generated,41
by_stratum.core.precision,1.0
by_stratum.core.recall,0.5694444444444444
by_stratum.core.coverage,0.5694444444444444
by_stage.extraction.n_classes,45
by_stage.extraction.n_relations,7
by_stage.extraction.n_hierarchy,27
by_stage.extraction.coverage,0.5833
by_stage.extraction.precision,0.9333
by_stage.extraction.recall,0.5833
by_stage.extraction.relation_recall,0.3125
by_stage.extraction.relation_precision,1.0
by_stage.extraction.hierarchy_recall,0.0175
by_stage.extraction.hierarchy_precision,0.037
by_stage.after_sgc.n_classes,77
by_stage.after_sgc.n_relations,15
by_stage.after_sgc.n_hierarchy,46
by_stage.after_sgc.coverage,1.0
by_stage.after_sgc.precision,0.961
by_stage.after_sgc.recall,1.0
by_stage.after_sgc.relation_recall,0.8125
by_stage.after_sgc.relation_precision,1.0
by_stage.after_sgc.hierarchy_recall,0.3509
by_stage.after_sgc.hierarchy_precision,0.4348
by_stage.after_cleanup.n_classes,73
by_stage.after_cleanup.n_relations,10
by_stage.after_cleanup.n_hierarchy,19
by_stage.after_cleanup.coverage,0.9722
by_stage.after_cleanup.precision,0.9589
by_stage.after_cleanup.recall,0.9722
by_stage.after_cleanup.relation_recall,0.625
by_stage.after_cleanup.relation_precision,1.0
by_stage.after_cleanup.hierarchy_recall,0.3333
by_stage.after_cleanup.hierarchy_precision,1.0
by_stage.after_rule_based.n_classes,70
by_stage.after_rule_based.n_relations,10
by_stage.after_rule_based.n_hierarchy,54
by_stage.after_rule_based.coverage,0.9722
by_stage.after_rule_based.precision,1.0
by_stage.after_rule_based.recall,0.9722
by_stage.after_rule_based.relation_recall,0.625
by_stage.after_rule_based.relation_precision,1.0
by_stage.after_rule_based.hierarchy_recall,0.9474
by_stage.after_rule_based.hierarchy_precision,1.0
by_stage.after_gold_filter.n_classes,59
by_stage.after_gold_filter.n_relations,10
by_stage.after_gold_filter.n_hierarchy,54
by_stage.after_gold_filter.coverage,0.8194
by_stage.after_gold_filter.precision,1.0
by_stage.after_gold_filter.recall,0.8194
by_stage.after_gold_filter.relation_recall,0.625
by_stage.after_gold_filter.relation_precision,1.0
by_stage.after_gold_filter.hierarchy_recall,0.9474
by_stage.after_gold_filter.hierarchy_precision,1.0
