metric,value
coverage,0.6774193548387096
precision,0.6774193548387096
recall,0.6774193548387096
errors,{"hallucinations": 0, "plausible_out_of_ontology": 30, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,69
structural.hierarchy_coverage,0.7849462365591398
extraction_only.coverage,0.2903225806451613
extraction_only.precision,0.3333333333333333
extraction_only.recall,0.2903225806451613
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,4
extraction_only.structural.hierarchy_coverage,0.09876543209876543
extraction_only.relations.n_generated,74
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.473
extraction_only.relations.recall,0.6111
extraction_only.relations.per_gold_relation.has demographic data,True
extraction_only.relations.per_gold_relation.has surgical procedure,True
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.6774193548387096
clinical_only.precision,0.6774193548387096
clinical_only.recall,0.6774193548387096
relations.n_generated,57
relations.n_gold,18
relations.precision,0.6491
relations.recall,0.8333
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,69
hierarchy.n_gold,76
hierarchy.precision,0.5507
hierarchy.recall,0.5
hierarchy.matched,38
by_stratum.core.n_generated,50
by_stratum.core.precision,0.52
by_stratum.core.recall,0.27956989247311825
by_stratum.core.coverage,0.27956989247311825
by_stage.extraction.n_classes,81
by_stage.extraction.n_relations,74
by_stage.extraction.n_hierarchy,4
by_stage.extraction.coverage,0.2903
by_stage.extraction.precision,0.3333
by_stage.extraction.recall,0.2903
by_stage.extraction.relation_recall,0.6111
by_stage.extraction.relation_precision,0.4459
by_stage.extraction.hierarchy_recall,0.0263
by_stage.extraction.hierarchy_precision,0.5
by_stage.after_text_grounded.n_classes,86
by_stage.after_text_grounded.n_relations,84
by_stage.after_text_grounded.n_hierarchy,56
by_stage.after_text_grounded.coverage,0.3118
by_stage.after_text_grounded.precision,0.3372
by_stage.after_text_grounded.recall,0.3118
by_stage.after_text_grounded.relation_recall,0.6111
by_stage.after_text_grounded.relation_precision,0.5119
by_stage.after_text_grounded.hierarchy_recall,0.1316
by_stage.after_text_grounded.hierarchy_precision,0.1786
by_stage.after_sgc.n_classes,156
by_stage.after_sgc.n_relations,99
by_stage.after_sgc.n_hierarchy,86
by_stage.after_sgc.coverage,1.0
by_stage.after_sgc.precision,0.5962
by_stage.after_sgc.recall,1.0
by_stage.after_sgc.relation_recall,1.0
by_stage.after_sgc.relation_precision,0.5859
by_stage.after_sgc.hierarchy_recall,0.5263
by_stage.after_sgc.hierarchy_precision,0.4651
by_stage.after_cleanup.n_classes,110
by_stage.after_cleanup.n_relations,55
by_stage.after_cleanup.n_hierarchy,57
by_stage.after_cleanup.coverage,0.6774
by_stage.after_cleanup.precision,0.5727
by_stage.after_cleanup.recall,0.6774
by_stage.after_cleanup.relation_recall,0.8333
by_stage.after_cleanup.relation_precision,0.6545
by_stage.after_cleanup.hierarchy_recall,0.3684
by_stage.after_cleanup.hierarchy_precision,0.4912
by_stage.after_orphan_rescue.n_classes,110
by_stage.after_orphan_rescue.n_relations,57
by_stage.after_orphan_rescue.n_hierarchy,59
by_stage.after_orphan_rescue.coverage,0.6774
by_stage.after_orphan_rescue.precision,0.5727
by_stage.after_orphan_rescue.recall,0.6774
by_stage.after_orphan_rescue.relation_recall,0.8333
by_stage.after_orphan_rescue.relation_precision,0.6491
by_stage.after_orphan_rescue.hierarchy_recall,0.3684
by_stage.after_orphan_rescue.hierarchy_precision,0.4746
by_stage.after_llm_refinement.n_classes,110
by_stage.after_llm_refinement.n_relations,57
by_stage.after_llm_refinement.n_hierarchy,58
by_stage.after_llm_refinement.coverage,0.6774
by_stage.after_llm_refinement.precision,0.5727
by_stage.after_llm_refinement.recall,0.6774
by_stage.after_llm_refinement.relation_recall,0.8333
by_stage.after_llm_refinement.relation_precision,0.6491
by_stage.after_llm_refinement.hierarchy_recall,0.3684
by_stage.after_llm_refinement.hierarchy_precision,0.4828
by_stage.after_rule_based.n_classes,93
by_stage.after_rule_based.n_relations,57
by_stage.after_rule_based.n_hierarchy,69
by_stage.after_rule_based.coverage,0.6774
by_stage.after_rule_based.precision,0.6774
by_stage.after_rule_based.recall,0.6774
by_stage.after_rule_based.relation_recall,0.8333
by_stage.after_rule_based.relation_precision,0.6491
by_stage.after_rule_based.hierarchy_recall,0.5
by_stage.after_rule_based.hierarchy_precision,0.5507
