metric,value
coverage,0.3333333333333333
precision,0.15979381443298968
recall,0.3333333333333333
errors,{"hallucinations": 0, "plausible_out_of_ontology": 163, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,25
structural.hierarchy_coverage,0.18041237113402062
extraction_only.coverage,0.27956989247311825
extraction_only.precision,0.13978494623655913
extraction_only.recall,0.27956989247311825
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,4
extraction_only.structural.hierarchy_coverage,0.043010752688172046
extraction_only.relations.n_generated,85
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.4588
extraction_only.relations.recall,0.3889
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.3333333333333333
clinical_only.precision,0.15979381443298968
clinical_only.recall,0.3333333333333333
relations.n_generated,78
relations.n_gold,18
relations.precision,0.4744
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,True
hierarchy.n_generated,25
hierarchy.n_gold,76
hierarchy.precision,0.36
hierarchy.recall,0.1184
hierarchy.matched,9
by_stratum.core.n_generated,160
by_stratum.core.precision,0.15
by_stratum.core.recall,0.25806451612903225
by_stratum.core.coverage,0.25806451612903225
by_stage.extraction.n_classes,186
by_stage.extraction.n_relations,85
by_stage.extraction.n_hierarchy,4
by_stage.extraction.coverage,0.2796
by_stage.extraction.precision,0.1398
by_stage.extraction.recall,0.2796
by_stage.extraction.relation_recall,0.3889
by_stage.extraction.relation_precision,0.4588
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,204
by_stage.after_text_grounded.n_relations,90
by_stage.after_text_grounded.n_hierarchy,28
by_stage.after_text_grounded.coverage,0.3441
by_stage.after_text_grounded.precision,0.1569
by_stage.after_text_grounded.recall,0.3441
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.4333
by_stage.after_text_grounded.hierarchy_recall,0.1184
by_stage.after_text_grounded.hierarchy_precision,0.3214
by_stage.after_cleanup.n_classes,194
by_stage.after_cleanup.n_relations,78
by_stage.after_cleanup.n_hierarchy,24
by_stage.after_cleanup.coverage,0.3333
by_stage.after_cleanup.precision,0.1598
by_stage.after_cleanup.recall,0.3333
by_stage.after_cleanup.relation_recall,0.3889
by_stage.after_cleanup.relation_precision,0.4744
by_stage.after_cleanup.hierarchy_recall,0.1184
by_stage.after_cleanup.hierarchy_precision,0.375
by_stage.after_orphan_rescue.n_classes,194
by_stage.after_orphan_rescue.n_relations,78
by_stage.after_orphan_rescue.n_hierarchy,27
by_stage.after_orphan_rescue.coverage,0.3333
by_stage.after_orphan_rescue.precision,0.1598
by_stage.after_orphan_rescue.recall,0.3333
by_stage.after_orphan_rescue.relation_recall,0.3889
by_stage.after_orphan_rescue.relation_precision,0.4744
by_stage.after_orphan_rescue.hierarchy_recall,0.1184
by_stage.after_orphan_rescue.hierarchy_precision,0.3333
by_stage.after_llm_refinement.n_classes,194
by_stage.after_llm_refinement.n_relations,78
by_stage.after_llm_refinement.n_hierarchy,25
by_stage.after_llm_refinement.coverage,0.3333
by_stage.after_llm_refinement.precision,0.1598
by_stage.after_llm_refinement.recall,0.3333
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.4744
by_stage.after_llm_refinement.hierarchy_recall,0.1184
by_stage.after_llm_refinement.hierarchy_precision,0.36
