metric,value
coverage,0.8709677419354839
precision,0.6136363636363636
recall,0.8709677419354839
errors,{"hallucinations": 0, "plausible_out_of_ontology": 51, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,92
structural.hierarchy_coverage,0.7272727272727273
extraction_only.coverage,0.34408602150537637
extraction_only.precision,0.4050632911392405
extraction_only.recall,0.34408602150537637
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,7
extraction_only.structural.hierarchy_coverage,0.1518987341772152
extraction_only.relations.n_generated,71
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.5493
extraction_only.relations.recall,0.3889
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.8709677419354839
clinical_only.precision,0.6136363636363636
clinical_only.recall,0.8709677419354839
relations.n_generated,73
relations.n_gold,18
relations.precision,0.5616
relations.recall,0.7222
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,92
hierarchy.n_gold,76
hierarchy.precision,0.663
hierarchy.recall,0.8026
hierarchy.matched,61
by_stratum.core.n_generated,65
by_stratum.core.precision,0.46153846153846156
by_stratum.core.recall,0.3225806451612903
by_stratum.core.coverage,0.3225806451612903
by_stage.extraction.n_classes,79
by_stage.extraction.n_relations,71
by_stage.extraction.n_hierarchy,7
by_stage.extraction.coverage,0.3441
by_stage.extraction.precision,0.4051
by_stage.extraction.recall,0.3441
by_stage.extraction.relation_recall,0.3889
by_stage.extraction.relation_precision,0.5352
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,90
by_stage.after_text_grounded.n_relations,86
by_stage.after_text_grounded.n_hierarchy,45
by_stage.after_text_grounded.coverage,0.3548
by_stage.after_text_grounded.precision,0.3667
by_stage.after_text_grounded.recall,0.3548
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.5
by_stage.after_text_grounded.hierarchy_recall,0.1053
by_stage.after_text_grounded.hierarchy_precision,0.1778
by_stage.after_sgc.n_classes,126
by_stage.after_sgc.n_relations,98
by_stage.after_sgc.n_hierarchy,92
by_stage.after_sgc.coverage,0.6559
by_stage.after_sgc.precision,0.4841
by_stage.after_sgc.recall,0.6559
by_stage.after_sgc.relation_recall,0.8333
by_stage.after_sgc.relation_precision,0.5612
by_stage.after_sgc.hierarchy_recall,0.7237
by_stage.after_sgc.hierarchy_precision,0.5978
by_stage.after_cleanup.n_classes,142
by_stage.after_cleanup.n_relations,66
by_stage.after_cleanup.n_hierarchy,82
by_stage.after_cleanup.coverage,0.871
by_stage.after_cleanup.precision,0.5704
by_stage.after_cleanup.recall,0.871
by_stage.after_cleanup.relation_recall,0.7222
by_stage.after_cleanup.relation_precision,0.5909
by_stage.after_cleanup.hierarchy_recall,0.6842
by_stage.after_cleanup.hierarchy_precision,0.6341
by_stage.after_orphan_rescue.n_classes,142
by_stage.after_orphan_rescue.n_relations,74
by_stage.after_orphan_rescue.n_hierarchy,82
by_stage.after_orphan_rescue.coverage,0.871
by_stage.after_orphan_rescue.precision,0.5704
by_stage.after_orphan_rescue.recall,0.871
by_stage.after_orphan_rescue.relation_recall,0.7222
by_stage.after_orphan_rescue.relation_precision,0.5541
by_stage.after_orphan_rescue.hierarchy_recall,0.6842
by_stage.after_orphan_rescue.hierarchy_precision,0.6341
by_stage.after_llm_refinement.n_classes,141
by_stage.after_llm_refinement.n_relations,73
by_stage.after_llm_refinement.n_hierarchy,80
by_stage.after_llm_refinement.coverage,0.871
by_stage.after_llm_refinement.precision,0.5745
by_stage.after_llm_refinement.recall,0.871
by_stage.after_llm_refinement.relation_recall,0.7222
by_stage.after_llm_refinement.relation_precision,0.5616
by_stage.after_llm_refinement.hierarchy_recall,0.6842
by_stage.after_llm_refinement.hierarchy_precision,0.65
by_stage.after_rule_based.n_classes,132
by_stage.after_rule_based.n_relations,73
by_stage.after_rule_based.n_hierarchy,92
by_stage.after_rule_based.coverage,0.871
by_stage.after_rule_based.precision,0.6136
by_stage.after_rule_based.recall,0.871
by_stage.after_rule_based.relation_recall,0.7222
by_stage.after_rule_based.relation_precision,0.5616
by_stage.after_rule_based.hierarchy_recall,0.8026
by_stage.after_rule_based.hierarchy_precision,0.663
