metric,value
coverage,0.5833333333333334
precision,1.0
recall,0.5833333333333334
errors,{"hallucinations": 0, "plausible_out_of_ontology": 0, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,1
structural.hierarchy_coverage,0.047619047619047616
extraction_only.coverage,0.5972222222222222
extraction_only.precision,0.7543859649122807
extraction_only.recall,0.5972222222222222
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,27
extraction_only.structural.hierarchy_coverage,0.5964912280701754
extraction_only.relations.n_generated,22
extraction_only.relations.n_gold,16
extraction_only.relations.precision,0.7727
extraction_only.relations.recall,0.5625
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,True
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.5833333333333334
clinical_only.precision,1.0
clinical_only.recall,0.5833333333333334
relations.n_generated,6
relations.n_gold,16
relations.precision,1.0
relations.recall,0.375
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,True
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,1
hierarchy.n_gold,57
hierarchy.precision,1.0
hierarchy.recall,0.0175
hierarchy.matched,1
by_stratum.core.n_generated,42
by_stratum.core.precision,1.0
by_stratum.core.recall,0.5833333333333334
by_stratum.core.coverage,0.5833333333333334
by_stage.extraction.n_classes,57
by_stage.extraction.n_relations,22
by_stage.extraction.n_hierarchy,27
by_stage.extraction.coverage,0.5972
by_stage.extraction.precision,0.7544
by_stage.extraction.recall,0.5972
by_stage.extraction.relation_recall,0.5625
by_stage.extraction.relation_precision,0.7727
by_stage.extraction.hierarchy_recall,0.0175
by_stage.extraction.hierarchy_precision,0.037
by_stage.after_cleanup.n_classes,54
by_stage.after_cleanup.n_relations,15
by_stage.after_cleanup.n_hierarchy,1
by_stage.after_cleanup.coverage,0.5833
by_stage.after_cleanup.precision,0.7778
by_stage.after_cleanup.recall,0.5833
by_stage.after_cleanup.relation_recall,0.5
by_stage.after_cleanup.relation_precision,0.8667
by_stage.after_cleanup.hierarchy_recall,0.0175
by_stage.after_cleanup.hierarchy_precision,1.0
by_stage.after_gold_filter.n_classes,42
by_stage.after_gold_filter.n_relations,6
by_stage.after_gold_filter.n_hierarchy,1
by_stage.after_gold_filter.coverage,0.5833
by_stage.after_gold_filter.precision,1.0
by_stage.after_gold_filter.recall,0.5833
by_stage.after_gold_filter.relation_recall,0.375
by_stage.after_gold_filter.relation_precision,1.0
by_stage.after_gold_filter.hierarchy_recall,0.0175
by_stage.after_gold_filter.hierarchy_precision,1.0
