metric,value
coverage,0.967741935483871
precision,0.391304347826087
recall,0.967741935483871
errors,{"hallucinations": 0, "plausible_out_of_ontology": 140, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,212
structural.hierarchy_coverage,0.908695652173913
extraction_only.coverage,0.43010752688172044
extraction_only.precision,0.23121387283236994
extraction_only.recall,0.43010752688172044
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,19
extraction_only.structural.hierarchy_coverage,0.15028901734104047
extraction_only.relations.n_generated,131
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3282
extraction_only.relations.recall,0.6667
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,True
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,True
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.967741935483871
clinical_only.precision,0.391304347826087
clinical_only.recall,0.967741935483871
relations.n_generated,103
relations.n_gold,18
relations.precision,0.4078
relations.recall,0.7222
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,212
hierarchy.n_gold,76
hierarchy.precision,0.3349
hierarchy.recall,0.9342
hierarchy.matched,71
by_stratum.core.n_generated,146
by_stratum.core.precision,0.2671232876712329
by_stratum.core.recall,0.41935483870967744
by_stratum.core.coverage,0.41935483870967744
by_stage.extraction.n_classes,173
by_stage.extraction.n_relations,131
by_stage.extraction.n_hierarchy,19
by_stage.extraction.coverage,0.4301
by_stage.extraction.precision,0.2312
by_stage.extraction.recall,0.4301
by_stage.extraction.relation_recall,0.6667
by_stage.extraction.relation_precision,0.313
by_stage.extraction.hierarchy_recall,0.0263
by_stage.extraction.hierarchy_precision,0.1053
by_stage.after_text_grounded.n_classes,201
by_stage.after_text_grounded.n_relations,135
by_stage.after_text_grounded.n_hierarchy,175
by_stage.after_text_grounded.coverage,0.4731
by_stage.after_text_grounded.precision,0.2189
by_stage.after_text_grounded.recall,0.4731
by_stage.after_text_grounded.relation_recall,0.6667
by_stage.after_text_grounded.relation_precision,0.3111
by_stage.after_text_grounded.hierarchy_recall,0.2105
by_stage.after_text_grounded.hierarchy_precision,0.0914
by_stage.after_sgc.n_classes,230
by_stage.after_sgc.n_relations,143
by_stage.after_sgc.n_hierarchy,235
by_stage.after_sgc.coverage,0.7097
by_stage.after_sgc.precision,0.287
by_stage.after_sgc.recall,0.7097
by_stage.after_sgc.relation_recall,0.8333
by_stage.after_sgc.relation_precision,0.3497
by_stage.after_sgc.hierarchy_recall,1.0
by_stage.after_sgc.hierarchy_precision,0.3234
by_stage.after_cleanup.n_classes,240
by_stage.after_cleanup.n_relations,102
by_stage.after_cleanup.n_hierarchy,179
by_stage.after_cleanup.coverage,0.9355
by_stage.after_cleanup.precision,0.3625
by_stage.after_cleanup.recall,0.9355
by_stage.after_cleanup.relation_recall,0.7222
by_stage.after_cleanup.relation_precision,0.3725
by_stage.after_cleanup.hierarchy_recall,0.8158
by_stage.after_cleanup.hierarchy_precision,0.3464
by_stage.after_orphan_rescue.n_classes,244
by_stage.after_orphan_rescue.n_relations,106
by_stage.after_orphan_rescue.n_hierarchy,209
by_stage.after_orphan_rescue.coverage,0.9677
by_stage.after_orphan_rescue.precision,0.3689
by_stage.after_orphan_rescue.recall,0.9677
by_stage.after_orphan_rescue.relation_recall,0.7222
by_stage.after_orphan_rescue.relation_precision,0.3962
by_stage.after_orphan_rescue.hierarchy_recall,0.8421
by_stage.after_orphan_rescue.hierarchy_precision,0.3062
by_stage.after_llm_refinement.n_classes,239
by_stage.after_llm_refinement.n_relations,103
by_stage.after_llm_refinement.n_hierarchy,205
by_stage.after_llm_refinement.coverage,0.9677
by_stage.after_llm_refinement.precision,0.3766
by_stage.after_llm_refinement.recall,0.9677
by_stage.after_llm_refinement.relation_recall,0.7222
by_stage.after_llm_refinement.relation_precision,0.4078
by_stage.after_llm_refinement.hierarchy_recall,0.8421
by_stage.after_llm_refinement.hierarchy_precision,0.3122
by_stage.after_rule_based.n_classes,230
by_stage.after_rule_based.n_relations,103
by_stage.after_rule_based.n_hierarchy,212
by_stage.after_rule_based.coverage,0.9677
by_stage.after_rule_based.precision,0.3913
by_stage.after_rule_based.recall,0.9677
by_stage.after_rule_based.relation_recall,0.7222
by_stage.after_rule_based.relation_precision,0.4078
by_stage.after_rule_based.hierarchy_recall,0.9342
by_stage.after_rule_based.hierarchy_precision,0.3349
