metric,value
coverage,0.16129032258064516
precision,0.5
recall,0.16129032258064516
errors,{"hallucinations": 0, "plausible_out_of_ontology": 15, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,12
structural.hierarchy_coverage,0.4666666666666667
extraction_only.coverage,0.16129032258064516
extraction_only.precision,0.38461538461538464
extraction_only.recall,0.16129032258064516
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,6
extraction_only.structural.hierarchy_coverage,0.20512820512820512
extraction_only.relations.n_generated,18
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.2778
extraction_only.relations.recall,0.1667
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,False
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.16129032258064516
clinical_only.precision,0.5
clinical_only.recall,0.16129032258064516
relations.n_generated,21
relations.n_gold,18
relations.precision,0.2381
relations.recall,0.2222
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,12
hierarchy.n_gold,76
hierarchy.precision,0.1667
hierarchy.recall,0.0263
hierarchy.matched,2
by_stratum.core.n_generated,26
by_stratum.core.precision,0.5769230769230769
by_stratum.core.recall,0.16129032258064516
by_stratum.core.coverage,0.16129032258064516
by_stage.extraction.n_classes,39
by_stage.extraction.n_relations,18
by_stage.extraction.n_hierarchy,6
by_stage.extraction.coverage,0.1613
by_stage.extraction.precision,0.3846
by_stage.extraction.recall,0.1613
by_stage.extraction.relation_recall,0.1667
by_stage.extraction.relation_precision,0.2222
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,41
by_stage.after_text_grounded.n_relations,34
by_stage.after_text_grounded.n_hierarchy,32
by_stage.after_text_grounded.coverage,0.1613
by_stage.after_text_grounded.precision,0.3659
by_stage.after_text_grounded.recall,0.1613
by_stage.after_text_grounded.relation_recall,0.2222
by_stage.after_text_grounded.relation_precision,0.1471
by_stage.after_text_grounded.hierarchy_recall,0.0
by_stage.after_text_grounded.hierarchy_precision,0.0
by_stage.after_cleanup.n_classes,32
by_stage.after_cleanup.n_relations,20
by_stage.after_cleanup.n_hierarchy,15
by_stage.after_cleanup.coverage,0.1613
by_stage.after_cleanup.precision,0.4688
by_stage.after_cleanup.recall,0.1613
by_stage.after_cleanup.relation_recall,0.2222
by_stage.after_cleanup.relation_precision,0.25
by_stage.after_cleanup.hierarchy_recall,0.0263
by_stage.after_cleanup.hierarchy_precision,0.1333
by_stage.after_orphan_rescue.n_classes,32
by_stage.after_orphan_rescue.n_relations,23
by_stage.after_orphan_rescue.n_hierarchy,15
by_stage.after_orphan_rescue.coverage,0.1613
by_stage.after_orphan_rescue.precision,0.4688
by_stage.after_orphan_rescue.recall,0.1613
by_stage.after_orphan_rescue.relation_recall,0.2222
by_stage.after_orphan_rescue.relation_precision,0.2174
by_stage.after_orphan_rescue.hierarchy_recall,0.0263
by_stage.after_orphan_rescue.hierarchy_precision,0.1333
by_stage.after_llm_refinement.n_classes,30
by_stage.after_llm_refinement.n_relations,21
by_stage.after_llm_refinement.n_hierarchy,12
by_stage.after_llm_refinement.coverage,0.1613
by_stage.after_llm_refinement.precision,0.5
by_stage.after_llm_refinement.recall,0.1613
by_stage.after_llm_refinement.relation_recall,0.2222
by_stage.after_llm_refinement.relation_precision,0.2381
by_stage.after_llm_refinement.hierarchy_recall,0.0263
by_stage.after_llm_refinement.hierarchy_precision,0.1667
