metric,value
coverage,0.2903225806451613
precision,0.5
recall,0.2903225806451613
errors,{"hallucinations": 0, "plausible_out_of_ontology": 27, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,14
structural.hierarchy_coverage,0.35185185185185186
extraction_only.coverage,0.23655913978494625
extraction_only.precision,0.4
extraction_only.recall,0.23655913978494625
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,4
extraction_only.structural.hierarchy_coverage,0.12727272727272726
extraction_only.relations.n_generated,45
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3111
extraction_only.relations.recall,0.3333
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.2903225806451613
clinical_only.precision,0.5
clinical_only.recall,0.2903225806451613
relations.n_generated,58
relations.n_gold,18
relations.precision,0.2931
relations.recall,0.2778
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,14
hierarchy.n_gold,76
hierarchy.precision,0.2143
hierarchy.recall,0.0395
hierarchy.matched,3
by_stratum.core.n_generated,48
by_stratum.core.precision,0.4583333333333333
by_stratum.core.recall,0.23655913978494625
by_stratum.core.coverage,0.23655913978494625
by_stage.extraction.n_classes,55
by_stage.extraction.n_relations,45
by_stage.extraction.n_hierarchy,4
by_stage.extraction.coverage,0.2366
by_stage.extraction.precision,0.4
by_stage.extraction.recall,0.2366
by_stage.extraction.relation_recall,0.3333
by_stage.extraction.relation_precision,0.3111
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.25
by_stage.after_text_grounded.n_classes,58
by_stage.after_text_grounded.n_relations,61
by_stage.after_text_grounded.n_hierarchy,36
by_stage.after_text_grounded.coverage,0.2473
by_stage.after_text_grounded.precision,0.3966
by_stage.after_text_grounded.recall,0.2473
by_stage.after_text_grounded.relation_recall,0.3333
by_stage.after_text_grounded.relation_precision,0.3279
by_stage.after_text_grounded.hierarchy_recall,0.0658
by_stage.after_text_grounded.hierarchy_precision,0.1389
by_stage.after_cleanup.n_classes,54
by_stage.after_cleanup.n_relations,49
by_stage.after_cleanup.n_hierarchy,8
by_stage.after_cleanup.coverage,0.2903
by_stage.after_cleanup.precision,0.5
by_stage.after_cleanup.recall,0.2903
by_stage.after_cleanup.relation_recall,0.2778
by_stage.after_cleanup.relation_precision,0.3061
by_stage.after_cleanup.hierarchy_recall,0.0395
by_stage.after_cleanup.hierarchy_precision,0.375
by_stage.after_orphan_rescue.n_classes,54
by_stage.after_orphan_rescue.n_relations,58
by_stage.after_orphan_rescue.n_hierarchy,14
by_stage.after_orphan_rescue.coverage,0.2903
by_stage.after_orphan_rescue.precision,0.5
by_stage.after_orphan_rescue.recall,0.2903
by_stage.after_orphan_rescue.relation_recall,0.2778
by_stage.after_orphan_rescue.relation_precision,0.2931
by_stage.after_orphan_rescue.hierarchy_recall,0.0395
by_stage.after_orphan_rescue.hierarchy_precision,0.2143
by_stage.after_llm_refinement.n_classes,54
by_stage.after_llm_refinement.n_relations,58
by_stage.after_llm_refinement.n_hierarchy,14
by_stage.after_llm_refinement.coverage,0.2903
by_stage.after_llm_refinement.precision,0.5
by_stage.after_llm_refinement.recall,0.2903
by_stage.after_llm_refinement.relation_recall,0.2778
by_stage.after_llm_refinement.relation_precision,0.2931
by_stage.after_llm_refinement.hierarchy_recall,0.0395
by_stage.after_llm_refinement.hierarchy_precision,0.2143
