metric,value
coverage,0.8279569892473119
precision,0.39690721649484534
recall,0.8279569892473119
errors,{"hallucinations": 0, "plausible_out_of_ontology": 117, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,161
structural.hierarchy_coverage,0.8969072164948454
extraction_only.coverage,0.6129032258064516
extraction_only.precision,0.2425531914893617
extraction_only.recall,0.6129032258064516
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,39
extraction_only.structural.hierarchy_coverage,0.20851063829787234
extraction_only.relations.n_generated,139
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.2662
extraction_only.relations.recall,0.6667
extraction_only.relations.per_gold_relation.has demographic data,True
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,True
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.8279569892473119
clinical_only.precision,0.39690721649484534
clinical_only.recall,0.8279569892473119
relations.n_generated,86
relations.n_gold,18
relations.precision,0.3488
relations.recall,0.6111
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,161
hierarchy.n_gold,76
hierarchy.precision,0.323
hierarchy.recall,0.6842
hierarchy.matched,52
by_stratum.core.n_generated,121
by_stratum.core.precision,0.4132231404958678
by_stratum.core.recall,0.5376344086021505
by_stratum.core.coverage,0.5376344086021505
by_stage.extraction.n_classes,235
by_stage.extraction.n_relations,139
by_stage.extraction.n_hierarchy,39
by_stage.extraction.coverage,0.6129
by_stage.extraction.precision,0.2426
by_stage.extraction.recall,0.6129
by_stage.extraction.relation_recall,0.7222
by_stage.extraction.relation_precision,0.2374
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.0256
by_stage.after_text_grounded.n_classes,372
by_stage.after_text_grounded.n_relations,181
by_stage.after_text_grounded.n_hierarchy,295
by_stage.after_text_grounded.coverage,0.6452
by_stage.after_text_grounded.precision,0.1613
by_stage.after_text_grounded.recall,0.6452
by_stage.after_text_grounded.relation_recall,0.7778
by_stage.after_text_grounded.relation_precision,0.1989
by_stage.after_text_grounded.hierarchy_recall,0.1842
