metric,value
coverage,0.9354838709677419
precision,0.8130841121495327
recall,0.9354838709677419
errors,{"hallucinations": 0, "plausible_out_of_ontology": 20, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,100
structural.hierarchy_coverage,0.9158878504672897
extraction_only.coverage,0.5053763440860215
extraction_only.precision,0.6025641025641025
extraction_only.recall,0.5053763440860215
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,25
extraction_only.structural.hierarchy_coverage,0.34615384615384615
extraction_only.relations.n_generated,70
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.2714
extraction_only.relations.recall,0.6111
extraction_only.relations.per_gold_relation.has demographic data,True
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,True
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.9354838709677419
clinical_only.precision,0.8130841121495327
clinical_only.recall,0.9354838709677419
relations.n_generated,31
relations.n_gold,18
relations.precision,0.5161
relations.recall,0.5556
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,100
hierarchy.n_gold,76
hierarchy.precision,0.71
hierarchy.recall,0.9342
