metric,value
coverage,0.7083333333333334
precision,1.0
recall,0.7083333333333334
errors,{"hallucinations": 0, "plausible_out_of_ontology": 0, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,2
structural.hierarchy_coverage,0.0784313725490196
extraction_only.coverage,0.7361111111111112
extraction_only.precision,0.9636363636363636
extraction_only.recall,0.7361111111111112
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,29
extraction_only.structural.hierarchy_coverage,0.6545454545454545
extraction_only.relations.n_generated,19
extraction_only.relations.n_gold,16
extraction_only.relations.precision,1.0
extraction_only.relations.recall,0.8125
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,True
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,True
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.7083333333333334
clinical_only.precision,1.0
clinical_only.recall,0.7083333333333334
relations.n_generated,14
relations.n_gold,16
relations.precision,1.0
relations.recall,0.75
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,True
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,2
hierarchy.n_gold,57
hierarchy.precision,1.0
hierarchy.recall,0.0351
hierarchy.matched,2
by_stratum.core.n_generated,51
by_stratum.core.precision,1.0
by_stratum.core.recall,0.7083333333333334
by_stratum.core.coverage,0.7083333333333334
by_stage.extraction.n_classes,55
by_stage.extraction.n_relations,19
by_stage.extraction.n_hierarchy,29
by_stage.extraction.coverage,0.7361
by_stage.extraction.precision,0.9636
by_stage.extraction.recall,0.7361
by_stage.extraction.relation_recall,0.8125
by_stage.extraction.relation_precision,1.0
by_stage.extraction.hierarchy_recall,0.0351
by_stage.extraction.hierarchy_precision,0.069
by_stage.after_cleanup.n_classes,53
by_stage.after_cleanup.n_relations,15
by_stage.after_cleanup.n_hierarchy,2
by_stage.after_cleanup.coverage,0.7083
by_stage.after_cleanup.precision,0.9623
by_stage.after_cleanup.recall,0.7083
by_stage.after_cleanup.relation_recall,0.75
by_stage.after_cleanup.relation_precision,1.0
by_stage.after_cleanup.hierarchy_recall,0.0351
by_stage.after_cleanup.hierarchy_precision,1.0
by_stage.after_gold_filter.n_classes,51
by_stage.after_gold_filter.n_relations,14
by_stage.after_gold_filter.n_hierarchy,2
by_stage.after_gold_filter.coverage,0.7083
by_stage.after_gold_filter.precision,1.0
by_stage.after_gold_filter.recall,0.7083
by_stage.after_gold_filter.relation_recall,0.75
by_stage.after_gold_filter.relation_precision,1.0
by_stage.after_gold_filter.hierarchy_recall,0.0351
by_stage.after_gold_filter.hierarchy_precision,1.0
