metric,value
coverage,0.6344086021505376
precision,0.31891891891891894
recall,0.6344086021505376
errors,{"hallucinations": 0, "plausible_out_of_ontology": 126, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,136
structural.hierarchy_coverage,0.827027027027027
extraction_only.coverage,0.6451612903225806
extraction_only.precision,0.2597402597402597
extraction_only.recall,0.6451612903225806
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,15
extraction_only.structural.hierarchy_coverage,0.09523809523809523
extraction_only.relations.n_generated,90
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.2
extraction_only.relations.recall,0.3333
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.6344086021505376
clinical_only.precision,0.31891891891891894
clinical_only.recall,0.6344086021505376
relations.n_generated,51
relations.n_gold,18
relations.precision,0.2353
relations.recall,0.3333
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,136
hierarchy.n_gold,76
hierarchy.precision,0.0882
hierarchy.recall,0.1579
hierarchy.matched,12
by_stratum.core.n_generated,135
by_stratum.core.precision,0.4
by_stratum.core.recall,0.5806451612903226
by_stratum.core.coverage,0.5806451612903226
by_stage.extraction.n_classes,231
by_stage.extraction.n_relations,90
by_stage.extraction.n_hierarchy,15
by_stage.extraction.coverage,0.6452
by_stage.extraction.precision,0.2597
by_stage.extraction.recall,0.6452
by_stage.extraction.relation_recall,0.3333
by_stage.extraction.relation_precision,0.1889
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.0667
by_stage.after_text_grounded.n_classes,335
by_stage.after_text_grounded.n_relations,154
by_stage.after_text_grounded.n_hierarchy,297
by_stage.after_text_grounded.coverage,0.6667
by_stage.after_text_grounded.precision,0.1851
by_stage.after_text_grounded.recall,0.6667
by_stage.after_text_grounded.relation_recall,0.3333
by_stage.after_text_grounded.relation_precision,0.1494
by_stage.after_text_grounded.hierarchy_recall,0.1579
by_stage.after_text_grounded.hierarchy_precision,0.0404
by_stage.after_cleanup.n_classes,203
by_stage.after_cleanup.n_relations,40
by_stage.after_cleanup.n_hierarchy,144
by_stage.after_cleanup.coverage,0.6237
by_stage.after_cleanup.precision,0.2857
by_stage.after_cleanup.recall,0.6237
by_stage.after_cleanup.relation_recall,0.3333
by_stage.after_cleanup.relation_precision,0.275
by_stage.after_cleanup.hierarchy_recall,0.1711
by_stage.after_cleanup.hierarchy_precision,0.0903
by_stage.after_orphan_rescue.n_classes,204
by_stage.after_orphan_rescue.n_relations,63
by_stage.after_orphan_rescue.n_hierarchy,150
by_stage.after_orphan_rescue.coverage,0.6344
by_stage.after_orphan_rescue.precision,0.2892
by_stage.after_orphan_rescue.recall,0.6344
by_stage.after_orphan_rescue.relation_recall,0.3333
by_stage.after_orphan_rescue.relation_precision,0.2381
by_stage.after_orphan_rescue.hierarchy_recall,0.1711
by_stage.after_orphan_rescue.hierarchy_precision,0.0867
by_stage.after_llm_refinement.n_classes,185
by_stage.after_llm_refinement.n_relations,51
by_stage.after_llm_refinement.n_hierarchy,136
by_stage.after_llm_refinement.coverage,0.6344
by_stage.after_llm_refinement.precision,0.3189
by_stage.after_llm_refinement.recall,0.6344
by_stage.after_llm_refinement.relation_recall,0.3333
by_stage.after_llm_refinement.relation_precision,0.2353
by_stage.after_llm_refinement.hierarchy_recall,0.1579
by_stage.after_llm_refinement.hierarchy_precision,0.0882
