metric,value
coverage,0.45161290322580644
precision,0.16342412451361868
recall,0.45161290322580644
errors,{"hallucinations": 0, "plausible_out_of_ontology": 215, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,196
structural.hierarchy_coverage,0.7976653696498055
extraction_only.coverage,0.3763440860215054
extraction_only.precision,0.1483050847457627
extraction_only.recall,0.3763440860215054
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,3
extraction_only.structural.hierarchy_coverage,0.025423728813559324
extraction_only.relations.n_generated,93
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3333
extraction_only.relations.recall,0.3333
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.45161290322580644
clinical_only.precision,0.16342412451361868
clinical_only.recall,0.45161290322580644
relations.n_generated,126
relations.n_gold,18
relations.precision,0.1984
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,196
hierarchy.n_gold,76
hierarchy.precision,0.0969
hierarchy.recall,0.25
hierarchy.matched,19
by_stratum.core.n_generated,189
by_stratum.core.precision,0.18518518518518517
by_stratum.core.recall,0.3763440860215054
by_stratum.core.coverage,0.3763440860215054
by_stage.extraction.n_classes,236
by_stage.extraction.n_relations,93
by_stage.extraction.n_hierarchy,3
by_stage.extraction.coverage,0.3763
by_stage.extraction.precision,0.1483
by_stage.extraction.recall,0.3763
by_stage.extraction.relation_recall,0.3333
by_stage.extraction.relation_precision,0.3333
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,291
by_stage.after_text_grounded.n_relations,175
by_stage.after_text_grounded.n_hierarchy,259
by_stage.after_text_grounded.coverage,0.4731
by_stage.after_text_grounded.precision,0.1512
by_stage.after_text_grounded.recall,0.4731
by_stage.after_text_grounded.relation_recall,0.3333
by_stage.after_text_grounded.relation_precision,0.2514
by_stage.after_text_grounded.hierarchy_recall,0.2368
by_stage.after_text_grounded.hierarchy_precision,0.0695
by_stage.after_cleanup.n_classes,267
by_stage.after_cleanup.n_relations,116
by_stage.after_cleanup.n_hierarchy,204
by_stage.after_cleanup.coverage,0.4516
by_stage.after_cleanup.precision,0.1573
by_stage.after_cleanup.recall,0.4516
by_stage.after_cleanup.relation_recall,0.3333
by_stage.after_cleanup.relation_precision,0.2069
by_stage.after_cleanup.hierarchy_recall,0.25
by_stage.after_cleanup.hierarchy_precision,0.0931
by_stage.after_orphan_rescue.n_classes,268
by_stage.after_orphan_rescue.n_relations,133
by_stage.after_orphan_rescue.n_hierarchy,204
by_stage.after_orphan_rescue.coverage,0.4516
by_stage.after_orphan_rescue.precision,0.1567
by_stage.after_orphan_rescue.recall,0.4516
by_stage.after_orphan_rescue.relation_recall,0.3889
by_stage.after_orphan_rescue.relation_precision,0.188
by_stage.after_orphan_rescue.hierarchy_recall,0.25
by_stage.after_orphan_rescue.hierarchy_precision,0.0931
by_stage.after_llm_refinement.n_classes,257
by_stage.after_llm_refinement.n_relations,126
by_stage.after_llm_refinement.n_hierarchy,196
by_stage.after_llm_refinement.coverage,0.4516
by_stage.after_llm_refinement.precision,0.1634
by_stage.after_llm_refinement.recall,0.4516
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.1984
by_stage.after_llm_refinement.hierarchy_recall,0.25
by_stage.after_llm_refinement.hierarchy_precision,0.0969
