metric,value
coverage,0.7634408602150538
precision,0.7319587628865979
recall,0.7634408602150538
errors,{"hallucinations": 0, "plausible_out_of_ontology": 26, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,78
structural.hierarchy_coverage,0.865979381443299
extraction_only.coverage,0.23655913978494625
extraction_only.precision,0.44
extraction_only.recall,0.23655913978494625
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,2
extraction_only.structural.hierarchy_coverage,0.08
extraction_only.relations.n_generated,47
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.617
extraction_only.relations.recall,0.3889
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.7634408602150538
clinical_only.precision,0.7319587628865979
clinical_only.recall,0.7634408602150538
relations.n_generated,41
relations.n_gold,18
relations.precision,0.561
relations.recall,0.5556
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
