metric,value
coverage,0.8064516129032258
precision,0.1391465677179963
recall,0.8064516129032258
errors,{"hallucinations": 0, "plausible_out_of_ontology": 464, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,457
structural.hierarchy_coverage,0.8274582560296846
relations.n_generated,425
relations.n_gold,18
relations.precision,0.2212
relations.recall,0.6111
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,457
hierarchy.n_gold,76
hierarchy.precision,0.0481
hierarchy.recall,0.2895
hierarchy.matched,22
