metric,value
coverage,0.08602150537634409
precision,0.3333333333333333
recall,0.08602150537634409
errors,{"hallucinations": 0, "plausible_out_of_ontology": 16, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,4
structural.hierarchy_coverage,0.20833333333333334
extraction_only.coverage,0.07526881720430108
extraction_only.precision,0.4666666666666667
extraction_only.recall,0.07526881720430108
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,0
extraction_only.structural.hierarchy_coverage,0.0
extraction_only.relations.n_generated,9
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.7778
extraction_only.relations.recall,0.2222
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.08602150537634409
clinical_only.precision,0.3333333333333333
clinical_only.recall,0.08602150537634409
relations.n_generated,16
relations.n_gold,18
relations.precision,0.75
relations.recall,0.3333
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,True
hierarchy.n_generated,4
hierarchy.n_gold,76
hierarchy.precision,0.0
hierarchy.recall,0.0
hierarchy.matched,0
by_stratum.core.n_generated,10
by_stratum.core.precision,0.4
by_stratum.core.recall,0.043010752688172046
by_stratum.core.coverage,0.043010752688172046
by_stage.extraction.n_classes,15
by_stage.extraction.n_relations,9
by_stage.extraction.n_hierarchy,0
by_stage.extraction.coverage,0.0753
by_stage.extraction.precision,0.4667
by_stage.extraction.recall,0.0753
by_stage.extraction.relation_recall,0.2222
by_stage.extraction.relation_precision,0.7778
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,25
by_stage.after_text_grounded.n_relations,17
by_stage.after_text_grounded.n_hierarchy,3
by_stage.after_text_grounded.coverage,0.086
by_stage.after_text_grounded.precision,0.32
by_stage.after_text_grounded.recall,0.086
by_stage.after_text_grounded.relation_recall,0.2778
by_stage.after_text_grounded.relation_precision,0.7647
by_stage.after_text_grounded.hierarchy_recall,0.0
by_stage.after_text_grounded.hierarchy_precision,0.0
by_stage.after_cleanup.n_classes,24
by_stage.after_cleanup.n_relations,15
by_stage.after_cleanup.n_hierarchy,3
by_stage.after_cleanup.coverage,0.086
by_stage.after_cleanup.precision,0.3333
by_stage.after_cleanup.recall,0.086
by_stage.after_cleanup.relation_recall,0.2778
by_stage.after_cleanup.relation_precision,0.7333
by_stage.after_cleanup.hierarchy_recall,0.0
by_stage.after_cleanup.hierarchy_precision,0.0
by_stage.after_orphan_rescue.n_classes,24
by_stage.after_orphan_rescue.n_relations,16
by_stage.after_orphan_rescue.n_hierarchy,4
by_stage.after_orphan_rescue.coverage,0.086
by_stage.after_orphan_rescue.precision,0.3333
by_stage.after_orphan_rescue.recall,0.086
by_stage.after_orphan_rescue.relation_recall,0.3333
by_stage.after_orphan_rescue.relation_precision,0.75
by_stage.after_orphan_rescue.hierarchy_recall,0.0
by_stage.after_orphan_rescue.hierarchy_precision,0.0
by_stage.after_llm_refinement.n_classes,24
by_stage.after_llm_refinement.n_relations,16
by_stage.after_llm_refinement.n_hierarchy,4
by_stage.after_llm_refinement.coverage,0.086
by_stage.after_llm_refinement.precision,0.3333
by_stage.after_llm_refinement.recall,0.086
by_stage.after_llm_refinement.relation_recall,0.3333
by_stage.after_llm_refinement.relation_precision,0.75
by_stage.after_llm_refinement.hierarchy_recall,0.0
by_stage.after_llm_refinement.hierarchy_precision,0.0
