metric,value
coverage,0.45161290322580644
precision,0.1390728476821192
recall,0.45161290322580644
errors,{"hallucinations": 0, "plausible_out_of_ontology": 260, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,238
structural.hierarchy_coverage,0.8973509933774835
extraction_only.coverage,0.46236559139784944
extraction_only.precision,0.17131474103585656
extraction_only.recall,0.46236559139784944
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,5
extraction_only.structural.hierarchy_coverage,0.035856573705179286
extraction_only.relations.n_generated,187
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.2193
extraction_only.relations.recall,0.3889
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.45161290322580644
clinical_only.precision,0.1390728476821192
clinical_only.recall,0.45161290322580644
relations.n_generated,198
relations.n_gold,18
relations.precision,0.2273
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,238
hierarchy.n_gold,76
hierarchy.precision,0.0168
hierarchy.recall,0.0526
hierarchy.matched,4
by_stratum.core.n_generated,190
by_stratum.core.precision,0.21052631578947367
by_stratum.core.recall,0.43010752688172044
by_stratum.core.coverage,0.43010752688172044
by_stage.extraction.n_classes,251
by_stage.extraction.n_relations,187
by_stage.extraction.n_hierarchy,5
by_stage.extraction.coverage,0.4624
by_stage.extraction.precision,0.1713
by_stage.extraction.recall,0.4624
by_stage.extraction.relation_recall,0.3333
by_stage.extraction.relation_precision,0.2139
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,388
by_stage.after_text_grounded.n_relations,218
by_stage.after_text_grounded.n_hierarchy,329
by_stage.after_text_grounded.coverage,0.4839
by_stage.after_text_grounded.precision,0.116
by_stage.after_text_grounded.recall,0.4839
by_stage.after_text_grounded.relation_recall,0.3333
by_stage.after_text_grounded.relation_precision,0.2156
by_stage.after_text_grounded.hierarchy_recall,0.0789
by_stage.after_text_grounded.hierarchy_precision,0.0182
by_stage.after_cleanup.n_classes,339
by_stage.after_cleanup.n_relations,171
by_stage.after_cleanup.n_hierarchy,239
by_stage.after_cleanup.coverage,0.4516
by_stage.after_cleanup.precision,0.1239
by_stage.after_cleanup.recall,0.4516
by_stage.after_cleanup.relation_recall,0.3889
by_stage.after_cleanup.relation_precision,0.2573
by_stage.after_cleanup.hierarchy_recall,0.0526
by_stage.after_cleanup.hierarchy_precision,0.0167
by_stage.after_orphan_rescue.n_classes,342
by_stage.after_orphan_rescue.n_relations,214
by_stage.after_orphan_rescue.n_hierarchy,276
by_stage.after_orphan_rescue.coverage,0.4516
by_stage.after_orphan_rescue.precision,0.1228
by_stage.after_orphan_rescue.recall,0.4516
by_stage.after_orphan_rescue.relation_recall,0.3889
by_stage.after_orphan_rescue.relation_precision,0.2196
by_stage.after_orphan_rescue.hierarchy_recall,0.0526
by_stage.after_orphan_rescue.hierarchy_precision,0.0145
by_stage.after_llm_refinement.n_classes,302
by_stage.after_llm_refinement.n_relations,198
by_stage.after_llm_refinement.n_hierarchy,238
by_stage.after_llm_refinement.coverage,0.4516
by_stage.after_llm_refinement.precision,0.1391
by_stage.after_llm_refinement.recall,0.4516
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.2273
by_stage.after_llm_refinement.hierarchy_recall,0.0526
by_stage.after_llm_refinement.hierarchy_precision,0.0168
