metric,value
coverage,0.41935483870967744
precision,0.609375
recall,0.41935483870967744
errors,{"hallucinations": 0, "plausible_out_of_ontology": 25, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,43
structural.hierarchy_coverage,0.75
extraction_only.coverage,0.40860215053763443
extraction_only.precision,0.5588235294117647
extraction_only.recall,0.40860215053763443
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,16
extraction_only.structural.hierarchy_coverage,0.29411764705882354
extraction_only.relations.n_generated,17
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.4118
extraction_only.relations.recall,0.2778
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,False
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.41935483870967744
clinical_only.precision,0.609375
clinical_only.recall,0.41935483870967744
relations.n_generated,20
relations.n_gold,18
relations.precision,0.65
relations.recall,0.4444
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,43
hierarchy.n_gold,76
hierarchy.precision,0.4186
hierarchy.recall,0.2368
hierarchy.matched,18
by_stratum.core.n_generated,55
by_stratum.core.precision,0.6181818181818182
by_stratum.core.recall,0.3655913978494624
by_stratum.core.coverage,0.3655913978494624
by_stage.extraction.n_classes,68
by_stage.extraction.n_relations,17
by_stage.extraction.n_hierarchy,16
by_stage.extraction.coverage,0.4086
by_stage.extraction.precision,0.5588
by_stage.extraction.recall,0.4086
by_stage.extraction.relation_recall,0.2222
by_stage.extraction.relation_precision,0.2353
by_stage.extraction.hierarchy_recall,0.0526
by_stage.extraction.hierarchy_precision,0.25
by_stage.after_text_grounded.n_classes,73
by_stage.after_text_grounded.n_relations,26
by_stage.after_text_grounded.n_hierarchy,46
by_stage.after_text_grounded.coverage,0.4194
by_stage.after_text_grounded.precision,0.5342
by_stage.after_text_grounded.recall,0.4194
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.3462
by_stage.after_text_grounded.hierarchy_recall,0.1974
by_stage.after_text_grounded.hierarchy_precision,0.3261
by_stage.after_cleanup.n_classes,64
by_stage.after_cleanup.n_relations,19
by_stage.after_cleanup.n_hierarchy,30
by_stage.after_cleanup.coverage,0.3978
by_stage.after_cleanup.precision,0.5781
by_stage.after_cleanup.recall,0.3978
by_stage.after_cleanup.relation_recall,0.3889
by_stage.after_cleanup.relation_precision,0.6316
by_stage.after_cleanup.hierarchy_recall,0.2105
by_stage.after_cleanup.hierarchy_precision,0.5333
by_stage.after_orphan_rescue.n_classes,66
by_stage.after_orphan_rescue.n_relations,20
by_stage.after_orphan_rescue.n_hierarchy,45
by_stage.after_orphan_rescue.coverage,0.4194
by_stage.after_orphan_rescue.precision,0.5909
by_stage.after_orphan_rescue.recall,0.4194
by_stage.after_orphan_rescue.relation_recall,0.4444
by_stage.after_orphan_rescue.relation_precision,0.65
by_stage.after_orphan_rescue.hierarchy_recall,0.2368
by_stage.after_orphan_rescue.hierarchy_precision,0.4
by_stage.after_llm_refinement.n_classes,64
by_stage.after_llm_refinement.n_relations,20
by_stage.after_llm_refinement.n_hierarchy,43
by_stage.after_llm_refinement.coverage,0.4194
by_stage.after_llm_refinement.precision,0.6094
by_stage.after_llm_refinement.recall,0.4194
by_stage.after_llm_refinement.relation_recall,0.4444
by_stage.after_llm_refinement.relation_precision,0.65
by_stage.after_llm_refinement.hierarchy_recall,0.2368
by_stage.after_llm_refinement.hierarchy_precision,0.4186
