metric,value
coverage,0.967741935483871
precision,0.5590062111801242
recall,0.967741935483871
errors,{"hallucinations": 0, "plausible_out_of_ontology": 71, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,138
structural.hierarchy_coverage,0.9006211180124224
extraction_only.coverage,0.5591397849462365
extraction_only.precision,0.3851851851851852
extraction_only.recall,0.5591397849462365
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,29
extraction_only.structural.hierarchy_coverage,0.2814814814814815
extraction_only.relations.n_generated,72
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.25
extraction_only.relations.recall,0.5556
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,True
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,True
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.967741935483871
clinical_only.precision,0.5590062111801242
clinical_only.recall,0.967741935483871
relations.n_generated,61
relations.n_gold,18
relations.precision,0.2787
relations.recall,0.6667
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,138
hierarchy.n_gold,76
hierarchy.precision,0.4203
hierarchy.recall,0.7632
hierarchy.matched,58
by_stratum.core.n_generated,99
by_stratum.core.precision,0.43434343434343436
by_stratum.core.recall,0.46236559139784944
by_stratum.core.coverage,0.46236559139784944
by_stage.extraction.n_classes,135
by_stage.extraction.n_relations,72
by_stage.extraction.n_hierarchy,29
by_stage.extraction.coverage,0.5591
by_stage.extraction.precision,0.3852
by_stage.extraction.recall,0.5591
by_stage.extraction.relation_recall,0.5556
by_stage.extraction.relation_precision,0.2222
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.0345
by_stage.after_text_grounded.n_classes,146
by_stage.after_text_grounded.n_relations,78
by_stage.after_text_grounded.n_hierarchy,146
by_stage.after_text_grounded.coverage,0.5699
by_stage.after_text_grounded.precision,0.363
by_stage.after_text_grounded.recall,0.5699
by_stage.after_text_grounded.relation_recall,0.6111
by_stage.after_text_grounded.relation_precision,0.2821
by_stage.after_text_grounded.hierarchy_recall,0.1842
by_stage.after_text_grounded.hierarchy_precision,0.0959
by_stage.after_sgc.n_classes,167
by_stage.after_sgc.n_relations,86
by_stage.after_sgc.n_hierarchy,205
by_stage.after_sgc.coverage,0.7419
by_stage.after_sgc.precision,0.4132
by_stage.after_sgc.recall,0.7419
by_stage.after_sgc.relation_recall,1.0
by_stage.after_sgc.relation_precision,0.3488
by_stage.after_sgc.hierarchy_recall,0.9605
by_stage.after_sgc.hierarchy_precision,0.3561
by_stage.after_cleanup.n_classes,154
by_stage.after_cleanup.n_relations,29
by_stage.after_cleanup.n_hierarchy,110
by_stage.after_cleanup.coverage,0.914
by_stage.after_cleanup.precision,0.5519
by_stage.after_cleanup.recall,0.914
by_stage.after_cleanup.relation_recall,0.5
by_stage.after_cleanup.relation_precision,0.4483
by_stage.after_cleanup.hierarchy_recall,0.6974
by_stage.after_cleanup.hierarchy_precision,0.4818
by_stage.after_orphan_rescue.n_classes,163
by_stage.after_orphan_rescue.n_relations,61
by_stage.after_orphan_rescue.n_hierarchy,139
by_stage.after_orphan_rescue.coverage,0.9677
by_stage.after_orphan_rescue.precision,0.5521
by_stage.after_orphan_rescue.recall,0.9677
by_stage.after_orphan_rescue.relation_recall,0.6667
by_stage.after_orphan_rescue.relation_precision,0.2787
by_stage.after_orphan_rescue.hierarchy_recall,0.6974
by_stage.after_orphan_rescue.hierarchy_precision,0.3813
by_stage.after_llm_refinement.n_classes,163
by_stage.after_llm_refinement.n_relations,61
by_stage.after_llm_refinement.n_hierarchy,133
by_stage.after_llm_refinement.coverage,0.9677
by_stage.after_llm_refinement.precision,0.5521
by_stage.after_llm_refinement.recall,0.9677
by_stage.after_llm_refinement.relation_recall,0.6667
by_stage.after_llm_refinement.relation_precision,0.2787
by_stage.after_llm_refinement.hierarchy_recall,0.6974
by_stage.after_llm_refinement.hierarchy_precision,0.3985
by_stage.after_rule_based.n_classes,161
by_stage.after_rule_based.n_relations,61
by_stage.after_rule_based.n_hierarchy,138
by_stage.after_rule_based.coverage,0.9677
by_stage.after_rule_based.precision,0.559
by_stage.after_rule_based.recall,0.9677
by_stage.after_rule_based.relation_recall,0.6667
by_stage.after_rule_based.relation_precision,0.2787
by_stage.after_rule_based.hierarchy_recall,0.7632
by_stage.after_rule_based.hierarchy_precision,0.4203
