metric,value
coverage,1.0
precision,0.96875
recall,1.0
errors,{"hallucinations": 0, "plausible_out_of_ontology": 3, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,83
structural.hierarchy_coverage,0.9166666666666666
extraction_only.coverage,0.3870967741935484
extraction_only.precision,0.7659574468085106
extraction_only.recall,0.3870967741935484
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,11
extraction_only.structural.hierarchy_coverage,0.2765957446808511
extraction_only.relations.n_generated,10
extraction_only.relations.n_gold,18
extraction_only.relations.precision,1.0
extraction_only.relations.recall,0.5
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,True
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,True
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,1.0
clinical_only.precision,0.96875
clinical_only.recall,1.0
relations.n_generated,15
relations.n_gold,18
relations.precision,0.9333
relations.recall,0.7222
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,83
hierarchy.n_gold,76
hierarchy.precision,0.9157
hierarchy.recall,1.0
hierarchy.matched,76
by_stratum.core.n_generated,38
by_stratum.core.precision,0.9210526315789473
by_stratum.core.recall,0.3763440860215054
by_stratum.core.coverage,0.3763440860215054
by_stage.extraction.n_classes,47
by_stage.extraction.n_relations,10
by_stage.extraction.n_hierarchy,11
by_stage.extraction.coverage,0.3871
by_stage.extraction.precision,0.766
by_stage.extraction.recall,0.3871
by_stage.extraction.relation_recall,0.5
by_stage.extraction.relation_precision,1.0
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.0909
by_stage.after_text_grounded.n_classes,49
by_stage.after_text_grounded.n_relations,21
by_stage.after_text_grounded.n_hierarchy,44
by_stage.after_text_grounded.coverage,0.4086
by_stage.after_text_grounded.precision,0.7755
by_stage.after_text_grounded.recall,0.4086
by_stage.after_text_grounded.relation_recall,0.5556
by_stage.after_text_grounded.relation_precision,0.619
by_stage.after_text_grounded.hierarchy_recall,0.2368
by_stage.after_text_grounded.hierarchy_precision,0.4091
by_stage.after_sgc.n_classes,106
by_stage.after_sgc.n_relations,26
by_stage.after_sgc.n_hierarchy,94
by_stage.after_sgc.coverage,1.0
by_stage.after_sgc.precision,0.8774
by_stage.after_sgc.recall,1.0
by_stage.after_sgc.relation_recall,0.8333
by_stage.after_sgc.relation_precision,0.6923
by_stage.after_sgc.hierarchy_recall,0.8947
by_stage.after_sgc.hierarchy_precision,0.7234
by_stage.after_cleanup.n_classes,96
by_stage.after_cleanup.n_relations,14
by_stage.after_cleanup.n_hierarchy,79
by_stage.after_cleanup.coverage,1.0
by_stage.after_cleanup.precision,0.9688
by_stage.after_cleanup.recall,1.0
by_stage.after_cleanup.relation_recall,0.7222
by_stage.after_cleanup.relation_precision,1.0
by_stage.after_cleanup.hierarchy_recall,0.9474
by_stage.after_cleanup.hierarchy_precision,0.9114
by_stage.after_orphan_rescue.n_classes,96
by_stage.after_orphan_rescue.n_relations,15
by_stage.after_orphan_rescue.n_hierarchy,79
by_stage.after_orphan_rescue.coverage,1.0
by_stage.after_orphan_rescue.precision,0.9688
by_stage.after_orphan_rescue.recall,1.0
by_stage.after_orphan_rescue.relation_recall,0.7222
by_stage.after_orphan_rescue.relation_precision,0.9333
by_stage.after_orphan_rescue.hierarchy_recall,0.9474
by_stage.after_orphan_rescue.hierarchy_precision,0.9114
by_stage.after_llm_refinement.n_classes,96
by_stage.after_llm_refinement.n_relations,15
by_stage.after_llm_refinement.n_hierarchy,79
by_stage.after_llm_refinement.coverage,1.0
by_stage.after_llm_refinement.precision,0.9688
by_stage.after_llm_refinement.recall,1.0
by_stage.after_llm_refinement.relation_recall,0.7222
by_stage.after_llm_refinement.relation_precision,0.9333
by_stage.after_llm_refinement.hierarchy_recall,0.9474
by_stage.after_llm_refinement.hierarchy_precision,0.9114
by_stage.after_rule_based.n_classes,96
by_stage.after_rule_based.n_relations,15
by_stage.after_rule_based.n_hierarchy,83
by_stage.after_rule_based.coverage,1.0
by_stage.after_rule_based.precision,0.9688
by_stage.after_rule_based.recall,1.0
by_stage.after_rule_based.relation_recall,0.7222
by_stage.after_rule_based.relation_precision,0.9333
by_stage.after_rule_based.hierarchy_recall,1.0
by_stage.after_rule_based.hierarchy_precision,0.9157
