metric,value
coverage,0.13978494623655913
precision,0.28888888888888886
recall,0.13978494623655913
errors,{"hallucinations": 0, "plausible_out_of_ontology": 32, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,7
structural.hierarchy_coverage,0.26666666666666666
extraction_only.coverage,0.12903225806451613
extraction_only.precision,0.3
extraction_only.recall,0.12903225806451613
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,2
extraction_only.structural.hierarchy_coverage,0.075
extraction_only.relations.n_generated,27
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.8519
extraction_only.relations.recall,0.3889
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,True
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.13978494623655913
clinical_only.precision,0.28888888888888886
clinical_only.recall,0.13978494623655913
relations.n_generated,37
relations.n_gold,18
relations.precision,0.8919
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,7
hierarchy.n_gold,76
hierarchy.precision,0.2857
hierarchy.recall,0.0263
hierarchy.matched,2
by_stratum.core.n_generated,39
by_stratum.core.precision,0.3076923076923077
by_stratum.core.recall,0.12903225806451613
by_stratum.core.coverage,0.12903225806451613
by_stage.extraction.n_classes,40
by_stage.extraction.n_relations,27
by_stage.extraction.n_hierarchy,2
by_stage.extraction.coverage,0.129
by_stage.extraction.precision,0.3
by_stage.extraction.recall,0.129
by_stage.extraction.relation_recall,0.3889
by_stage.extraction.relation_precision,0.8519
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,44
by_stage.after_text_grounded.n_relations,38
by_stage.after_text_grounded.n_hierarchy,6
by_stage.after_text_grounded.coverage,0.129
by_stage.after_text_grounded.precision,0.2727
by_stage.after_text_grounded.recall,0.129
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.8947
by_stage.after_text_grounded.hierarchy_recall,0.0263
by_stage.after_text_grounded.hierarchy_precision,0.3333
by_stage.after_cleanup.n_classes,45
by_stage.after_cleanup.n_relations,37
by_stage.after_cleanup.n_hierarchy,6
by_stage.after_cleanup.coverage,0.1398
by_stage.after_cleanup.precision,0.2889
by_stage.after_cleanup.recall,0.1398
by_stage.after_cleanup.relation_recall,0.3889
by_stage.after_cleanup.relation_precision,0.8919
by_stage.after_cleanup.hierarchy_recall,0.0263
by_stage.after_cleanup.hierarchy_precision,0.3333
by_stage.after_orphan_rescue.n_classes,45
by_stage.after_orphan_rescue.n_relations,37
by_stage.after_orphan_rescue.n_hierarchy,7
by_stage.after_orphan_rescue.coverage,0.1398
by_stage.after_orphan_rescue.precision,0.2889
by_stage.after_orphan_rescue.recall,0.1398
by_stage.after_orphan_rescue.relation_recall,0.3889
by_stage.after_orphan_rescue.relation_precision,0.8919
by_stage.after_orphan_rescue.hierarchy_recall,0.0263
by_stage.after_orphan_rescue.hierarchy_precision,0.2857
by_stage.after_llm_refinement.n_classes,45
by_stage.after_llm_refinement.n_relations,37
by_stage.after_llm_refinement.n_hierarchy,7
by_stage.after_llm_refinement.coverage,0.1398
by_stage.after_llm_refinement.precision,0.2889
by_stage.after_llm_refinement.recall,0.1398
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.8919
by_stage.after_llm_refinement.hierarchy_recall,0.0263
by_stage.after_llm_refinement.hierarchy_precision,0.2857
