metric,value
coverage,0.3118279569892473
precision,0.4393939393939394
recall,0.3118279569892473
errors,{"hallucinations": 0, "plausible_out_of_ontology": 37, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,32
structural.hierarchy_coverage,0.5303030303030303
extraction_only.coverage,0.24731182795698925
extraction_only.precision,0.34328358208955223
extraction_only.recall,0.24731182795698925
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,5
extraction_only.structural.hierarchy_coverage,0.13432835820895522
extraction_only.relations.n_generated,67
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.4776
extraction_only.relations.recall,0.5
extraction_only.relations.per_gold_relation.has demographic data,True
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.3118279569892473
clinical_only.precision,0.4393939393939394
clinical_only.recall,0.3118279569892473
relations.n_generated,73
relations.n_gold,18
relations.precision,0.4658
relations.recall,0.5
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,32
hierarchy.n_gold,76
hierarchy.precision,0.2812
hierarchy.recall,0.1184
hierarchy.matched,9
by_stratum.core.n_generated,56
by_stratum.core.precision,0.39285714285714285
by_stratum.core.recall,0.23655913978494625
by_stratum.core.coverage,0.23655913978494625
by_stage.extraction.n_classes,67
by_stage.extraction.n_relations,67
by_stage.extraction.n_hierarchy,5
by_stage.extraction.coverage,0.2473
by_stage.extraction.precision,0.3433
by_stage.extraction.recall,0.2473
by_stage.extraction.relation_recall,0.5
by_stage.extraction.relation_precision,0.4776
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.2
by_stage.after_text_grounded.n_classes,77
by_stage.after_text_grounded.n_relations,80
by_stage.after_text_grounded.n_hierarchy,46
by_stage.after_text_grounded.coverage,0.3011
by_stage.after_text_grounded.precision,0.3636
by_stage.after_text_grounded.recall,0.3011
by_stage.after_text_grounded.relation_recall,0.5556
by_stage.after_text_grounded.relation_precision,0.4875
by_stage.after_text_grounded.hierarchy_recall,0.1447
by_stage.after_text_grounded.hierarchy_precision,0.2391
by_stage.after_cleanup.n_classes,66
by_stage.after_cleanup.n_relations,62
by_stage.after_cleanup.n_hierarchy,34
by_stage.after_cleanup.coverage,0.3118
by_stage.after_cleanup.precision,0.4394
by_stage.after_cleanup.recall,0.3118
by_stage.after_cleanup.relation_recall,0.5
by_stage.after_cleanup.relation_precision,0.5161
by_stage.after_cleanup.hierarchy_recall,0.1184
by_stage.after_cleanup.hierarchy_precision,0.2647
by_stage.after_orphan_rescue.n_classes,66
by_stage.after_orphan_rescue.n_relations,73
by_stage.after_orphan_rescue.n_hierarchy,34
by_stage.after_orphan_rescue.coverage,0.3118
by_stage.after_orphan_rescue.precision,0.4394
by_stage.after_orphan_rescue.recall,0.3118
by_stage.after_orphan_rescue.relation_recall,0.5
by_stage.after_orphan_rescue.relation_precision,0.4658
by_stage.after_orphan_rescue.hierarchy_recall,0.1184
by_stage.after_orphan_rescue.hierarchy_precision,0.2647
by_stage.after_llm_refinement.n_classes,66
by_stage.after_llm_refinement.n_relations,73
by_stage.after_llm_refinement.n_hierarchy,32
by_stage.after_llm_refinement.coverage,0.3118
by_stage.after_llm_refinement.precision,0.4394
by_stage.after_llm_refinement.recall,0.3118
by_stage.after_llm_refinement.relation_recall,0.5
by_stage.after_llm_refinement.relation_precision,0.4658
by_stage.after_llm_refinement.hierarchy_recall,0.1184
by_stage.after_llm_refinement.hierarchy_precision,0.2812
