metric,value
coverage,0.3655913978494624
precision,0.6296296296296297
recall,0.3655913978494624
errors,{"hallucinations": 0, "plausible_out_of_ontology": 20, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,38
structural.hierarchy_coverage,0.7037037037037037
extraction_only.coverage,0.26881720430107525
extraction_only.precision,0.43859649122807015
extraction_only.recall,0.26881720430107525
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,8
extraction_only.structural.hierarchy_coverage,0.17543859649122806
extraction_only.relations.n_generated,50
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.14
extraction_only.relations.recall,0.1111
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.3655913978494624
clinical_only.precision,0.6296296296296297
clinical_only.recall,0.3655913978494624
relations.n_generated,22
relations.n_gold,18
relations.precision,0.2273
relations.recall,0.1667
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,38
hierarchy.n_gold,76
hierarchy.precision,0.4211
hierarchy.recall,0.2105
hierarchy.matched,16
by_stratum.core.n_generated,36
by_stratum.core.precision,0.5555555555555556
by_stratum.core.recall,0.21505376344086022
by_stratum.core.coverage,0.21505376344086022
by_stage.extraction.n_classes,57
by_stage.extraction.n_relations,50
by_stage.extraction.n_hierarchy,8
by_stage.extraction.coverage,0.2688
by_stage.extraction.precision,0.4386
by_stage.extraction.recall,0.2688
by_stage.extraction.relation_recall,0.1111
by_stage.extraction.relation_precision,0.14
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.125
by_stage.after_text_grounded.n_classes,64
by_stage.after_text_grounded.n_relations,58
by_stage.after_text_grounded.n_hierarchy,58
by_stage.after_text_grounded.coverage,0.3226
by_stage.after_text_grounded.precision,0.4688
by_stage.after_text_grounded.recall,0.3226
by_stage.after_text_grounded.relation_recall,0.2778
by_stage.after_text_grounded.relation_precision,0.1724
by_stage.after_text_grounded.hierarchy_recall,0.2105
by_stage.after_text_grounded.hierarchy_precision,0.2759
by_stage.after_cleanup.n_classes,56
by_stage.after_cleanup.n_relations,18
by_stage.after_cleanup.n_hierarchy,40
by_stage.after_cleanup.coverage,0.3548
by_stage.after_cleanup.precision,0.5893
by_stage.after_cleanup.recall,0.3548
by_stage.after_cleanup.relation_recall,0.1667
by_stage.after_cleanup.relation_precision,0.2778
by_stage.after_cleanup.hierarchy_recall,0.2105
by_stage.after_cleanup.hierarchy_precision,0.4
by_stage.after_orphan_rescue.n_classes,57
by_stage.after_orphan_rescue.n_relations,22
by_stage.after_orphan_rescue.n_hierarchy,40
by_stage.after_orphan_rescue.coverage,0.3656
by_stage.after_orphan_rescue.precision,0.5965
by_stage.after_orphan_rescue.recall,0.3656
by_stage.after_orphan_rescue.relation_recall,0.1667
by_stage.after_orphan_rescue.relation_precision,0.2273
by_stage.after_orphan_rescue.hierarchy_recall,0.2105
by_stage.after_orphan_rescue.hierarchy_precision,0.4
by_stage.after_llm_refinement.n_classes,54
by_stage.after_llm_refinement.n_relations,22
by_stage.after_llm_refinement.n_hierarchy,38
by_stage.after_llm_refinement.coverage,0.3656
by_stage.after_llm_refinement.precision,0.6296
by_stage.after_llm_refinement.recall,0.3656
by_stage.after_llm_refinement.relation_recall,0.1667
by_stage.after_llm_refinement.relation_precision,0.2273
by_stage.after_llm_refinement.hierarchy_recall,0.2105
by_stage.after_llm_refinement.hierarchy_precision,0.4211
