metric,value
coverage,1.0
precision,1.0
recall,1.0
errors,{"hallucinations": 0, "plausible_out_of_ontology": 0, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,80
structural.hierarchy_coverage,0.9247311827956989
extraction_only.coverage,0.3010752688172043
extraction_only.precision,1.0
extraction_only.recall,0.3010752688172043
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,20
extraction_only.structural.hierarchy_coverage,0.6428571428571429
extraction_only.relations.n_generated,8
extraction_only.relations.n_gold,18
extraction_only.relations.precision,1.0
extraction_only.relations.recall,0.3333
extraction_only.relations.per_gold_relation.has demographic data,True
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,True
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,1.0
clinical_only.precision,1.0
clinical_only.recall,1.0
relations.n_generated,13
relations.n_gold,18
relations.precision,0.9231
relations.recall,0.5556
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,80
hierarchy.n_gold,76
hierarchy.precision,0.95
hierarchy.recall,1.0
hierarchy.matched,76
by_stratum.core.n_generated,28
by_stratum.core.precision,1.0
by_stratum.core.recall,0.3010752688172043
by_stratum.core.coverage,0.3010752688172043
by_stage.extraction.n_classes,28
by_stage.extraction.n_relations,8
by_stage.extraction.n_hierarchy,20
