metric,value
coverage,0.25806451612903225
precision,0.48
recall,0.25806451612903225
errors,{"hallucinations": 0, "plausible_out_of_ontology": 26, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,16
structural.hierarchy_coverage,0.38
extraction_only.coverage,0.22580645161290322
extraction_only.precision,0.5
extraction_only.recall,0.22580645161290322
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,3
extraction_only.structural.hierarchy_coverage,0.14285714285714285
extraction_only.relations.n_generated,48
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.6042
extraction_only.relations.recall,0.3889
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.25806451612903225
clinical_only.precision,0.48
clinical_only.recall,0.25806451612903225
relations.n_generated,50
relations.n_gold,18
relations.precision,0.58
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,16
hierarchy.n_gold,76
hierarchy.precision,0.0
hierarchy.recall,0.0
hierarchy.matched,0
by_stratum.core.n_generated,36
by_stratum.core.precision,0.5277777777777778
by_stratum.core.recall,0.20430107526881722
by_stratum.core.coverage,0.20430107526881722
by_stage.extraction.n_classes,42
by_stage.extraction.n_relations,48
by_stage.extraction.n_hierarchy,3
by_stage.extraction.coverage,0.2258
by_stage.extraction.precision,0.5
by_stage.extraction.recall,0.2258
by_stage.extraction.relation_recall,0.3889
by_stage.extraction.relation_precision,0.6042
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,54
by_stage.after_text_grounded.n_relations,62
by_stage.after_text_grounded.n_hierarchy,34
by_stage.after_text_grounded.coverage,0.2903
by_stage.after_text_grounded.precision,0.5
by_stage.after_text_grounded.recall,0.2903
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.5645
by_stage.after_text_grounded.hierarchy_recall,0.0263
by_stage.after_text_grounded.hierarchy_precision,0.0588
by_stage.after_cleanup.n_classes,50
by_stage.after_cleanup.n_relations,42
by_stage.after_cleanup.n_hierarchy,16
by_stage.after_cleanup.coverage,0.2581
by_stage.after_cleanup.precision,0.48
by_stage.after_cleanup.recall,0.2581
by_stage.after_cleanup.relation_recall,0.3333
by_stage.after_cleanup.relation_precision,0.619
by_stage.after_cleanup.hierarchy_recall,0.0
by_stage.after_cleanup.hierarchy_precision,0.0
by_stage.after_orphan_rescue.n_classes,51
by_stage.after_orphan_rescue.n_relations,51
by_stage.after_orphan_rescue.n_hierarchy,16
by_stage.after_orphan_rescue.coverage,0.2581
by_stage.after_orphan_rescue.precision,0.4706
by_stage.after_orphan_rescue.recall,0.2581
by_stage.after_orphan_rescue.relation_recall,0.3889
by_stage.after_orphan_rescue.relation_precision,0.5882
by_stage.after_orphan_rescue.hierarchy_recall,0.0
by_stage.after_orphan_rescue.hierarchy_precision,0.0
by_stage.after_llm_refinement.n_classes,50
by_stage.after_llm_refinement.n_relations,50
by_stage.after_llm_refinement.n_hierarchy,16
by_stage.after_llm_refinement.coverage,0.2581
by_stage.after_llm_refinement.precision,0.48
by_stage.after_llm_refinement.recall,0.2581
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.58
by_stage.after_llm_refinement.hierarchy_recall,0.0
by_stage.after_llm_refinement.hierarchy_precision,0.0
