metric,value
coverage,0.11827956989247312
precision,0.3793103448275862
recall,0.11827956989247312
errors,{"hallucinations": 0, "plausible_out_of_ontology": 18, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,7
structural.hierarchy_coverage,0.3448275862068966
extraction_only.coverage,0.12903225806451613
extraction_only.precision,0.4
extraction_only.recall,0.12903225806451613
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,4
extraction_only.structural.hierarchy_coverage,0.16666666666666666
extraction_only.relations.n_generated,14
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.7143
extraction_only.relations.recall,0.2222
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,False
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,True
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.11827956989247312
clinical_only.precision,0.3793103448275862
clinical_only.recall,0.11827956989247312
relations.n_generated,23
relations.n_gold,18
relations.precision,0.7826
relations.recall,0.2222
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,7
hierarchy.n_gold,76
hierarchy.precision,0.4286
hierarchy.recall,0.0395
hierarchy.matched,3
by_stratum.core.n_generated,28
by_stratum.core.precision,0.39285714285714285
by_stratum.core.recall,0.11827956989247312
by_stratum.core.coverage,0.11827956989247312
by_stage.extraction.n_classes,30
by_stage.extraction.n_relations,14
by_stage.extraction.n_hierarchy,4
by_stage.extraction.coverage,0.129
by_stage.extraction.precision,0.4
by_stage.extraction.recall,0.129
by_stage.extraction.relation_recall,0.2222
by_stage.extraction.relation_precision,0.7143
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,34
by_stage.after_text_grounded.n_relations,25
by_stage.after_text_grounded.n_hierarchy,10
by_stage.after_text_grounded.coverage,0.129
by_stage.after_text_grounded.precision,0.3529
by_stage.after_text_grounded.recall,0.129
by_stage.after_text_grounded.relation_recall,0.2222
by_stage.after_text_grounded.relation_precision,0.72
by_stage.after_text_grounded.hierarchy_recall,0.0395
by_stage.after_text_grounded.hierarchy_precision,0.3
by_stage.after_cleanup.n_classes,30
by_stage.after_cleanup.n_relations,24
by_stage.after_cleanup.n_hierarchy,7
by_stage.after_cleanup.coverage,0.1183
by_stage.after_cleanup.precision,0.3667
by_stage.after_cleanup.recall,0.1183
by_stage.after_cleanup.relation_recall,0.2222
by_stage.after_cleanup.relation_precision,0.75
by_stage.after_cleanup.hierarchy_recall,0.0395
by_stage.after_cleanup.hierarchy_precision,0.4286
by_stage.after_orphan_rescue.n_classes,30
by_stage.after_orphan_rescue.n_relations,24
by_stage.after_orphan_rescue.n_hierarchy,7
by_stage.after_orphan_rescue.coverage,0.1183
by_stage.after_orphan_rescue.precision,0.3667
by_stage.after_orphan_rescue.recall,0.1183
by_stage.after_orphan_rescue.relation_recall,0.2222
by_stage.after_orphan_rescue.relation_precision,0.75
by_stage.after_orphan_rescue.hierarchy_recall,0.0395
by_stage.after_orphan_rescue.hierarchy_precision,0.4286
by_stage.after_llm_refinement.n_classes,29
by_stage.after_llm_refinement.n_relations,23
by_stage.after_llm_refinement.n_hierarchy,7
by_stage.after_llm_refinement.coverage,0.1183
by_stage.after_llm_refinement.precision,0.3793
by_stage.after_llm_refinement.recall,0.1183
by_stage.after_llm_refinement.relation_recall,0.2222
by_stage.after_llm_refinement.relation_precision,0.7826
by_stage.after_llm_refinement.hierarchy_recall,0.0395
by_stage.after_llm_refinement.hierarchy_precision,0.4286
