metric,value
coverage,0.8194444444444444
precision,1.0
recall,0.8194444444444444
errors,{"hallucinations": 0, "plausible_out_of_ontology": 0, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,41
structural.hierarchy_coverage,0.8305084745762712
extraction_only.coverage,0.7083333333333334
extraction_only.precision,0.9272727272727272
extraction_only.recall,0.7083333333333334
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,29
extraction_only.structural.hierarchy_coverage,0.6545454545454545
extraction_only.relations.n_generated,20
extraction_only.relations.n_gold,16
extraction_only.relations.precision,1.0
extraction_only.relations.recall,0.8125
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,True
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,True
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,True
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.8194444444444444
clinical_only.precision,1.0
clinical_only.recall,0.8194444444444444
relations.n_generated,10
relations.n_gold,16
relations.precision,1.0
relations.recall,0.4375
relations.per_gold_relation.has monitoring data,False
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,True
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,41
hierarchy.n_gold,57
hierarchy.precision,1.0
hierarchy.recall,0.7193
hierarchy.matched,41
by_stratum.core.n_generated,50
by_stratum.core.precision,1.0
by_stratum.core.recall,0.6944444444444444
by_stratum.core.coverage,0.6944444444444444
by_stage.extraction.n_classes,55
by_stage.extraction.n_relations,20
by_stage.extraction.n_hierarchy,29
by_stage.extraction.coverage,0.7083
by_stage.extraction.precision,0.9273
by_stage.extraction.recall,0.7083
by_stage.extraction.relation_recall,0.8125
by_stage.extraction.relation_precision,1.0
by_stage.extraction.hierarchy_recall,0.0351
by_stage.extraction.hierarchy_precision,0.069
by_stage.after_sgc.n_classes,78
by_stage.after_sgc.n_relations,20
by_stage.after_sgc.n_hierarchy,82
by_stage.after_sgc.coverage,1.0
by_stage.after_sgc.precision,0.9487
by_stage.after_sgc.recall,1.0
by_stage.after_sgc.relation_recall,0.8125
by_stage.after_sgc.relation_precision,1.0
by_stage.after_sgc.hierarchy_recall,0.9649
by_stage.after_sgc.hierarchy_precision,0.6707
by_stage.after_cleanup.n_classes,74
by_stage.after_cleanup.n_relations,11
by_stage.after_cleanup.n_hierarchy,57
by_stage.after_cleanup.coverage,0.9722
by_stage.after_cleanup.precision,0.9459
by_stage.after_cleanup.recall,0.9722
by_stage.after_cleanup.relation_recall,0.4375
by_stage.after_cleanup.relation_precision,1.0
by_stage.after_cleanup.hierarchy_recall,0.9474
by_stage.after_cleanup.hierarchy_precision,0.9474
by_stage.after_llm_reasoning.n_classes,74
by_stage.after_llm_reasoning.n_relations,11
by_stage.after_llm_reasoning.n_hierarchy,57
by_stage.after_llm_reasoning.coverage,0.9722
by_stage.after_llm_reasoning.precision,0.9459
by_stage.after_llm_reasoning.recall,0.9722
by_stage.after_llm_reasoning.relation_recall,0.4375
by_stage.after_llm_reasoning.relation_precision,1.0
by_stage.after_llm_reasoning.hierarchy_recall,0.9474
by_stage.after_llm_reasoning.hierarchy_precision,0.9474
by_stage.after_rule_based.n_classes,71
by_stage.after_rule_based.n_relations,11
by_stage.after_rule_based.n_hierarchy,59
by_stage.after_rule_based.coverage,0.9722
by_stage.after_rule_based.precision,0.9859
by_stage.after_rule_based.recall,0.9722
by_stage.after_rule_based.relation_recall,0.4375
by_stage.after_rule_based.relation_precision,1.0
by_stage.after_rule_based.hierarchy_recall,0.9825
by_stage.after_rule_based.hierarchy_precision,0.9492
by_stage.after_gold_filter.n_classes,59
by_stage.after_gold_filter.n_relations,10
by_stage.after_gold_filter.n_hierarchy,41
by_stage.after_gold_filter.coverage,0.8194
by_stage.after_gold_filter.precision,1.0
by_stage.after_gold_filter.recall,0.8194
by_stage.after_gold_filter.relation_recall,0.4375
by_stage.after_gold_filter.relation_precision,1.0
by_stage.after_gold_filter.hierarchy_recall,0.7193
by_stage.after_gold_filter.hierarchy_precision,1.0
