metric,value
coverage,0.4838709677419355
precision,0.5921052631578947
recall,0.4838709677419355
errors,{"hallucinations": 0, "plausible_out_of_ontology": 31, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,43
structural.hierarchy_coverage,0.6052631578947368
relations.n_generated,95
relations.n_gold,18
relations.precision,0.6
relations.recall,0.5
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,43
hierarchy.n_gold,76
hierarchy.precision,0.3953
hierarchy.recall,0.2237
hierarchy.matched,17
