metric,value
coverage,0.4838709677419355
precision,0.38461538461538464
recall,0.4838709677419355
errors,{"hallucinations": 0, "plausible_out_of_ontology": 72, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,77
structural.hierarchy_coverage,0.7008547008547008
extraction_only.coverage,0.4946236559139785
extraction_only.precision,0.3108108108108108
extraction_only.recall,0.4946236559139785
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,16
extraction_only.structural.hierarchy_coverage,0.14864864864864866
extraction_only.relations.n_generated,33
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.4848
extraction_only.relations.recall,0.3333
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.4838709677419355
clinical_only.precision,0.38461538461538464
clinical_only.recall,0.4838709677419355
relations.n_generated,30
relations.n_gold,18
relations.precision,0.4667
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,77
hierarchy.n_gold,76
hierarchy.precision,0.0519
hierarchy.recall,0.0526
hierarchy.matched,4
by_stratum.core.n_generated,96
by_stratum.core.precision,0.4270833333333333
by_stratum.core.recall,0.44086021505376344
by_stratum.core.coverage,0.44086021505376344
by_stage.extraction.n_classes,148
by_stage.extraction.n_relations,33
by_stage.extraction.n_hierarchy,16
by_stage.extraction.coverage,0.4946
by_stage.extraction.precision,0.3108
by_stage.extraction.recall,0.4946
by_stage.extraction.relation_recall,0.2778
by_stage.extraction.relation_precision,0.4545
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.0625
by_stage.after_text_grounded.n_classes,166
by_stage.after_text_grounded.n_relations,45
by_stage.after_text_grounded.n_hierarchy,125
by_stage.after_text_grounded.coverage,0.5161
by_stage.after_text_grounded.precision,0.2892
by_stage.after_text_grounded.recall,0.5161
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.4
by_stage.after_text_grounded.hierarchy_recall,0.0526
by_stage.after_text_grounded.hierarchy_precision,0.032
by_stage.after_cleanup.n_classes,120
by_stage.after_cleanup.n_relations,23
by_stage.after_cleanup.n_hierarchy,80
by_stage.after_cleanup.coverage,0.4839
by_stage.after_cleanup.precision,0.375
by_stage.after_cleanup.recall,0.4839
by_stage.after_cleanup.relation_recall,0.3889
by_stage.after_cleanup.relation_precision,0.5652
by_stage.after_cleanup.hierarchy_recall,0.0526
by_stage.after_cleanup.hierarchy_precision,0.05
by_stage.after_orphan_rescue.n_classes,121
by_stage.after_orphan_rescue.n_relations,32
by_stage.after_orphan_rescue.n_hierarchy,80
by_stage.after_orphan_rescue.coverage,0.4839
by_stage.after_orphan_rescue.precision,0.3719
by_stage.after_orphan_rescue.recall,0.4839
by_stage.after_orphan_rescue.relation_recall,0.3889
by_stage.after_orphan_rescue.relation_precision,0.4375
by_stage.after_orphan_rescue.hierarchy_recall,0.0526
by_stage.after_orphan_rescue.hierarchy_precision,0.05
by_stage.after_llm_refinement.n_classes,117
by_stage.after_llm_refinement.n_relations,30
by_stage.after_llm_refinement.n_hierarchy,77
by_stage.after_llm_refinement.coverage,0.4839
by_stage.after_llm_refinement.precision,0.3846
by_stage.after_llm_refinement.recall,0.4839
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.4667
by_stage.after_llm_refinement.hierarchy_recall,0.0526
by_stage.after_llm_refinement.hierarchy_precision,0.0519
