metric,value
coverage,0.3763440860215054
precision,0.20348837209302326
recall,0.3763440860215054
errors,{"hallucinations": 0, "plausible_out_of_ontology": 137, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,129
structural.hierarchy_coverage,0.7616279069767442
extraction_only.coverage,0.46236559139784944
extraction_only.precision,0.14878892733564014
extraction_only.recall,0.46236559139784944
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,6
extraction_only.structural.hierarchy_coverage,0.04152249134948097
extraction_only.relations.n_generated,141
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3475
extraction_only.relations.recall,0.4444
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.3763440860215054
clinical_only.precision,0.20348837209302326
clinical_only.recall,0.3763440860215054
relations.n_generated,116
relations.n_gold,18
relations.precision,0.3276
relations.recall,0.4444
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,128
hierarchy.n_gold,76
hierarchy.precision,0.0703
hierarchy.recall,0.1184
hierarchy.matched,9
by_stratum.core.n_generated,136
by_stratum.core.precision,0.23529411764705882
by_stratum.core.recall,0.34408602150537637
by_stratum.core.coverage,0.34408602150537637
by_stage.extraction.n_classes,289
by_stage.extraction.n_relations,141
by_stage.extraction.n_hierarchy,6
by_stage.extraction.coverage,0.4624
by_stage.extraction.precision,0.1488
by_stage.extraction.recall,0.4624
by_stage.extraction.relation_recall,0.4444
by_stage.extraction.relation_precision,0.3475
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,345
by_stage.after_text_grounded.n_relations,193
by_stage.after_text_grounded.n_hierarchy,285
by_stage.after_text_grounded.coverage,0.4731
by_stage.after_text_grounded.precision,0.1275
by_stage.after_text_grounded.recall,0.4731
by_stage.after_text_grounded.relation_recall,0.5556
by_stage.after_text_grounded.relation_precision,0.3731
by_stage.after_text_grounded.hierarchy_recall,0.1974
by_stage.after_text_grounded.hierarchy_precision,0.0526
by_stage.after_cleanup.n_classes,258
by_stage.after_cleanup.n_relations,122
by_stage.after_cleanup.n_hierarchy,193
by_stage.after_cleanup.coverage,0.4516
by_stage.after_cleanup.precision,0.1628
by_stage.after_cleanup.recall,0.4516
by_stage.after_cleanup.relation_recall,0.5
by_stage.after_cleanup.relation_precision,0.3115
by_stage.after_cleanup.hierarchy_recall,0.2105
by_stage.after_cleanup.hierarchy_precision,0.0829
by_stage.after_orphan_rescue.n_classes,260
by_stage.after_orphan_rescue.n_relations,174
by_stage.after_orphan_rescue.n_hierarchy,202
by_stage.after_orphan_rescue.coverage,0.4624
by_stage.after_orphan_rescue.precision,0.1654
by_stage.after_orphan_rescue.recall,0.4624
by_stage.after_orphan_rescue.relation_recall,0.6111
by_stage.after_orphan_rescue.relation_precision,0.3391
by_stage.after_orphan_rescue.hierarchy_recall,0.2237
by_stage.after_orphan_rescue.hierarchy_precision,0.0842
by_stage.after_llm_refinement.n_classes,172
by_stage.after_llm_refinement.n_relations,116
by_stage.after_llm_refinement.n_hierarchy,129
by_stage.after_llm_refinement.coverage,0.3763
by_stage.after_llm_refinement.precision,0.2035
by_stage.after_llm_refinement.recall,0.3763
by_stage.after_llm_refinement.relation_recall,0.4444
by_stage.after_llm_refinement.relation_precision,0.3276
by_stage.after_llm_refinement.hierarchy_recall,0.1184
by_stage.after_llm_refinement.hierarchy_precision,0.0703
