metric,value
coverage,0.3655913978494624
precision,0.6296296296296297
recall,0.3655913978494624
errors,{"hallucinations": 0, "plausible_out_of_ontology": 20, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,21
structural.hierarchy_coverage,0.5
extraction_only.coverage,0.3870967741935484
extraction_only.precision,0.5625
extraction_only.recall,0.3870967741935484
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,15
extraction_only.structural.hierarchy_coverage,0.296875
extraction_only.relations.n_generated,47
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3404
extraction_only.relations.recall,0.3333
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.3655913978494624
clinical_only.precision,0.6296296296296297
clinical_only.recall,0.3655913978494624
relations.n_generated,48
relations.n_gold,18
relations.precision,0.4375
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,21
hierarchy.n_gold,76
hierarchy.precision,0.381
hierarchy.recall,0.1053
hierarchy.matched,8
by_stratum.core.n_generated,50
by_stratum.core.precision,0.68
by_stratum.core.recall,0.3655913978494624
by_stratum.core.coverage,0.3655913978494624
by_stage.extraction.n_classes,64
by_stage.extraction.n_relations,47
by_stage.extraction.n_hierarchy,15
by_stage.extraction.coverage,0.3871
by_stage.extraction.precision,0.5625
by_stage.extraction.recall,0.3871
by_stage.extraction.relation_recall,0.3333
by_stage.extraction.relation_precision,0.3404
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.0667
by_stage.after_text_grounded.n_classes,70
by_stage.after_text_grounded.n_relations,57
by_stage.after_text_grounded.n_hierarchy,23
by_stage.after_text_grounded.coverage,0.3871
by_stage.after_text_grounded.precision,0.5143
by_stage.after_text_grounded.recall,0.3871
by_stage.after_text_grounded.relation_recall,0.3333
by_stage.after_text_grounded.relation_precision,0.4211
by_stage.after_text_grounded.hierarchy_recall,0.1053
by_stage.after_text_grounded.hierarchy_precision,0.3478
by_stage.after_cleanup.n_classes,54
by_stage.after_cleanup.n_relations,44
by_stage.after_cleanup.n_hierarchy,19
by_stage.after_cleanup.coverage,0.3656
by_stage.after_cleanup.precision,0.6296
by_stage.after_cleanup.recall,0.3656
by_stage.after_cleanup.relation_recall,0.3333
by_stage.after_cleanup.relation_precision,0.4091
by_stage.after_cleanup.hierarchy_recall,0.1053
by_stage.after_cleanup.hierarchy_precision,0.4211
by_stage.after_orphan_rescue.n_classes,54
by_stage.after_orphan_rescue.n_relations,48
by_stage.after_orphan_rescue.n_hierarchy,22
by_stage.after_orphan_rescue.coverage,0.3656
by_stage.after_orphan_rescue.precision,0.6296
by_stage.after_orphan_rescue.recall,0.3656
by_stage.after_orphan_rescue.relation_recall,0.3889
by_stage.after_orphan_rescue.relation_precision,0.4375
by_stage.after_orphan_rescue.hierarchy_recall,0.1053
by_stage.after_orphan_rescue.hierarchy_precision,0.3636
by_stage.after_llm_refinement.n_classes,54
by_stage.after_llm_refinement.n_relations,48
by_stage.after_llm_refinement.n_hierarchy,21
by_stage.after_llm_refinement.coverage,0.3656
by_stage.after_llm_refinement.precision,0.6296
by_stage.after_llm_refinement.recall,0.3656
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.4375
by_stage.after_llm_refinement.hierarchy_recall,0.1053
by_stage.after_llm_refinement.hierarchy_precision,0.381
