metric,value
coverage,0.5483870967741935
precision,0.4180327868852459
recall,0.5483870967741935
errors,{"hallucinations": 0, "plausible_out_of_ontology": 71, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,94
structural.hierarchy_coverage,0.8032786885245902
extraction_only.coverage,0.6021505376344086
extraction_only.precision,0.34146341463414637
extraction_only.recall,0.6021505376344086
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,8
extraction_only.structural.hierarchy_coverage,0.06097560975609756
extraction_only.relations.n_generated,37
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.2703
extraction_only.relations.recall,0.2222
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.5483870967741935
clinical_only.precision,0.4180327868852459
clinical_only.recall,0.5483870967741935
relations.n_generated,33
relations.n_gold,18
relations.precision,0.5152
relations.recall,0.2222
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,94
hierarchy.n_gold,76
hierarchy.precision,0.117
hierarchy.recall,0.1447
hierarchy.matched,11
by_stratum.core.n_generated,120
by_stratum.core.precision,0.4166666666666667
by_stratum.core.recall,0.5376344086021505
by_stratum.core.coverage,0.5376344086021505
by_stage.extraction.n_classes,164
by_stage.extraction.n_relations,37
by_stage.extraction.n_hierarchy,8
by_stage.extraction.coverage,0.6022
by_stage.extraction.precision,0.3415
by_stage.extraction.recall,0.6022
by_stage.extraction.relation_recall,0.2222
by_stage.extraction.relation_precision,0.2703
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.125
by_stage.after_text_grounded.n_classes,173
by_stage.after_text_grounded.n_relations,53
by_stage.after_text_grounded.n_hierarchy,161
by_stage.after_text_grounded.coverage,0.6022
by_stage.after_text_grounded.precision,0.3237
by_stage.after_text_grounded.recall,0.6022
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.2642
by_stage.after_text_grounded.hierarchy_recall,0.1579
by_stage.after_text_grounded.hierarchy_precision,0.0745
by_stage.after_cleanup.n_classes,123
by_stage.after_cleanup.n_relations,25
by_stage.after_cleanup.n_hierarchy,77
by_stage.after_cleanup.coverage,0.5484
by_stage.after_cleanup.precision,0.4146
by_stage.after_cleanup.recall,0.5484
by_stage.after_cleanup.relation_recall,0.2222
by_stage.after_cleanup.relation_precision,0.36
by_stage.after_cleanup.hierarchy_recall,0.1447
by_stage.after_cleanup.hierarchy_precision,0.1429
by_stage.after_orphan_rescue.n_classes,123
by_stage.after_orphan_rescue.n_relations,34
by_stage.after_orphan_rescue.n_hierarchy,102
by_stage.after_orphan_rescue.coverage,0.5484
by_stage.after_orphan_rescue.precision,0.4146
by_stage.after_orphan_rescue.recall,0.5484
by_stage.after_orphan_rescue.relation_recall,0.2222
by_stage.after_orphan_rescue.relation_precision,0.5294
by_stage.after_orphan_rescue.hierarchy_recall,0.1447
by_stage.after_orphan_rescue.hierarchy_precision,0.1078
by_stage.after_llm_refinement.n_classes,122
by_stage.after_llm_refinement.n_relations,33
by_stage.after_llm_refinement.n_hierarchy,94
by_stage.after_llm_refinement.coverage,0.5484
by_stage.after_llm_refinement.precision,0.418
by_stage.after_llm_refinement.recall,0.5484
by_stage.after_llm_refinement.relation_recall,0.2222
by_stage.after_llm_refinement.relation_precision,0.5152
by_stage.after_llm_refinement.hierarchy_recall,0.1447
by_stage.after_llm_refinement.hierarchy_precision,0.117
