metric,value
coverage,0.3655913978494624
precision,0.18579234972677597
recall,0.3655913978494624
errors,{"hallucinations": 0, "plausible_out_of_ontology": 149, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,78
structural.hierarchy_coverage,0.48633879781420764
extraction_only.coverage,0.3978494623655914
extraction_only.precision,0.18974358974358974
extraction_only.recall,0.3978494623655914
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,2
extraction_only.structural.hierarchy_coverage,0.020512820512820513
extraction_only.relations.n_generated,71
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3099
extraction_only.relations.recall,0.2778
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.3655913978494624
clinical_only.precision,0.18579234972677597
clinical_only.recall,0.3655913978494624
relations.n_generated,64
relations.n_gold,18
relations.precision,0.5
relations.recall,0.4444
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,78
hierarchy.n_gold,76
hierarchy.precision,0.0385
hierarchy.recall,0.0395
hierarchy.matched,3
by_stratum.core.n_generated,159
by_stratum.core.precision,0.2138364779874214
by_stratum.core.recall,0.3655913978494624
by_stratum.core.coverage,0.3655913978494624
by_stage.extraction.n_classes,195
by_stage.extraction.n_relations,71
by_stage.extraction.n_hierarchy,2
by_stage.extraction.coverage,0.3978
by_stage.extraction.precision,0.1897
by_stage.extraction.recall,0.3978
by_stage.extraction.relation_recall,0.2778
by_stage.extraction.relation_precision,0.3099
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,211
by_stage.after_text_grounded.n_relations,80
by_stage.after_text_grounded.n_hierarchy,130
by_stage.after_text_grounded.coverage,0.3978
by_stage.after_text_grounded.precision,0.1754
by_stage.after_text_grounded.recall,0.3978
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.35
by_stage.after_text_grounded.hierarchy_recall,0.0921
by_stage.after_text_grounded.hierarchy_precision,0.0538
by_stage.after_cleanup.n_classes,203
by_stage.after_cleanup.n_relations,64
by_stage.after_cleanup.n_hierarchy,92
by_stage.after_cleanup.coverage,0.3763
by_stage.after_cleanup.precision,0.1724
by_stage.after_cleanup.recall,0.3763
by_stage.after_cleanup.relation_recall,0.3889
by_stage.after_cleanup.relation_precision,0.3438
by_stage.after_cleanup.hierarchy_recall,0.0526
by_stage.after_cleanup.hierarchy_precision,0.0435
by_stage.after_orphan_rescue.n_classes,203
by_stage.after_orphan_rescue.n_relations,76
by_stage.after_orphan_rescue.n_hierarchy,92
by_stage.after_orphan_rescue.coverage,0.3763
by_stage.after_orphan_rescue.precision,0.1724
by_stage.after_orphan_rescue.recall,0.3763
by_stage.after_orphan_rescue.relation_recall,0.4444
by_stage.after_orphan_rescue.relation_precision,0.4474
by_stage.after_orphan_rescue.hierarchy_recall,0.0526
by_stage.after_orphan_rescue.hierarchy_precision,0.0435
by_stage.after_llm_refinement.n_classes,183
by_stage.after_llm_refinement.n_relations,64
by_stage.after_llm_refinement.n_hierarchy,78
by_stage.after_llm_refinement.coverage,0.3656
by_stage.after_llm_refinement.precision,0.1858
by_stage.after_llm_refinement.recall,0.3656
by_stage.after_llm_refinement.relation_recall,0.4444
by_stage.after_llm_refinement.relation_precision,0.5
by_stage.after_llm_refinement.hierarchy_recall,0.0395
by_stage.after_llm_refinement.hierarchy_precision,0.0385
