metric,value
coverage,0.9032258064516129
precision,0.7777777777777778
recall,0.9032258064516129
errors,{"hallucinations": 0, "plausible_out_of_ontology": 24, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,90
structural.hierarchy_coverage,0.8425925925925926
extraction_only.coverage,0.3548387096774194
extraction_only.precision,0.5892857142857143
extraction_only.recall,0.3548387096774194
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,11
extraction_only.structural.hierarchy_coverage,0.26785714285714285
extraction_only.relations.n_generated,34
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.7059
extraction_only.relations.recall,0.2778
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.9032258064516129
clinical_only.precision,0.7777777777777778
clinical_only.recall,0.9032258064516129
relations.n_generated,50
relations.n_gold,18
relations.precision,0.9
relations.recall,0.8889
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,90
hierarchy.n_gold,76
hierarchy.precision,0.7222
hierarchy.recall,0.8553
hierarchy.matched,65
by_stratum.core.n_generated,46
by_stratum.core.precision,0.6304347826086957
by_stratum.core.recall,0.3118279569892473
by_stratum.core.coverage,0.3118279569892473
by_stage.extraction.n_classes,56
by_stage.extraction.n_relations,34
by_stage.extraction.n_hierarchy,11
by_stage.extraction.coverage,0.3548
by_stage.extraction.precision,0.5893
by_stage.extraction.recall,0.3548
by_stage.extraction.relation_recall,0.2778
by_stage.extraction.relation_precision,0.6765
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.0909
by_stage.after_text_grounded.n_classes,63
by_stage.after_text_grounded.n_relations,46
by_stage.after_text_grounded.n_hierarchy,42
by_stage.after_text_grounded.coverage,0.3871
by_stage.after_text_grounded.precision,0.5714
by_stage.after_text_grounded.recall,0.3871
by_stage.after_text_grounded.relation_recall,0.2778
by_stage.after_text_grounded.relation_precision,0.5652
by_stage.after_text_grounded.hierarchy_recall,0.1053
by_stage.after_text_grounded.hierarchy_precision,0.1905
by_stage.after_sgc.n_classes,101
by_stage.after_sgc.n_relations,63
by_stage.after_sgc.n_hierarchy,88
by_stage.after_sgc.coverage,0.7419
by_stage.after_sgc.precision,0.6832
by_stage.after_sgc.recall,0.7419
by_stage.after_sgc.relation_recall,1.0
by_stage.after_sgc.relation_precision,0.6825
by_stage.after_sgc.hierarchy_recall,0.7105
by_stage.after_sgc.hierarchy_precision,0.6136
by_stage.after_cleanup.n_classes,107
by_stage.after_cleanup.n_relations,41
by_stage.after_cleanup.n_hierarchy,80
by_stage.after_cleanup.coverage,0.8925
by_stage.after_cleanup.precision,0.7757
by_stage.after_cleanup.recall,0.8925
by_stage.after_cleanup.relation_recall,0.8889
by_stage.after_cleanup.relation_precision,0.9268
by_stage.after_cleanup.hierarchy_recall,0.7368
by_stage.after_cleanup.hierarchy_precision,0.7
by_stage.after_orphan_rescue.n_classes,108
by_stage.after_orphan_rescue.n_relations,50
by_stage.after_orphan_rescue.n_hierarchy,80
by_stage.after_orphan_rescue.coverage,0.9032
by_stage.after_orphan_rescue.precision,0.7778
by_stage.after_orphan_rescue.recall,0.9032
by_stage.after_orphan_rescue.relation_recall,0.8889
by_stage.after_orphan_rescue.relation_precision,0.9
by_stage.after_orphan_rescue.hierarchy_recall,0.7368
by_stage.after_orphan_rescue.hierarchy_precision,0.7
by_stage.after_llm_refinement.n_classes,108
by_stage.after_llm_refinement.n_relations,50
by_stage.after_llm_refinement.n_hierarchy,79
by_stage.after_llm_refinement.coverage,0.9032
by_stage.after_llm_refinement.precision,0.7778
by_stage.after_llm_refinement.recall,0.9032
by_stage.after_llm_refinement.relation_recall,0.8889
by_stage.after_llm_refinement.relation_precision,0.9
by_stage.after_llm_refinement.hierarchy_recall,0.7368
by_stage.after_llm_refinement.hierarchy_precision,0.7089
by_stage.after_rule_based.n_classes,108
by_stage.after_rule_based.n_relations,50
by_stage.after_rule_based.n_hierarchy,90
by_stage.after_rule_based.coverage,0.9032
by_stage.after_rule_based.precision,0.7778
by_stage.after_rule_based.recall,0.9032
by_stage.after_rule_based.relation_recall,0.8889
by_stage.after_rule_based.relation_precision,0.9
by_stage.after_rule_based.hierarchy_recall,0.8553
by_stage.after_rule_based.hierarchy_precision,0.7222
