metric,value
coverage,0.5
precision,1.0
recall,0.5
errors,{"hallucinations": 0, "plausible_out_of_ontology": 0, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,2
structural.hierarchy_coverage,0.08333333333333333
extraction_only.coverage,0.5
extraction_only.precision,1.0
extraction_only.recall,0.5
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,41
extraction_only.structural.hierarchy_coverage,1.1944444444444444
extraction_only.relations.n_generated,8
extraction_only.relations.n_gold,16
extraction_only.relations.precision,1.0
extraction_only.relations.recall,0.3125
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,True
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.5
clinical_only.precision,1.0
clinical_only.recall,0.5
relations.n_generated,6
relations.n_gold,16
relations.precision,1.0
relations.recall,0.1875
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,2
hierarchy.n_gold,57
hierarchy.precision,0.5
hierarchy.recall,0.0175
hierarchy.matched,1
by_stratum.core.n_generated,36
by_stratum.core.precision,1.0
by_stratum.core.recall,0.5
by_stratum.core.coverage,0.5
by_stage.extraction.n_classes,36
by_stage.extraction.n_relations,8
by_stage.extraction.n_hierarchy,41
by_stage.extraction.coverage,0.5
by_stage.extraction.precision,1.0
by_stage.extraction.recall,0.5
by_stage.extraction.relation_recall,0.3125
by_stage.extraction.relation_precision,1.0
by_stage.extraction.hierarchy_recall,0.2281
by_stage.extraction.hierarchy_precision,0.3171
by_stage.after_cleanup.n_classes,36
by_stage.after_cleanup.n_relations,6
by_stage.after_cleanup.n_hierarchy,2
by_stage.after_cleanup.coverage,0.5
by_stage.after_cleanup.precision,1.0
by_stage.after_cleanup.recall,0.5
by_stage.after_cleanup.relation_recall,0.1875
by_stage.after_cleanup.relation_precision,1.0
by_stage.after_cleanup.hierarchy_recall,0.0175
by_stage.after_cleanup.hierarchy_precision,0.5
by_stage.after_gold_filter.n_classes,36
by_stage.after_gold_filter.n_relations,6
by_stage.after_gold_filter.n_hierarchy,2
by_stage.after_gold_filter.coverage,0.5
by_stage.after_gold_filter.precision,1.0
by_stage.after_gold_filter.recall,0.5
by_stage.after_gold_filter.relation_recall,0.1875
by_stage.after_gold_filter.relation_precision,1.0
by_stage.after_gold_filter.hierarchy_recall,0.0175
by_stage.after_gold_filter.hierarchy_precision,0.5
