metric,value
coverage,0.7849462365591398
precision,0.7019230769230769
recall,0.7849462365591398
errors,{"hallucinations": 0, "plausible_out_of_ontology": 31, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,71
structural.hierarchy_coverage,0.75
extraction_only.coverage,0.26881720430107525
extraction_only.precision,0.44642857142857145
extraction_only.recall,0.26881720430107525
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,3
extraction_only.structural.hierarchy_coverage,0.10714285714285714
extraction_only.relations.n_generated,34
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3824
extraction_only.relations.recall,0.3333
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,False
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.7849462365591398
clinical_only.precision,0.7019230769230769
clinical_only.recall,0.7849462365591398
relations.n_generated,58
relations.n_gold,18
relations.precision,0.5172
relations.recall,0.8333
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,71
hierarchy.n_gold,76
hierarchy.precision,0.6338
hierarchy.recall,0.5921
hierarchy.matched,45
by_stratum.core.n_generated,39
by_stratum.core.precision,0.5384615384615384
by_stratum.core.recall,0.22580645161290322
by_stratum.core.coverage,0.22580645161290322
by_stage.extraction.n_classes,56
by_stage.extraction.n_relations,34
by_stage.extraction.n_hierarchy,3
by_stage.extraction.coverage,0.2688
by_stage.extraction.precision,0.4464
by_stage.extraction.recall,0.2688
by_stage.extraction.relation_recall,0.3333
by_stage.extraction.relation_precision,0.3824
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,72
by_stage.after_text_grounded.n_relations,48
by_stage.after_text_grounded.n_hierarchy,35
by_stage.after_text_grounded.coverage,0.3011
by_stage.after_text_grounded.precision,0.3889
by_stage.after_text_grounded.recall,0.3011
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.4167
by_stage.after_text_grounded.hierarchy_recall,0.0395
by_stage.after_text_grounded.hierarchy_precision,0.0857
by_stage.after_sgc.n_classes,106
by_stage.after_sgc.n_relations,61
by_stage.after_sgc.n_hierarchy,68
by_stage.after_sgc.coverage,0.6237
by_stage.after_sgc.precision,0.5472
by_stage.after_sgc.recall,0.6237
by_stage.after_sgc.relation_recall,0.9444
by_stage.after_sgc.relation_precision,0.541
by_stage.after_sgc.hierarchy_recall,0.4737
by_stage.after_sgc.hierarchy_precision,0.5294
by_stage.after_cleanup.n_classes,113
by_stage.after_cleanup.n_relations,53
by_stage.after_cleanup.n_hierarchy,59
by_stage.after_cleanup.coverage,0.7742
by_stage.after_cleanup.precision,0.6372
by_stage.after_cleanup.recall,0.7742
by_stage.after_cleanup.relation_recall,0.8333
by_stage.after_cleanup.relation_precision,0.5472
by_stage.after_cleanup.hierarchy_recall,0.4605
by_stage.after_cleanup.hierarchy_precision,0.5932
by_stage.after_orphan_rescue.n_classes,116
by_stage.after_orphan_rescue.n_relations,62
by_stage.after_orphan_rescue.n_hierarchy,59
by_stage.after_orphan_rescue.coverage,0.7957
by_stage.after_orphan_rescue.precision,0.6379
by_stage.after_orphan_rescue.recall,0.7957
by_stage.after_orphan_rescue.relation_recall,0.8333
by_stage.after_orphan_rescue.relation_precision,0.4839
by_stage.after_orphan_rescue.hierarchy_recall,0.4605
by_stage.after_orphan_rescue.hierarchy_precision,0.5932
by_stage.after_llm_refinement.n_classes,113
by_stage.after_llm_refinement.n_relations,58
by_stage.after_llm_refinement.n_hierarchy,59
by_stage.after_llm_refinement.coverage,0.7957
by_stage.after_llm_refinement.precision,0.6549
by_stage.after_llm_refinement.recall,0.7957
by_stage.after_llm_refinement.relation_recall,0.8333
by_stage.after_llm_refinement.relation_precision,0.5172
by_stage.after_llm_refinement.hierarchy_recall,0.4605
by_stage.after_llm_refinement.hierarchy_precision,0.5932
by_stage.after_rule_based.n_classes,104
by_stage.after_rule_based.n_relations,58
by_stage.after_rule_based.n_hierarchy,71
by_stage.after_rule_based.coverage,0.7849
by_stage.after_rule_based.precision,0.7019
by_stage.after_rule_based.recall,0.7849
by_stage.after_rule_based.relation_recall,0.8333
by_stage.after_rule_based.relation_precision,0.5172
by_stage.after_rule_based.hierarchy_recall,0.5921
by_stage.after_rule_based.hierarchy_precision,0.6338
