metric,value
coverage,0.3010752688172043
precision,0.4745762711864407
recall,0.3010752688172043
errors,{"hallucinations": 0, "plausible_out_of_ontology": 31, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,28
structural.hierarchy_coverage,0.5932203389830508
extraction_only.coverage,0.2903225806451613
extraction_only.precision,0.48214285714285715
extraction_only.recall,0.2903225806451613
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,3
extraction_only.structural.hierarchy_coverage,0.10714285714285714
extraction_only.relations.n_generated,41
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.4634
extraction_only.relations.recall,0.5
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.3010752688172043
clinical_only.precision,0.4745762711864407
clinical_only.recall,0.3010752688172043
relations.n_generated,44
relations.n_gold,18
relations.precision,0.4091
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,28
hierarchy.n_gold,76
hierarchy.precision,0.1429
hierarchy.recall,0.0526
hierarchy.matched,4
by_stratum.core.n_generated,52
by_stratum.core.precision,0.5
by_stratum.core.recall,0.27956989247311825
by_stratum.core.coverage,0.27956989247311825
by_stage.extraction.n_classes,56
by_stage.extraction.n_relations,41
by_stage.extraction.n_hierarchy,3
by_stage.extraction.coverage,0.2903
by_stage.extraction.precision,0.4821
by_stage.extraction.recall,0.2903
by_stage.extraction.relation_recall,0.5
by_stage.extraction.relation_precision,0.4634
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,65
by_stage.after_text_grounded.n_relations,53
by_stage.after_text_grounded.n_hierarchy,44
by_stage.after_text_grounded.coverage,0.3118
by_stage.after_text_grounded.precision,0.4462
by_stage.after_text_grounded.recall,0.3118
by_stage.after_text_grounded.relation_recall,0.5
by_stage.after_text_grounded.relation_precision,0.4151
by_stage.after_text_grounded.hierarchy_recall,0.0921
by_stage.after_text_grounded.hierarchy_precision,0.1591
by_stage.after_cleanup.n_classes,60
by_stage.after_cleanup.n_relations,37
by_stage.after_cleanup.n_hierarchy,25
by_stage.after_cleanup.coverage,0.3011
by_stage.after_cleanup.precision,0.4667
by_stage.after_cleanup.recall,0.3011
by_stage.after_cleanup.relation_recall,0.4444
by_stage.after_cleanup.relation_precision,0.4595
by_stage.after_cleanup.hierarchy_recall,0.0526
by_stage.after_cleanup.hierarchy_precision,0.16
by_stage.after_orphan_rescue.n_classes,60
by_stage.after_orphan_rescue.n_relations,47
by_stage.after_orphan_rescue.n_hierarchy,28
by_stage.after_orphan_rescue.coverage,0.3011
by_stage.after_orphan_rescue.precision,0.4667
by_stage.after_orphan_rescue.recall,0.3011
by_stage.after_orphan_rescue.relation_recall,0.4444
by_stage.after_orphan_rescue.relation_precision,0.4255
by_stage.after_orphan_rescue.hierarchy_recall,0.0526
by_stage.after_orphan_rescue.hierarchy_precision,0.1429
by_stage.after_llm_refinement.n_classes,59
by_stage.after_llm_refinement.n_relations,44
by_stage.after_llm_refinement.n_hierarchy,28
by_stage.after_llm_refinement.coverage,0.3011
by_stage.after_llm_refinement.precision,0.4746
by_stage.after_llm_refinement.recall,0.3011
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.4091
by_stage.after_llm_refinement.hierarchy_recall,0.0526
by_stage.after_llm_refinement.hierarchy_precision,0.1429
