metric,value
coverage,0.9861111111111112
precision,1.0
recall,0.9861111111111112
errors,{"hallucinations": 0, "plausible_out_of_ontology": 0, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,65
structural.hierarchy_coverage,0.9154929577464789
extraction_only.coverage,0.5555555555555556
extraction_only.precision,1.0
extraction_only.recall,0.5555555555555556
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,47
extraction_only.structural.hierarchy_coverage,1.25
extraction_only.relations.n_generated,12
extraction_only.relations.n_gold,16
extraction_only.relations.precision,1.0
extraction_only.relations.recall,0.5625
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,True
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,True
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,True
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.9861111111111112
clinical_only.precision,1.0
clinical_only.recall,0.9861111111111112
relations.n_generated,23
relations.n_gold,16
relations.precision,1.0
relations.recall,1.0
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,True
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,True
hierarchy.n_generated,65
hierarchy.n_gold,57
hierarchy.precision,0.8769
hierarchy.recall,1.0
hierarchy.matched,57
by_stratum.core.n_generated,40
by_stratum.core.precision,1.0
by_stratum.core.recall,0.5555555555555556
by_stratum.core.coverage,0.5555555555555556
by_stage.extraction.n_classes,40
by_stage.extraction.n_relations,12
by_stage.extraction.n_hierarchy,47
by_stage.extraction.coverage,0.5556
by_stage.extraction.precision,1.0
by_stage.extraction.recall,0.5556
by_stage.extraction.relation_recall,0.5625
by_stage.extraction.relation_precision,1.0
by_stage.extraction.hierarchy_recall,0.2105
by_stage.extraction.hierarchy_precision,0.2553
by_stage.after_sgc.n_classes,74
by_stage.after_sgc.n_relations,23
by_stage.after_sgc.n_hierarchy,72
by_stage.after_sgc.coverage,1.0
by_stage.after_sgc.precision,1.0
by_stage.after_sgc.recall,1.0
by_stage.after_sgc.relation_recall,1.0
by_stage.after_sgc.relation_precision,1.0
by_stage.after_sgc.hierarchy_recall,0.6491
by_stage.after_sgc.hierarchy_precision,0.5139
by_stage.after_cleanup.n_classes,72
by_stage.after_cleanup.n_relations,23
by_stage.after_cleanup.n_hierarchy,45
by_stage.after_cleanup.coverage,1.0
by_stage.after_cleanup.precision,1.0
by_stage.after_cleanup.recall,1.0
by_stage.after_cleanup.relation_recall,1.0
by_stage.after_cleanup.relation_precision,1.0
by_stage.after_cleanup.hierarchy_recall,0.6491
by_stage.after_cleanup.hierarchy_precision,0.8222
by_stage.after_llm_reasoning.n_classes,72
by_stage.after_llm_reasoning.n_relations,23
by_stage.after_llm_reasoning.n_hierarchy,47
by_stage.after_llm_reasoning.coverage,1.0
by_stage.after_llm_reasoning.precision,1.0
by_stage.after_llm_reasoning.recall,1.0
by_stage.after_llm_reasoning.relation_recall,1.0
by_stage.after_llm_reasoning.relation_precision,1.0
by_stage.after_llm_reasoning.hierarchy_recall,0.6842
by_stage.after_llm_reasoning.hierarchy_precision,0.8298
by_stage.after_rule_based.n_classes,72
by_stage.after_rule_based.n_relations,23
by_stage.after_rule_based.n_hierarchy,65
by_stage.after_rule_based.coverage,1.0
by_stage.after_rule_based.precision,1.0
by_stage.after_rule_based.recall,1.0
by_stage.after_rule_based.relation_recall,1.0
by_stage.after_rule_based.relation_precision,1.0
by_stage.after_rule_based.hierarchy_recall,1.0
by_stage.after_rule_based.hierarchy_precision,0.8769
by_stage.after_gold_filter.n_classes,71
by_stage.after_gold_filter.n_relations,23
by_stage.after_gold_filter.n_hierarchy,65
by_stage.after_gold_filter.coverage,0.9861
by_stage.after_gold_filter.precision,1.0
by_stage.after_gold_filter.recall,0.9861
by_stage.after_gold_filter.relation_recall,1.0
by_stage.after_gold_filter.relation_precision,1.0
by_stage.after_gold_filter.hierarchy_recall,1.0
by_stage.after_gold_filter.hierarchy_precision,0.8769
