metric,value
coverage,0.5972222222222222
precision,1.0
recall,0.5972222222222222
errors,{"hallucinations": 0, "plausible_out_of_ontology": 0, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,1
structural.hierarchy_coverage,0.046511627906976744
extraction_only.coverage,0.6111111111111112
extraction_only.precision,0.8979591836734694
extraction_only.recall,0.6111111111111112
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,27
extraction_only.structural.hierarchy_coverage,0.6938775510204082
extraction_only.relations.n_generated,12
extraction_only.relations.n_gold,16
extraction_only.relations.precision,0.9167
extraction_only.relations.recall,0.25
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.5972222222222222
clinical_only.precision,1.0
clinical_only.recall,0.5972222222222222
relations.n_generated,2
relations.n_gold,16
relations.precision,1.0
relations.recall,0.125
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,1
hierarchy.n_gold,57
hierarchy.precision,1.0
hierarchy.recall,0.0175
hierarchy.matched,1
by_stratum.core.n_generated,43
by_stratum.core.precision,1.0
by_stratum.core.recall,0.5972222222222222
by_stratum.core.coverage,0.5972222222222222
by_stage.extraction.n_classes,49
by_stage.extraction.n_relations,12
by_stage.extraction.n_hierarchy,27
by_stage.extraction.coverage,0.6111
by_stage.extraction.precision,0.898
by_stage.extraction.recall,0.6111
by_stage.extraction.relation_recall,0.25
by_stage.extraction.relation_precision,0.9167
by_stage.extraction.hierarchy_recall,0.0175
by_stage.extraction.hierarchy_precision,0.037
by_stage.after_cleanup.n_classes,48
by_stage.after_cleanup.n_relations,5
by_stage.after_cleanup.n_hierarchy,1
by_stage.after_cleanup.coverage,0.5972
by_stage.after_cleanup.precision,0.8958
by_stage.after_cleanup.recall,0.5972
by_stage.after_cleanup.relation_recall,0.1875
by_stage.after_cleanup.relation_precision,1.0
by_stage.after_cleanup.hierarchy_recall,0.0175
by_stage.after_cleanup.hierarchy_precision,1.0
by_stage.after_gold_filter.n_classes,43
by_stage.after_gold_filter.n_relations,2
by_stage.after_gold_filter.n_hierarchy,1
by_stage.after_gold_filter.coverage,0.5972
by_stage.after_gold_filter.precision,1.0
by_stage.after_gold_filter.recall,0.5972
by_stage.after_gold_filter.relation_recall,0.125
by_stage.after_gold_filter.relation_precision,1.0
by_stage.after_gold_filter.hierarchy_recall,0.0175
by_stage.after_gold_filter.hierarchy_precision,1.0
