metric,value
coverage,0.9032258064516129
precision,0.2014388489208633
recall,0.9032258064516129
errors,{"hallucinations": 0, "plausible_out_of_ontology": 333, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,347
structural.hierarchy_coverage,0.9040767386091128
extraction_only.coverage,0.45161290322580644
extraction_only.precision,0.16216216216216217
extraction_only.recall,0.45161290322580644
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,10
extraction_only.structural.hierarchy_coverage,0.06563706563706563
extraction_only.relations.n_generated,245
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.302
extraction_only.relations.recall,0.5556
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,True
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.9032258064516129
clinical_only.precision,0.2014388489208633
clinical_only.recall,0.9032258064516129
relations.n_generated,241
relations.n_gold,18
relations.precision,0.3112
relations.recall,0.6111
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
