metric,value
coverage,0.17204301075268819
precision,0.47058823529411764
recall,0.17204301075268819
errors,{"hallucinations": 0, "plausible_out_of_ontology": 18, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,23
structural.hierarchy_coverage,0.7058823529411765
extraction_only.coverage,0.17204301075268819
extraction_only.precision,0.38095238095238093
extraction_only.recall,0.17204301075268819
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,6
extraction_only.structural.hierarchy_coverage,0.2619047619047619
extraction_only.relations.n_generated,23
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.4348
extraction_only.relations.recall,0.3333
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,False
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,True
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.17204301075268819
clinical_only.precision,0.47058823529411764
clinical_only.recall,0.17204301075268819
relations.n_generated,24
relations.n_gold,18
relations.precision,0.375
relations.recall,0.2778
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,23
hierarchy.n_gold,76
hierarchy.precision,0.1304
hierarchy.recall,0.0395
hierarchy.matched,3
by_stratum.core.n_generated,32
by_stratum.core.precision,0.5
by_stratum.core.recall,0.17204301075268819
by_stratum.core.coverage,0.17204301075268819
by_stage.extraction.n_classes,42
by_stage.extraction.n_relations,23
by_stage.extraction.n_hierarchy,6
by_stage.extraction.coverage,0.172
by_stage.extraction.precision,0.381
by_stage.extraction.recall,0.172
by_stage.extraction.relation_recall,0.3889
by_stage.extraction.relation_precision,0.3913
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,47
by_stage.after_text_grounded.n_relations,37
by_stage.after_text_grounded.n_hierarchy,32
by_stage.after_text_grounded.coverage,0.172
by_stage.after_text_grounded.precision,0.3404
by_stage.after_text_grounded.recall,0.172
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.2703
by_stage.after_text_grounded.hierarchy_recall,0.0132
by_stage.after_text_grounded.hierarchy_precision,0.0312
by_stage.after_cleanup.n_classes,35
by_stage.after_cleanup.n_relations,22
by_stage.after_cleanup.n_hierarchy,24
by_stage.after_cleanup.coverage,0.172
by_stage.after_cleanup.precision,0.4571
by_stage.after_cleanup.recall,0.172
by_stage.after_cleanup.relation_recall,0.2778
by_stage.after_cleanup.relation_precision,0.4091
by_stage.after_cleanup.hierarchy_recall,0.0395
by_stage.after_cleanup.hierarchy_precision,0.125
by_stage.after_orphan_rescue.n_classes,35
by_stage.after_orphan_rescue.n_relations,25
by_stage.after_orphan_rescue.n_hierarchy,24
by_stage.after_orphan_rescue.coverage,0.172
by_stage.after_orphan_rescue.precision,0.4571
by_stage.after_orphan_rescue.recall,0.172
by_stage.after_orphan_rescue.relation_recall,0.2778
by_stage.after_orphan_rescue.relation_precision,0.36
by_stage.after_orphan_rescue.hierarchy_recall,0.0395
by_stage.after_orphan_rescue.hierarchy_precision,0.125
by_stage.after_llm_refinement.n_classes,34
by_stage.after_llm_refinement.n_relations,24
by_stage.after_llm_refinement.n_hierarchy,23
by_stage.after_llm_refinement.coverage,0.172
by_stage.after_llm_refinement.precision,0.4706
by_stage.after_llm_refinement.recall,0.172
by_stage.after_llm_refinement.relation_recall,0.2778
by_stage.after_llm_refinement.relation_precision,0.375
by_stage.after_llm_refinement.hierarchy_recall,0.0395
by_stage.after_llm_refinement.hierarchy_precision,0.1304
