metric,value
coverage,0.08602150537634409
precision,0.36363636363636365
recall,0.08602150537634409
errors,{"hallucinations": 0, "plausible_out_of_ontology": 14, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,2
structural.hierarchy_coverage,0.13636363636363635
extraction_only.coverage,0.08602150537634409
extraction_only.precision,0.34782608695652173
extraction_only.recall,0.08602150537634409
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,1
extraction_only.structural.hierarchy_coverage,0.08695652173913043
extraction_only.relations.n_generated,16
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.375
extraction_only.relations.recall,0.2222
extraction_only.relations.per_gold_relation.has demographic data,True
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,False
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.08602150537634409
clinical_only.precision,0.36363636363636365
clinical_only.recall,0.08602150537634409
relations.n_generated,23
relations.n_gold,18
relations.precision,0.4348
relations.recall,0.2222
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,False
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,2
hierarchy.n_gold,76
hierarchy.precision,0.0
hierarchy.recall,0.0
hierarchy.matched,0
by_stratum.core.n_generated,20
by_stratum.core.precision,0.4
by_stratum.core.recall,0.08602150537634409
by_stratum.core.coverage,0.08602150537634409
by_stage.extraction.n_classes,23
by_stage.extraction.n_relations,16
by_stage.extraction.n_hierarchy,1
by_stage.extraction.coverage,0.086
by_stage.extraction.precision,0.3478
by_stage.extraction.recall,0.086
by_stage.extraction.relation_recall,0.2222
by_stage.extraction.relation_precision,0.375
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,30
by_stage.after_text_grounded.n_relations,26
by_stage.after_text_grounded.n_hierarchy,3
by_stage.after_text_grounded.coverage,0.086
by_stage.after_text_grounded.precision,0.2667
by_stage.after_text_grounded.recall,0.086
by_stage.after_text_grounded.relation_recall,0.2778
by_stage.after_text_grounded.relation_precision,0.4231
by_stage.after_text_grounded.hierarchy_recall,0.0
by_stage.after_text_grounded.hierarchy_precision,0.0
by_stage.after_cleanup.n_classes,23
by_stage.after_cleanup.n_relations,24
by_stage.after_cleanup.n_hierarchy,2
by_stage.after_cleanup.coverage,0.086
by_stage.after_cleanup.precision,0.3478
by_stage.after_cleanup.recall,0.086
by_stage.after_cleanup.relation_recall,0.2778
by_stage.after_cleanup.relation_precision,0.4583
by_stage.after_cleanup.hierarchy_recall,0.0
by_stage.after_cleanup.hierarchy_precision,0.0
by_stage.after_orphan_rescue.n_classes,23
by_stage.after_orphan_rescue.n_relations,24
by_stage.after_orphan_rescue.n_hierarchy,3
by_stage.after_orphan_rescue.coverage,0.086
by_stage.after_orphan_rescue.precision,0.3478
by_stage.after_orphan_rescue.recall,0.086
by_stage.after_orphan_rescue.relation_recall,0.2778
by_stage.after_orphan_rescue.relation_precision,0.4583
by_stage.after_orphan_rescue.hierarchy_recall,0.0
by_stage.after_orphan_rescue.hierarchy_precision,0.0
by_stage.after_llm_refinement.n_classes,22
by_stage.after_llm_refinement.n_relations,23
by_stage.after_llm_refinement.n_hierarchy,2
by_stage.after_llm_refinement.coverage,0.086
by_stage.after_llm_refinement.precision,0.3636
by_stage.after_llm_refinement.recall,0.086
by_stage.after_llm_refinement.relation_recall,0.2222
by_stage.after_llm_refinement.relation_precision,0.4348
by_stage.after_llm_refinement.hierarchy_recall,0.0
by_stage.after_llm_refinement.hierarchy_precision,0.0
