metric,value
coverage,0.8817204301075269
precision,0.47674418604651164
recall,0.8817204301075269
errors,{"hallucinations": 0, "plausible_out_of_ontology": 90, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,130
structural.hierarchy_coverage,0.7965116279069767
extraction_only.coverage,0.45161290322580644
extraction_only.precision,0.25766871165644173
extraction_only.recall,0.45161290322580644
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,4
extraction_only.structural.hierarchy_coverage,0.04294478527607362
extraction_only.relations.n_generated,67
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.8507
extraction_only.relations.recall,0.6111
extraction_only.relations.per_gold_relation.has demographic data,True
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,True
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.8817204301075269
clinical_only.precision,0.47674418604651164
clinical_only.recall,0.8817204301075269
relations.n_generated,64
relations.n_gold,18
relations.precision,0.9688
relations.recall,0.7778
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,130
hierarchy.n_gold,76
hierarchy.precision,0.4154
hierarchy.recall,0.7105
hierarchy.matched,54
by_stratum.core.n_generated,106
by_stratum.core.precision,0.36792452830188677
by_stratum.core.recall,0.41935483870967744
by_stratum.core.coverage,0.41935483870967744
by_stage.extraction.n_classes,163
by_stage.extraction.n_relations,67
by_stage.extraction.n_hierarchy,4
by_stage.extraction.coverage,0.4516
by_stage.extraction.precision,0.2577
by_stage.extraction.recall,0.4516
by_stage.extraction.relation_recall,0.6111
by_stage.extraction.relation_precision,0.8507
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,199
by_stage.after_text_grounded.n_relations,86
by_stage.after_text_grounded.n_hierarchy,103
by_stage.after_text_grounded.coverage,0.4624
by_stage.after_text_grounded.precision,0.2161
by_stage.after_text_grounded.recall,0.4624
by_stage.after_text_grounded.relation_recall,0.7778
by_stage.after_text_grounded.relation_precision,0.8721
by_stage.after_text_grounded.hierarchy_recall,0.0921
by_stage.after_text_grounded.hierarchy_precision,0.068
by_stage.after_sgc.n_classes,224
by_stage.after_sgc.n_relations,99
by_stage.after_sgc.n_hierarchy,152
by_stage.after_sgc.coverage,0.6452
by_stage.after_sgc.precision,0.2679
by_stage.after_sgc.recall,0.6452
by_stage.after_sgc.relation_recall,1.0
by_stage.after_sgc.relation_precision,0.8889
by_stage.after_sgc.hierarchy_recall,0.7368
by_stage.after_sgc.hierarchy_precision,0.3684
by_stage.after_cleanup.n_classes,229
by_stage.after_cleanup.n_relations,58
by_stage.after_cleanup.n_hierarchy,127
by_stage.after_cleanup.coverage,0.8925
by_stage.after_cleanup.precision,0.3624
by_stage.after_cleanup.recall,0.8925
by_stage.after_cleanup.relation_recall,0.7778
by_stage.after_cleanup.relation_precision,0.8966
by_stage.after_cleanup.hierarchy_recall,0.6316
by_stage.after_cleanup.hierarchy_precision,0.378
by_stage.after_orphan_rescue.n_classes,230
by_stage.after_orphan_rescue.n_relations,71
by_stage.after_orphan_rescue.n_hierarchy,127
by_stage.after_orphan_rescue.coverage,0.9032
by_stage.after_orphan_rescue.precision,0.3652
by_stage.after_orphan_rescue.recall,0.9032
by_stage.after_orphan_rescue.relation_recall,0.7778
by_stage.after_orphan_rescue.relation_precision,0.9155
by_stage.after_orphan_rescue.hierarchy_recall,0.6316
by_stage.after_orphan_rescue.hierarchy_precision,0.378
by_stage.after_llm_refinement.n_classes,202
by_stage.after_llm_refinement.n_relations,64
by_stage.after_llm_refinement.n_hierarchy,123
by_stage.after_llm_refinement.coverage,0.8817
by_stage.after_llm_refinement.precision,0.4059
by_stage.after_llm_refinement.recall,0.8817
by_stage.after_llm_refinement.relation_recall,0.7778
by_stage.after_llm_refinement.relation_precision,0.9688
by_stage.after_llm_refinement.hierarchy_recall,0.6316
by_stage.after_llm_refinement.hierarchy_precision,0.3902
by_stage.after_rule_based.n_classes,172
by_stage.after_rule_based.n_relations,64
by_stage.after_rule_based.n_hierarchy,130
by_stage.after_rule_based.coverage,0.8817
by_stage.after_rule_based.precision,0.4767
by_stage.after_rule_based.recall,0.8817
by_stage.after_rule_based.relation_recall,0.7778
by_stage.after_rule_based.relation_precision,0.9688
by_stage.after_rule_based.hierarchy_recall,0.7105
by_stage.after_rule_based.hierarchy_precision,0.4154
