metric,value
coverage,0.7419354838709677
precision,0.711340206185567
recall,0.7419354838709677
errors,{"hallucinations": 0, "plausible_out_of_ontology": 28, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,71
structural.hierarchy_coverage,0.7938144329896907
extraction_only.coverage,0.26881720430107525
extraction_only.precision,0.373134328358209
extraction_only.recall,0.26881720430107525
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,3
extraction_only.structural.hierarchy_coverage,0.08955223880597014
extraction_only.relations.n_generated,38
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.4211
extraction_only.relations.recall,0.3889
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.7419354838709677
clinical_only.precision,0.711340206185567
clinical_only.recall,0.7419354838709677
relations.n_generated,62
relations.n_gold,18
relations.precision,0.4516
relations.recall,0.7222
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,71
hierarchy.n_gold,76
hierarchy.precision,0.6197
hierarchy.recall,0.5789
hierarchy.matched,44
by_stratum.core.n_generated,41
by_stratum.core.precision,0.5609756097560976
by_stratum.core.recall,0.24731182795698925
by_stratum.core.coverage,0.24731182795698925
by_stage.extraction.n_classes,67
by_stage.extraction.n_relations,38
by_stage.extraction.n_hierarchy,3
by_stage.extraction.coverage,0.2688
by_stage.extraction.precision,0.3731
by_stage.extraction.recall,0.2688
by_stage.extraction.relation_recall,0.3889
by_stage.extraction.relation_precision,0.4211
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.3333
by_stage.after_text_grounded.n_classes,73
by_stage.after_text_grounded.n_relations,52
by_stage.after_text_grounded.n_hierarchy,36
by_stage.after_text_grounded.coverage,0.2688
by_stage.after_text_grounded.precision,0.3425
by_stage.after_text_grounded.recall,0.2688
by_stage.after_text_grounded.relation_recall,0.3889
by_stage.after_text_grounded.relation_precision,0.3462
by_stage.after_text_grounded.hierarchy_recall,0.0526
by_stage.after_text_grounded.hierarchy_precision,0.1111
by_stage.after_sgc.n_classes,146
by_stage.after_sgc.n_relations,67
by_stage.after_sgc.n_hierarchy,36
by_stage.after_sgc.coverage,1.0
by_stage.after_sgc.precision,0.637
by_stage.after_sgc.recall,1.0
by_stage.after_sgc.relation_recall,1.0
by_stage.after_sgc.relation_precision,0.4925
by_stage.after_sgc.hierarchy_recall,0.0526
by_stage.after_sgc.hierarchy_precision,0.1111
by_stage.after_cleanup.n_classes,112
by_stage.after_cleanup.n_relations,53
by_stage.after_cleanup.n_hierarchy,47
by_stage.after_cleanup.coverage,0.7312
by_stage.after_cleanup.precision,0.6071
by_stage.after_cleanup.recall,0.7312
by_stage.after_cleanup.relation_recall,0.7222
by_stage.after_cleanup.relation_precision,0.5094
by_stage.after_cleanup.hierarchy_recall,0.3684
by_stage.after_cleanup.hierarchy_precision,0.5957
by_stage.after_orphan_rescue.n_classes,114
by_stage.after_orphan_rescue.n_relations,62
by_stage.after_orphan_rescue.n_hierarchy,52
by_stage.after_orphan_rescue.coverage,0.7419
by_stage.after_orphan_rescue.precision,0.6053
by_stage.after_orphan_rescue.recall,0.7419
by_stage.after_orphan_rescue.relation_recall,0.7222
by_stage.after_orphan_rescue.relation_precision,0.4516
by_stage.after_orphan_rescue.hierarchy_recall,0.3816
by_stage.after_orphan_rescue.hierarchy_precision,0.5577
by_stage.after_llm_refinement.n_classes,114
by_stage.after_llm_refinement.n_relations,62
by_stage.after_llm_refinement.n_hierarchy,51
by_stage.after_llm_refinement.coverage,0.7419
by_stage.after_llm_refinement.precision,0.6053
by_stage.after_llm_refinement.recall,0.7419
by_stage.after_llm_refinement.relation_recall,0.7222
by_stage.after_llm_refinement.relation_precision,0.4516
by_stage.after_llm_refinement.hierarchy_recall,0.3816
by_stage.after_llm_refinement.hierarchy_precision,0.5686
by_stage.after_rule_based.n_classes,97
by_stage.after_rule_based.n_relations,62
by_stage.after_rule_based.n_hierarchy,71
by_stage.after_rule_based.coverage,0.7419
by_stage.after_rule_based.precision,0.7113
by_stage.after_rule_based.recall,0.7419
by_stage.after_rule_based.relation_recall,0.7222
by_stage.after_rule_based.relation_precision,0.4516
by_stage.after_rule_based.hierarchy_recall,0.5789
by_stage.after_rule_based.hierarchy_precision,0.6197
