metric,value
coverage,0.4838709677419355
precision,0.22727272727272727
recall,0.4838709677419355
errors,{"hallucinations": 0, "plausible_out_of_ontology": 153, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,169
structural.hierarchy_coverage,0.8888888888888888
extraction_only.coverage,0.45161290322580644
extraction_only.precision,0.21428571428571427
extraction_only.recall,0.45161290322580644
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,3
extraction_only.structural.hierarchy_coverage,0.030612244897959183
extraction_only.relations.n_generated,71
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3944
extraction_only.relations.recall,0.3333
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.4838709677419355
clinical_only.precision,0.22727272727272727
clinical_only.recall,0.4838709677419355
relations.n_generated,70
relations.n_gold,18
relations.precision,0.4857
relations.recall,0.5
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,169
hierarchy.n_gold,76
hierarchy.precision,0.0769
hierarchy.recall,0.1711
hierarchy.matched,13
by_stratum.core.n_generated,171
by_stratum.core.precision,0.22807017543859648
by_stratum.core.recall,0.41935483870967744
by_stratum.core.coverage,0.41935483870967744
by_stage.extraction.n_classes,196
by_stage.extraction.n_relations,71
by_stage.extraction.n_hierarchy,3
by_stage.extraction.coverage,0.4516
by_stage.extraction.precision,0.2143
by_stage.extraction.recall,0.4516
by_stage.extraction.relation_recall,0.3333
by_stage.extraction.relation_precision,0.3944
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,215
by_stage.after_text_grounded.n_relations,97
by_stage.after_text_grounded.n_hierarchy,200
by_stage.after_text_grounded.coverage,0.4946
by_stage.after_text_grounded.precision,0.214
by_stage.after_text_grounded.recall,0.4946
by_stage.after_text_grounded.relation_recall,0.5556
by_stage.after_text_grounded.relation_precision,0.4742
by_stage.after_text_grounded.hierarchy_recall,0.1579
by_stage.after_text_grounded.hierarchy_precision,0.06
by_stage.after_cleanup.n_classes,197
by_stage.after_cleanup.n_relations,61
by_stage.after_cleanup.n_hierarchy,171
by_stage.after_cleanup.coverage,0.4731
by_stage.after_cleanup.precision,0.2234
by_stage.after_cleanup.recall,0.4731
by_stage.after_cleanup.relation_recall,0.5
by_stage.after_cleanup.relation_precision,0.4754
by_stage.after_cleanup.hierarchy_recall,0.1711
by_stage.after_cleanup.hierarchy_precision,0.076
by_stage.after_orphan_rescue.n_classes,198
by_stage.after_orphan_rescue.n_relations,70
by_stage.after_orphan_rescue.n_hierarchy,171
by_stage.after_orphan_rescue.coverage,0.4839
by_stage.after_orphan_rescue.precision,0.2273
by_stage.after_orphan_rescue.recall,0.4839
by_stage.after_orphan_rescue.relation_recall,0.5
by_stage.after_orphan_rescue.relation_precision,0.4857
by_stage.after_orphan_rescue.hierarchy_recall,0.1711
by_stage.after_orphan_rescue.hierarchy_precision,0.076
by_stage.after_llm_refinement.n_classes,198
by_stage.after_llm_refinement.n_relations,70
by_stage.after_llm_refinement.n_hierarchy,169
by_stage.after_llm_refinement.coverage,0.4839
by_stage.after_llm_refinement.precision,0.2273
by_stage.after_llm_refinement.recall,0.4839
by_stage.after_llm_refinement.relation_recall,0.5
by_stage.after_llm_refinement.relation_precision,0.4857
by_stage.after_llm_refinement.hierarchy_recall,0.1711
by_stage.after_llm_refinement.hierarchy_precision,0.0769
