metric,value
coverage,0.3548387096774194
precision,0.6346153846153846
recall,0.3548387096774194
errors,{"hallucinations": 0, "plausible_out_of_ontology": 19, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,62
structural.hierarchy_coverage,0.9038461538461539
extraction_only.coverage,0.3225806451612903
extraction_only.precision,0.45454545454545453
extraction_only.recall,0.3225806451612903
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,28
extraction_only.structural.hierarchy_coverage,0.42424242424242425
extraction_only.relations.n_generated,43
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3023
extraction_only.relations.recall,0.2222
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.3548387096774194
clinical_only.precision,0.6346153846153846
clinical_only.recall,0.3548387096774194
relations.n_generated,20
relations.n_gold,18
relations.precision,0.7
relations.recall,0.2778
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,62
hierarchy.n_gold,76
hierarchy.precision,0.2903
hierarchy.recall,0.2368
hierarchy.matched,18
by_stratum.core.n_generated,43
by_stratum.core.precision,0.6046511627906976
by_stratum.core.recall,0.27956989247311825
by_stratum.core.coverage,0.27956989247311825
by_stage.extraction.n_classes,66
by_stage.extraction.n_relations,43
by_stage.extraction.n_hierarchy,28
by_stage.extraction.coverage,0.3226
by_stage.extraction.precision,0.4545
by_stage.extraction.recall,0.3226
by_stage.extraction.relation_recall,0.2222
by_stage.extraction.relation_precision,0.2791
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.0357
by_stage.after_text_grounded.n_classes,71
by_stage.after_text_grounded.n_relations,50
by_stage.after_text_grounded.n_hierarchy,70
by_stage.after_text_grounded.coverage,0.3548
by_stage.after_text_grounded.precision,0.4648
by_stage.after_text_grounded.recall,0.3548
by_stage.after_text_grounded.relation_recall,0.2222
by_stage.after_text_grounded.relation_precision,0.26
by_stage.after_text_grounded.hierarchy_recall,0.2237
by_stage.after_text_grounded.hierarchy_precision,0.2429
by_stage.after_cleanup.n_classes,52
by_stage.after_cleanup.n_relations,15
by_stage.after_cleanup.n_hierarchy,56
by_stage.after_cleanup.coverage,0.3548
by_stage.after_cleanup.precision,0.6346
by_stage.after_cleanup.recall,0.3548
by_stage.after_cleanup.relation_recall,0.2222
by_stage.after_cleanup.relation_precision,0.6667
by_stage.after_cleanup.hierarchy_recall,0.2368
by_stage.after_cleanup.hierarchy_precision,0.3214
by_stage.after_orphan_rescue.n_classes,52
by_stage.after_orphan_rescue.n_relations,20
by_stage.after_orphan_rescue.n_hierarchy,62
by_stage.after_orphan_rescue.coverage,0.3548
by_stage.after_orphan_rescue.precision,0.6346
by_stage.after_orphan_rescue.recall,0.3548
by_stage.after_orphan_rescue.relation_recall,0.2778
by_stage.after_orphan_rescue.relation_precision,0.7
by_stage.after_orphan_rescue.hierarchy_recall,0.2368
by_stage.after_orphan_rescue.hierarchy_precision,0.2903
by_stage.after_llm_refinement.n_classes,52
by_stage.after_llm_refinement.n_relations,20
by_stage.after_llm_refinement.n_hierarchy,62
by_stage.after_llm_refinement.coverage,0.3548
by_stage.after_llm_refinement.precision,0.6346
by_stage.after_llm_refinement.recall,0.3548
by_stage.after_llm_refinement.relation_recall,0.2778
by_stage.after_llm_refinement.relation_precision,0.7
by_stage.after_llm_refinement.hierarchy_recall,0.2368
by_stage.after_llm_refinement.hierarchy_precision,0.2903
