triple_index,kind,subject,relation,object,evidence,verdict,revise_subtype,suggested_subject,suggested_relation,suggested_object,justification,confidence,stage_b_justification,stage_b_confidence,flags
0,relation,Decompressive Craniectomy,has outcome,Outcome,The outcome was captured at six months using the extended Glasgow Outcome Scale (GOSE).,accept_direct,,,,,Decompressive Craniectomy hasOutcome Outcome is a valid relationship as surgical procedures are associated with patient outcomes in neurointensive care.,0.9,,,
1,relation,Intracranial Pressure (ICP),isMonitoredBy,Traumatic Brain Injury,one of the cornerstones of brain-protective strategies is to reduce and control intracranial pressure (ICP),accept_direct,,,,,"Intracranial Pressure (ICP) is monitored in patients with Traumatic Brain Injury, establishing a direct relationship between the two classes.",0.95,,,
2,relation,Intracranial Hypertension,is associated with,Mortality,Uncontrollable intracranial hypertension is a major cause of death in patients with severe traumatic brain injury.,accept_direct,,,,,"Intracranial Hypertension is associated with Mortality as it is a known cause of death in severe traumatic brain injury patients, directly linking the two classes.",0.9,,,
3,relation,Decompressive Craniectomy,targetsCondition,Intracranial Hypertension,patients with intracranial hypertension treated conservatively were excluded.,accept_direct,,,,,"Decompressive Craniectomy targets Condition Intracranial Hypertension, as it is a surgical procedure aimed at relieving elevated intracranial pressure, directly addressing the condition.",0.9,,,
4,relation,GCS Assessment,assesses,Motor Impairment,The Glasgow Motors Score was used for assessing motor impairment.,accept_direct,,,,,"GCS Assessment assesses Motor Impairment, as the GCS is used to evaluate neurological status including motor function after brain injury.",0.95,,,
5,relation,Secondary Insult,is associated with,Hypotension,"Hypoxia and arterial hypotension were found in 10.0% and 6.1%, respectively.",accept_direct,,,,,"Secondary Insult is associated with Hypotension, as both are recognized conditions in neurointensive care, and the relationship is clinically valid.",0.9,,,
6,relation,Traumatic Brain Injury,has outcome,Outcome,A more extensive description is provided in the Supplementary Appendix.,accept_direct,,,,,The triple 'Traumatic Brain Injury hasOutcome Outcome' is semantically correct as TBI is associated with patient outcomes in neurointensive care.,0.95,,,
7,relation,Traumatic Brain Injury,is treated with,Decompressive Craniectomy,Decompressive craniectomy (DC) as a last-tier intervention,accept_direct,,,,,Traumatic Brain Injury is treated with Decompressive Craniectomy is a valid direct relationship as DC is a recognized therapy for TBI.,0.95,,,
8,relation,Decompressive Craniectomy,isMonitoredBy,Intracranial Pressure (ICP),Mean intracranial pressure (ICP) pre-Decompressive craniectomy (DC),accept_direct,,,,,"Decompressive Craniectomy is a surgical procedure that can be monitored by Intracranial Pressure (ICP), which is a valid monitoring parameter in the neurointensive care context.",0.9,,,
9,relation,Cerebral Perfusion Pressure (CPP),influences,Intracranial Pressure (ICP),Mean intracranial pressure (ICP)/Cerebral Perfusion Pressure (CPP),accept_direct,,,,,"Cerebral Perfusion Pressure (CPP) influences Intracranial Pressure (ICP) as both are critical parameters in neurological assessments, directly related in the context of TBI.",0.9,,,
10,relation,Decompressive Craniectomy,reduces,Mean Intracranial Pressure,it effectively reduces Mean intracranial pressure (ICP),accept_direct,,,,,Decompressive Craniectomy reduces Mean Intracranial Pressure is clinically valid as it directly addresses the relationship between the procedure and its effect on ICP.,0.9,,,
11,relation,Intracranial Pressure (ICP),has monitoring data,Traumatic Brain Injury,The BESTIntracranial pressure (ICP) monitoring is still considered to provide important information to detect and prevent secondary injury after severe Traumatic brain injury (TBI).,accept_direct,,,,,Intracranial Pressure (ICP) has monitoring data related to Traumatic Brain Injury (TBI) as both are valid classes in the neurointensive care domain.,0.95,,,
12,relation,Secondary Insult Therapy,targetsCondition,Intracranial Hypertension,"Intracranial pressures above 20 mmHg lasting longer than 37 min in adults, and longer than 8 min in children, are associated with worse outcomes.",accept_direct,,,,,Secondary Insult Therapy targets Condition Intracranial Hypertension as it is a valid treatment for this condition in neurointensive care.,0.95,,,
13,relation,Cerebral Perfusion Pressure (CPP),assesses,Intracranial Hypertension,"When the cerebral perfusion pressure is below 50 mmHg, all intracranial pressure insults, regardless of duration, are associated with worse outcome.",accept_direct,,,,,"Cerebral Perfusion Pressure (CPP) assesses Intracranial Hypertension, as CPP is critical for evaluating secondary injury risk in TBI patients.",0.95,,,
14,relation,Intracranial Pressure (ICP),has monitoring data,Monitoring Data,The BESTIntracranial pressure (ICP) and mean arterial blood pressure (MAP) monitoring data,accept_direct,,,,,Intracranial Pressure (ICP) is a Core Monitoring Parameter and thus hasMonitoringData Monitoring Data as per the hierarchical relationship in the preamble.,0.9,,,
15,relation,Traumatic Brain Injury,has monitoring data,Monitoring Data,"The present study autoregulation is intact, the transition curve shifts to the right.",accept_direct,,,,,Traumatic Brain Injury hasMonitoringData Monitoring Data is a valid direct relationship as monitoring data is collected for TBI patients in neurointensive care.,0.95,,,
16,relation,Traumatic Brain Injury,is associated with,Secondary Brain Injury,"Cerebrovascular pressure autoregulation is often impaired in severe Traumatic brain injury (TBI), and such impairment is such as the relationship between physiological thresholds and outcome.",accept_direct,,,,,The relationship 'Traumatic Brain Injury is associated with Secondary Brain Injury' is clinically valid as secondary brain injury is a consequence of TBI.,0.95,,,
17,relation,Cerebral Perfusion Pressure (CPP),assesses,Traumatic Brain Injury,"One would expect such change in recommendation to be followed, and hence to lead to alterations in Cerebral Perfusion Pressure (CPP) policy across centres.",accept_direct,,,,,Cerebral Perfusion Pressure (CPP) assesses Traumatic Brain Injury as it directly evaluates the risk of secondary injury in TBI patients.,0.9,,,
18,relation,Vasopressors,targetsCondition,Cerebral Perfusion Pressure (CPP),the non-beneficial effect of keeping Cerebral Perfusion Pressure (CPP) above 70 mmHg by administering high doses of vasopressors.,accept_direct,,,,,"Vasopressors targetsCondition CPP as they are used to manage blood pressure, directly influencing cerebral perfusion pressure in TBI patients.",0.9,,,
19,relation,Cerebral Perfusion Pressure (CPP),correlates with,Mean Arterial Pressure (MAP),Cerebral Perfusion Pressure (CPP) strongly correlated with Mean Arterial Pressure (MAP).,accept_direct,,,,,Cerebral Perfusion Pressure (CPP) correlates with Mean Arterial Pressure (MAP) as stated in the evidence; the relationship is clinically valid and direct.,0.95,,,
20,relation,Cerebral Perfusion Pressure (CPP),isInfluencedBy,Intracranial Pressure (ICP),it is influenced by Intracranial Pressure (ICP) variability,accept_direct,,,,,"Cerebral Perfusion Pressure (CPP) is directly influenced by Intracranial Pressure (ICP), as stated in the evidence provided.",0.95,,,
21,relation,Cerebral Perfusion Pressure (CPP),isDerivedFrom,Mean Arterial Pressure (MAP),Mean Arterial Pressure (MAP) variability including,accept_direct,,,,,"Cerebral Perfusion Pressure (CPP) is derived from Mean Arterial Pressure (MAP) as indicated by the relationship isDerivedFrom, which is clinically valid in neurointensive care.",0.9,,,
22,relation,Cerebral Perfusion Pressure (CPP),associates with,Acute Respiratory Distress Syndrome,acute respiratory distress syndrome (ARDS) reportedly associated with vasopressors,accept_indirect,,,,,"Cerebral Perfusion Pressure (CPP) indirectly relates to Acute Respiratory Distress Syndrome via the pathway: CPP affects outcome in TBI, which can lead to ARDS as a secondary insult.",0.7,,,low_evidence
23,relation,Cerebral Perfusion Pressure (CPP),isAssessedBy,Guideline,the Brain Trauma Foundation (BTF) guidelines issued this year,accept_indirect,,,,,"Cerebral Perfusion Pressure (CPP) is assessed via guidelines, but the relationship is indirect through clinical practice; the chain is CPP → isMonitoredBy → Guideline.",0.7,,,low_evidence
24,relation,Guideline Adherence,affectsOutcome,Traumatic Brain Injury,Guideline adherence and outcomes in severe adult traumatic brain injury,accept_indirect,,,,,Guideline Adherence affects Outcome via the pathway: Guideline Adherence → informs → Clinical Practice → affects Outcome.,0.7,,,low_evidence
25,relation,Traumatic Brain Injury,is a risk factor for,Secondary Insult,Traumatically brain injured (TBI) patients are at risk from secondary insults.,accept_direct,,,,,"Traumatic Brain Injury is a recognized risk factor for Secondary Insult, as TBI patients are at risk from secondary insults.",0.9,,,
26,relation,Hypotension,is related to,Poor Outcome,"Arterial hypotension, critically low blood pressure, is one of the most dangerous secondary insults and is related to poor outcome in patients.",accept_direct,,,,,Hypotension is related to Poor Outcome as evidenced by the text stating arterial hypotension is related to poor outcomes in patients.,0.9,,,
27,relation,Hypotension,affects outcome,Traumatic Brain Injury,there is compelling evidence that even 'minute by minute' hypotension events cumulatively can influence patient outcome.,accept_direct,,,,,Hypotension affects outcome directly as it is a recognized condition impacting the prognosis of Traumatic Brain Injury.,0.9,,,
28,relation,Traumatic Brain Injury,has monitoring data,Hypotension,both systolic and mean arterial pressure should be monitored and considered in the definition of hypotension,accept_indirect,,,,,The triple 'Traumatic Brain Injury has monitoring data Hypotension' is true via the chain: TBI affects outcome → monitoring data includes parameters like blood pressure → hypotension is a condition related to blood pressure.,0.7,,,low_evidence
29,relation,Hypotension,is a condition of,Sepsis,"for with the medical management of sepsis, it has been shown that duration of hypotension before initiation",accept_indirect,,,,,"Hypotension is a condition that can lead to poor outcomes in sepsis, connecting via the chain: Hypotension affects Outcome → Sepsis has Outcome.",0.85,,,
30,relation,Hypotension,targetsCondition,Sepsis,it has been shown that with each hour delay in treatment of hypotension leads to an increase in in-hospital mortality.,accept_indirect,,,,,Hypotension targetsCondition Sepsis is true via the chain: Hypotension affectsOutcome → Sepsis is a condition resulting from poor outcomes.,0.7,,,low_evidence
31,relation,Intracranial Pressure (ICP),affects outcome,Hypotension,Impact of Intracranial Pressure (ICP) instability and hypotension on outcome in patients with severe head trauma.,accept_direct,,,,,"Intracranial Pressure (ICP) affects outcome in Hypotension is clinically valid as ICP influences cerebral perfusion, impacting patient outcomes.",0.95,,,
32,relation,Secondary Insult,worsens,Head Trauma,Measuring the burden of secondary insults in head-injured patients during intensive care.,accept_direct,,,,,Secondary Insult worsens Head Trauma is clinically valid as secondary insults can exacerbate head injuries.,0.9,,,
