metric,value
coverage,0.17204301075268819
precision,0.26229508196721313
recall,0.17204301075268819
errors,{"hallucinations": 0, "plausible_out_of_ontology": 45, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,10
structural.hierarchy_coverage,0.29508196721311475
extraction_only.coverage,0.15053763440860216
extraction_only.precision,0.25
extraction_only.recall,0.15053763440860216
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,4
extraction_only.structural.hierarchy_coverage,0.125
extraction_only.relations.n_generated,36
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.4722
extraction_only.relations.recall,0.3333
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.17204301075268819
clinical_only.precision,0.26229508196721313
clinical_only.recall,0.17204301075268819
relations.n_generated,33
relations.n_gold,18
relations.precision,0.6061
relations.recall,0.4444
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,10
hierarchy.n_gold,76
hierarchy.precision,0.1
hierarchy.recall,0.0132
hierarchy.matched,1
by_stratum.core.n_generated,51
by_stratum.core.precision,0.27450980392156865
by_stratum.core.recall,0.15053763440860216
by_stratum.core.coverage,0.15053763440860216
by_stage.extraction.n_classes,56
by_stage.extraction.n_relations,36
by_stage.extraction.n_hierarchy,4
by_stage.extraction.coverage,0.1505
by_stage.extraction.precision,0.25
by_stage.extraction.recall,0.1505
by_stage.extraction.relation_recall,0.3333
by_stage.extraction.relation_precision,0.4722
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,66
by_stage.after_text_grounded.n_relations,45
by_stage.after_text_grounded.n_hierarchy,6
by_stage.after_text_grounded.coverage,0.1505
by_stage.after_text_grounded.precision,0.2121
by_stage.after_text_grounded.recall,0.1505
by_stage.after_text_grounded.relation_recall,0.4444
by_stage.after_text_grounded.relation_precision,0.5111
by_stage.after_text_grounded.hierarchy_recall,0.0132
by_stage.after_text_grounded.hierarchy_precision,0.1667
by_stage.after_cleanup.n_classes,63
by_stage.after_cleanup.n_relations,35
by_stage.after_cleanup.n_hierarchy,5
by_stage.after_cleanup.coverage,0.1613
by_stage.after_cleanup.precision,0.2381
by_stage.after_cleanup.recall,0.1613
by_stage.after_cleanup.relation_recall,0.4444
by_stage.after_cleanup.relation_precision,0.5714
by_stage.after_cleanup.hierarchy_recall,0.0132
by_stage.after_cleanup.hierarchy_precision,0.2
by_stage.after_orphan_rescue.n_classes,64
by_stage.after_orphan_rescue.n_relations,35
by_stage.after_orphan_rescue.n_hierarchy,10
by_stage.after_orphan_rescue.coverage,0.172
by_stage.after_orphan_rescue.precision,0.25
by_stage.after_orphan_rescue.recall,0.172
by_stage.after_orphan_rescue.relation_recall,0.4444
by_stage.after_orphan_rescue.relation_precision,0.5714
by_stage.after_orphan_rescue.hierarchy_recall,0.0132
by_stage.after_orphan_rescue.hierarchy_precision,0.1
by_stage.after_llm_refinement.n_classes,61
by_stage.after_llm_refinement.n_relations,33
by_stage.after_llm_refinement.n_hierarchy,10
by_stage.after_llm_refinement.coverage,0.172
by_stage.after_llm_refinement.precision,0.2623
by_stage.after_llm_refinement.recall,0.172
by_stage.after_llm_refinement.relation_recall,0.4444
by_stage.after_llm_refinement.relation_precision,0.6061
by_stage.after_llm_refinement.hierarchy_recall,0.0132
by_stage.after_llm_refinement.hierarchy_precision,0.1
