metric,value
coverage,0.989247311827957
precision,0.968421052631579
recall,0.989247311827957
errors,{"hallucinations": 0, "plausible_out_of_ontology": 3, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,84
structural.hierarchy_coverage,0.9263157894736842
extraction_only.coverage,0.3870967741935484
extraction_only.precision,0.9230769230769231
extraction_only.recall,0.3870967741935484
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,8
extraction_only.structural.hierarchy_coverage,0.2564102564102564
extraction_only.relations.n_generated,28
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.8214
extraction_only.relations.recall,0.6111
extraction_only.relations.per_gold_relation.has demographic data,True
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,True
extraction_only.relations.per_gold_relation.has nursing intervention,True
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,True
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.989247311827957
clinical_only.precision,0.968421052631579
clinical_only.recall,0.989247311827957
relations.n_generated,21
relations.n_gold,18
relations.precision,0.8571
relations.recall,0.6667
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,84
hierarchy.n_gold,76
hierarchy.precision,0.9048
hierarchy.recall,1.0
hierarchy.matched,76
by_stratum.core.n_generated,35
by_stratum.core.precision,0.9428571428571428
by_stratum.core.recall,0.3548387096774194
by_stratum.core.coverage,0.3548387096774194
by_stage.extraction.n_classes,39
by_stage.extraction.n_relations,28
by_stage.extraction.n_hierarchy,8
by_stage.extraction.coverage,0.3871
by_stage.extraction.precision,0.9231
by_stage.extraction.recall,0.3871
by_stage.extraction.relation_recall,0.7222
by_stage.extraction.relation_precision,0.8214
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.125
by_stage.after_text_grounded.n_classes,40
by_stage.after_text_grounded.n_relations,33
by_stage.after_text_grounded.n_hierarchy,39
by_stage.after_text_grounded.coverage,0.3978
by_stage.after_text_grounded.precision,0.925
by_stage.after_text_grounded.recall,0.3978
by_stage.after_text_grounded.relation_recall,0.8333
by_stage.after_text_grounded.relation_precision,0.8182
by_stage.after_text_grounded.hierarchy_recall,0.1711
by_stage.after_text_grounded.hierarchy_precision,0.3333
by_stage.after_sgc.n_classes,98
by_stage.after_sgc.n_relations,33
by_stage.after_sgc.n_hierarchy,102
by_stage.after_sgc.coverage,1.0
by_stage.after_sgc.precision,0.949
by_stage.after_sgc.recall,1.0
by_stage.after_sgc.relation_recall,0.8333
