metric,value
coverage,0.3655913978494624
precision,0.6666666666666666
recall,0.3655913978494624
errors,{"hallucinations": 0, "plausible_out_of_ontology": 17, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,60
structural.hierarchy_coverage,0.9411764705882353
extraction_only.coverage,0.3333333333333333
extraction_only.precision,0.43661971830985913
extraction_only.recall,0.3333333333333333
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,27
extraction_only.structural.hierarchy_coverage,0.39436619718309857
extraction_only.relations.n_generated,50
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.3
extraction_only.relations.recall,0.2222
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.3655913978494624
clinical_only.precision,0.6666666666666666
clinical_only.recall,0.3655913978494624
relations.n_generated,18
relations.n_gold,18
relations.precision,0.5556
relations.recall,0.2222
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,60
hierarchy.n_gold,76
hierarchy.precision,0.2333
hierarchy.recall,0.1842
hierarchy.matched,14
by_stratum.core.n_generated,42
by_stratum.core.precision,0.6428571428571429
by_stratum.core.recall,0.2903225806451613
by_stratum.core.coverage,0.2903225806451613
by_stage.extraction.n_classes,71
by_stage.extraction.n_relations,50
by_stage.extraction.n_hierarchy,27
by_stage.extraction.coverage,0.3333
by_stage.extraction.precision,0.4366
by_stage.extraction.recall,0.3333
by_stage.extraction.relation_recall,0.2222
by_stage.extraction.relation_precision,0.28
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.037
by_stage.after_text_grounded.n_classes,78
by_stage.after_text_grounded.n_relations,58
by_stage.after_text_grounded.n_hierarchy,83
by_stage.after_text_grounded.coverage,0.3763
by_stage.after_text_grounded.precision,0.4487
by_stage.after_text_grounded.recall,0.3763
by_stage.after_text_grounded.relation_recall,0.2222
by_stage.after_text_grounded.relation_precision,0.2759
by_stage.after_text_grounded.hierarchy_recall,0.1711
by_stage.after_text_grounded.hierarchy_precision,0.1566
by_stage.after_cleanup.n_classes,51
by_stage.after_cleanup.n_relations,17
by_stage.after_cleanup.n_hierarchy,56
by_stage.after_cleanup.coverage,0.3656
by_stage.after_cleanup.precision,0.6667
by_stage.after_cleanup.recall,0.3656
by_stage.after_cleanup.relation_recall,0.2222
by_stage.after_cleanup.relation_precision,0.5882
by_stage.after_cleanup.hierarchy_recall,0.1842
by_stage.after_cleanup.hierarchy_precision,0.25
by_stage.after_orphan_rescue.n_classes,51
by_stage.after_orphan_rescue.n_relations,18
by_stage.after_orphan_rescue.n_hierarchy,60
by_stage.after_orphan_rescue.coverage,0.3656
by_stage.after_orphan_rescue.precision,0.6667
by_stage.after_orphan_rescue.recall,0.3656
by_stage.after_orphan_rescue.relation_recall,0.2222
by_stage.after_orphan_rescue.relation_precision,0.5556
by_stage.after_orphan_rescue.hierarchy_recall,0.1842
by_stage.after_orphan_rescue.hierarchy_precision,0.2333
by_stage.after_llm_refinement.n_classes,51
by_stage.after_llm_refinement.n_relations,18
by_stage.after_llm_refinement.n_hierarchy,60
by_stage.after_llm_refinement.coverage,0.3656
by_stage.after_llm_refinement.precision,0.6667
by_stage.after_llm_refinement.recall,0.3656
by_stage.after_llm_refinement.relation_recall,0.2222
by_stage.after_llm_refinement.relation_precision,0.5556
by_stage.after_llm_refinement.hierarchy_recall,0.1842
by_stage.after_llm_refinement.hierarchy_precision,0.2333
