metric,value
coverage,0.1827956989247312
precision,0.25757575757575757
recall,0.1827956989247312
errors,{"hallucinations": 0, "plausible_out_of_ontology": 49, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,10
structural.hierarchy_coverage,0.2727272727272727
extraction_only.coverage,0.17204301075268819
extraction_only.precision,0.19047619047619047
extraction_only.recall,0.17204301075268819
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,6
extraction_only.structural.hierarchy_coverage,0.13095238095238096
extraction_only.relations.n_generated,55
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.6
extraction_only.relations.recall,0.5
extraction_only.relations.per_gold_relation.has demographic data,True
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,False
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,True
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.1827956989247312
clinical_only.precision,0.25757575757575757
clinical_only.recall,0.1827956989247312
relations.n_generated,49
relations.n_gold,18
relations.precision,0.5918
relations.recall,0.3889
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,10
hierarchy.n_gold,76
hierarchy.precision,0.1
hierarchy.recall,0.0132
hierarchy.matched,1
by_stratum.core.n_generated,59
by_stratum.core.precision,0.23728813559322035
by_stratum.core.recall,0.15053763440860216
by_stratum.core.coverage,0.15053763440860216
by_stage.extraction.n_classes,84
by_stage.extraction.n_relations,55
by_stage.extraction.n_hierarchy,6
by_stage.extraction.coverage,0.172
by_stage.extraction.precision,0.1905
by_stage.extraction.recall,0.172
by_stage.extraction.relation_recall,0.5
by_stage.extraction.relation_precision,0.6
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,92
by_stage.after_text_grounded.n_relations,69
by_stage.after_text_grounded.n_hierarchy,10
by_stage.after_text_grounded.coverage,0.1935
by_stage.after_text_grounded.precision,0.1957
by_stage.after_text_grounded.recall,0.1935
by_stage.after_text_grounded.relation_recall,0.5
by_stage.after_text_grounded.relation_precision,0.5362
by_stage.after_text_grounded.hierarchy_recall,0.0132
by_stage.after_text_grounded.hierarchy_precision,0.1
by_stage.after_cleanup.n_classes,67
by_stage.after_cleanup.n_relations,40
by_stage.after_cleanup.n_hierarchy,7
by_stage.after_cleanup.coverage,0.1828
by_stage.after_cleanup.precision,0.2537
by_stage.after_cleanup.recall,0.1828
by_stage.after_cleanup.relation_recall,0.3889
by_stage.after_cleanup.relation_precision,0.65
by_stage.after_cleanup.hierarchy_recall,0.0132
by_stage.after_cleanup.hierarchy_precision,0.1429
by_stage.after_orphan_rescue.n_classes,67
by_stage.after_orphan_rescue.n_relations,50
by_stage.after_orphan_rescue.n_hierarchy,13
by_stage.after_orphan_rescue.coverage,0.1828
by_stage.after_orphan_rescue.precision,0.2537
by_stage.after_orphan_rescue.recall,0.1828
by_stage.after_orphan_rescue.relation_recall,0.3889
by_stage.after_orphan_rescue.relation_precision,0.58
by_stage.after_orphan_rescue.hierarchy_recall,0.0132
by_stage.after_orphan_rescue.hierarchy_precision,0.0769
by_stage.after_llm_refinement.n_classes,66
by_stage.after_llm_refinement.n_relations,49
by_stage.after_llm_refinement.n_hierarchy,10
by_stage.after_llm_refinement.coverage,0.1828
by_stage.after_llm_refinement.precision,0.2576
by_stage.after_llm_refinement.recall,0.1828
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.5918
by_stage.after_llm_refinement.hierarchy_recall,0.0132
by_stage.after_llm_refinement.hierarchy_precision,0.1
