metric,value
coverage,0.6989247311827957
precision,0.7142857142857143
recall,0.6989247311827957
errors,{"hallucinations": 0, "plausible_out_of_ontology": 26, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,56
structural.hierarchy_coverage,0.7032967032967034
extraction_only.coverage,0.24731182795698925
extraction_only.precision,0.41818181818181815
extraction_only.recall,0.24731182795698925
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,5
extraction_only.structural.hierarchy_coverage,0.18181818181818182
extraction_only.relations.n_generated,55
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.5455
extraction_only.relations.recall,0.3889
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.6989247311827957
clinical_only.precision,0.7142857142857143
clinical_only.recall,0.6989247311827957
relations.n_generated,77
relations.n_gold,18
relations.precision,0.5974
relations.recall,0.8889
relations.per_gold_relation.has demographic data,True
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,True
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,True
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,56
hierarchy.n_gold,76
hierarchy.precision,0.7679
hierarchy.recall,0.5658
hierarchy.matched,43
by_stratum.core.n_generated,40
by_stratum.core.precision,0.575
by_stratum.core.recall,0.24731182795698925
by_stratum.core.coverage,0.24731182795698925
by_stage.extraction.n_classes,55
by_stage.extraction.n_relations,55
by_stage.extraction.n_hierarchy,5
by_stage.extraction.coverage,0.2473
by_stage.extraction.precision,0.4182
by_stage.extraction.recall,0.2473
