metric,value
coverage,0.46236559139784944
precision,0.5584415584415584
recall,0.46236559139784944
errors,{"hallucinations": 0, "plausible_out_of_ontology": 34, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,26
structural.hierarchy_coverage,0.4675324675324675
extraction_only.coverage,0.4731182795698925
extraction_only.precision,0.4888888888888889
extraction_only.recall,0.4731182795698925
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,16
extraction_only.structural.hierarchy_coverage,0.25555555555555554
extraction_only.relations.n_generated,48
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.4375
extraction_only.relations.recall,0.5556
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,False
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,True
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,True
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.46236559139784944
clinical_only.precision,0.5584415584415584
clinical_only.recall,0.46236559139784944
relations.n_generated,41
relations.n_gold,18
relations.precision,0.5122
relations.recall,0.5556
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,False
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,True
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,True
hierarchy.n_generated,26
hierarchy.n_gold,76
hierarchy.precision,0.4615
hierarchy.recall,0.1579
hierarchy.matched,12
by_stratum.core.n_generated,69
by_stratum.core.precision,0.6086956521739131
by_stratum.core.recall,0.45161290322580644
by_stratum.core.coverage,0.45161290322580644
by_stage.extraction.n_classes,90
by_stage.extraction.n_relations,48
by_stage.extraction.n_hierarchy,16
by_stage.extraction.coverage,0.4731
by_stage.extraction.precision,0.4889
by_stage.extraction.recall,0.4731
by_stage.extraction.relation_recall,0.5556
by_stage.extraction.relation_precision,0.4375
by_stage.extraction.hierarchy_recall,0.0658
by_stage.extraction.hierarchy_precision,0.3125
by_stage.after_text_grounded.n_classes,96
by_stage.after_text_grounded.n_relations,62
by_stage.after_text_grounded.n_hierarchy,24
by_stage.after_text_grounded.coverage,0.4731
by_stage.after_text_grounded.precision,0.4583
by_stage.after_text_grounded.recall,0.4731
by_stage.after_text_grounded.relation_recall,0.6111
by_stage.after_text_grounded.relation_precision,0.5484
by_stage.after_text_grounded.hierarchy_recall,0.1579
by_stage.after_text_grounded.hierarchy_precision,0.5
by_stage.after_cleanup.n_classes,77
by_stage.after_cleanup.n_relations,41
by_stage.after_cleanup.n_hierarchy,24
by_stage.after_cleanup.coverage,0.4624
by_stage.after_cleanup.precision,0.5584
by_stage.after_cleanup.recall,0.4624
by_stage.after_cleanup.relation_recall,0.5556
by_stage.after_cleanup.relation_precision,0.5122
by_stage.after_cleanup.hierarchy_recall,0.1579
by_stage.after_cleanup.hierarchy_precision,0.5
by_stage.after_orphan_rescue.n_classes,77
by_stage.after_orphan_rescue.n_relations,41
by_stage.after_orphan_rescue.n_hierarchy,27
by_stage.after_orphan_rescue.coverage,0.4624
by_stage.after_orphan_rescue.precision,0.5584
by_stage.after_orphan_rescue.recall,0.4624
by_stage.after_orphan_rescue.relation_recall,0.5556
by_stage.after_orphan_rescue.relation_precision,0.5122
by_stage.after_orphan_rescue.hierarchy_recall,0.1579
by_stage.after_orphan_rescue.hierarchy_precision,0.4444
by_stage.after_llm_refinement.n_classes,77
by_stage.after_llm_refinement.n_relations,41
by_stage.after_llm_refinement.n_hierarchy,26
by_stage.after_llm_refinement.coverage,0.4624
by_stage.after_llm_refinement.precision,0.5584
by_stage.after_llm_refinement.recall,0.4624
by_stage.after_llm_refinement.relation_recall,0.5556
by_stage.after_llm_refinement.relation_precision,0.5122
by_stage.after_llm_refinement.hierarchy_recall,0.1579
by_stage.after_llm_refinement.hierarchy_precision,0.4615
