triple_index,kind,subject,relation,object,evidence,verdict,revise_subtype,suggested_subject,suggested_relation,suggested_object,justification,confidence,stage_b_justification,stage_b_confidence,flags
0,relation,Patient,has demographic data,Demographic Data,The ideal situation in the future would be to have a demographic data (e.g.,revise,4.4,Patient,hasDemographicData,Demographic Data,Replace relation 'has demographic data' with 'hasDemographicData' as per valid BrainIT relation labels.,0.85,Replace 'has demographic data' with 'hasDemographicData' as per valid BrainIT relation labels.,0.95,
1,relation,Patient,has surgical procedure,Surgical Procedure,"Neurosurgery, Rigshospitalet, Copenhagen, Denmark Gasthuisberg Hospital, Leuven, Belgium Neurosurgery, SF Treime Hospital, Iasi, Romania.",revise,4.4,Patient,hasSurgicalProcedure,Surgical Procedure,Relation 'has surgical procedure' should be 'hasSurgicalProcedure' to match valid BrainIT relation labels.,0.85,Relation 'has surgical procedure' should be 'hasSurgicalProcedure' to match valid BrainIT relation labels.,0.95,
2,relation,Patient,has monitoring data,Monitoring Data,A pilot data collection of minute by minute physiological monitoring data was also performed.,revise,4.10,,,,"Patient hasMonitoringData Monitoring Data should be revised to Monitoring Data subClassOf Monitoring Data; parameters are monitoring data, so edge is hierarchical.",0.85,"Monitoring Data is a superclass for physiological parameters, fitting the subclass pattern in the preamble.",0.95,sanitized_self_loop
3,relation,Patient,receives therapy,Therapy,Recruiting patients from multiple centres will significantly reduce the time to assess new therapy and monitoring.,accept_direct,,,,,"Patient receivesTherapy Therapy is a valid direct relationship in neurointensive care, as patients receive various therapies during ICU stay.",0.95,,,
4,relation,Therapy,targets condition,Condition,Start times and end times will be given for any change in condition.,accept_direct,,,,,Therapy targets Condition is semantically correct; therapies are administered to target and treat conditions in ICU care.,0.95,,,
5,relation,Monitoring Data,monitoring indicates condition,Condition,A pilot data collection of minute by minute physiological monitoring data was also performed.,revise,4.4,Monitoring Data,isAssociatedWith,Condition,Monitoring Data and Condition are not directly related; revise to 'Monitoring Data isRelatedTo Condition' to reflect indirect monitoring relationship.,0.85,Monitoring Data and Condition are indirectly related; 'isAssociatedWith' reflects the indirect monitoring relationship.,0.95,
6,relation,Patient,has clinical assessment,Clinical Assessment,Recruiting patients from multiple centres will significantly reduce the time to assess new therapy and monitoring.,accept_direct,,,,,Patient hasClinicalAssessment Clinical Assessment is valid; Clinical Assessment is a superclass for evaluations performed during ICU stay.,0.95,,,
7,relation,Patient,has outcome,Outcome,Recruiting patients from multiple centres will significantly reduce the time to assess new therapy and monitoring.,accept_direct,,,,,Patient hasOutcome Outcome is semantically correct; Outcome is a valid class for patient outcomes in neurointensive care.,0.95,,,
8,relation,Patient,has laboratory value,Laboratory Values,Recruiting patients from multiple centres will significantly reduce the time to assess new therapy and monitoring.,revise,4.4,Patient,hasLaboratoryValue,Analyte,"Laboratory Values is a panel, not an analyte; Patient should have individual analytes as laboratory values, revise relation or endpoint.",0.85,"Patient should have individual analytes as laboratory values, not the panel Laboratory Values.",0.95,
9,relation,Patient,has nursing intervention,Nursing Intervention,Recruiting patients from multiple centres will significantly reduce the time to assess new therapy and monitoring.,accept_direct,,,,,Patient hasNursingIntervention Nursing Intervention is semantically correct; patients receive nursing interventions as part of neurointensive care.,0.95,,,
