metric,value
coverage,0.12903225806451613
precision,0.3870967741935484
recall,0.12903225806451613
errors,{"hallucinations": 0, "plausible_out_of_ontology": 19, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,14
structural.hierarchy_coverage,0.6774193548387096
extraction_only.coverage,0.12903225806451613
extraction_only.precision,0.27906976744186046
extraction_only.recall,0.12903225806451613
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,10
extraction_only.structural.hierarchy_coverage,0.3488372093023256
extraction_only.relations.n_generated,24
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.1667
extraction_only.relations.recall,0.1667
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,False
extraction_only.relations.per_gold_relation.targets condition,False
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.12903225806451613
clinical_only.precision,0.3870967741935484
clinical_only.recall,0.12903225806451613
relations.n_generated,21
relations.n_gold,18
relations.precision,0.2381
relations.recall,0.2222
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,False
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,False
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,14
hierarchy.n_gold,76
hierarchy.precision,0.0
hierarchy.recall,0.0
hierarchy.matched,0
by_stratum.core.n_generated,29
by_stratum.core.precision,0.41379310344827586
by_stratum.core.recall,0.12903225806451613
by_stratum.core.coverage,0.12903225806451613
by_stage.extraction.n_classes,43
by_stage.extraction.n_relations,24
by_stage.extraction.n_hierarchy,10
by_stage.extraction.coverage,0.129
by_stage.extraction.precision,0.2791
by_stage.extraction.recall,0.129
by_stage.extraction.relation_recall,0.1111
by_stage.extraction.relation_precision,0.125
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,43
by_stage.after_text_grounded.n_relations,30
by_stage.after_text_grounded.n_hierarchy,24
by_stage.after_text_grounded.coverage,0.129
by_stage.after_text_grounded.precision,0.2791
by_stage.after_text_grounded.recall,0.129
by_stage.after_text_grounded.relation_recall,0.1667
by_stage.after_text_grounded.relation_precision,0.1333
by_stage.after_text_grounded.hierarchy_recall,0.0
by_stage.after_text_grounded.hierarchy_precision,0.0
by_stage.after_cleanup.n_classes,31
by_stage.after_cleanup.n_relations,19
by_stage.after_cleanup.n_hierarchy,14
by_stage.after_cleanup.coverage,0.129
by_stage.after_cleanup.precision,0.3871
by_stage.after_cleanup.recall,0.129
by_stage.after_cleanup.relation_recall,0.2222
by_stage.after_cleanup.relation_precision,0.2632
by_stage.after_cleanup.hierarchy_recall,0.0
by_stage.after_cleanup.hierarchy_precision,0.0
by_stage.after_orphan_rescue.n_classes,31
by_stage.after_orphan_rescue.n_relations,21
by_stage.after_orphan_rescue.n_hierarchy,14
by_stage.after_orphan_rescue.coverage,0.129
by_stage.after_orphan_rescue.precision,0.3871
by_stage.after_orphan_rescue.recall,0.129
by_stage.after_orphan_rescue.relation_recall,0.2222
by_stage.after_orphan_rescue.relation_precision,0.2381
by_stage.after_orphan_rescue.hierarchy_recall,0.0
by_stage.after_orphan_rescue.hierarchy_precision,0.0
by_stage.after_llm_refinement.n_classes,31
by_stage.after_llm_refinement.n_relations,21
by_stage.after_llm_refinement.n_hierarchy,14
by_stage.after_llm_refinement.coverage,0.129
by_stage.after_llm_refinement.precision,0.3871
by_stage.after_llm_refinement.recall,0.129
by_stage.after_llm_refinement.relation_recall,0.2222
by_stage.after_llm_refinement.relation_precision,0.2381
by_stage.after_llm_refinement.hierarchy_recall,0.0
by_stage.after_llm_refinement.hierarchy_precision,0.0
