metric,value
coverage,0.17204301075268819
precision,0.45714285714285713
recall,0.17204301075268819
errors,{"hallucinations": 0, "plausible_out_of_ontology": 19, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,13
structural.hierarchy_coverage,0.5142857142857142
extraction_only.coverage,0.15053763440860216
extraction_only.precision,0.42424242424242425
extraction_only.recall,0.15053763440860216
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,10
extraction_only.structural.hierarchy_coverage,0.45454545454545453
extraction_only.relations.n_generated,19
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.6316
extraction_only.relations.recall,0.3889
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,False
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,False
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.17204301075268819
clinical_only.precision,0.45714285714285713
clinical_only.recall,0.17204301075268819
relations.n_generated,18
relations.n_gold,18
relations.precision,0.6667
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,False
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,13
hierarchy.n_gold,76
hierarchy.precision,0.1538
hierarchy.recall,0.0263
hierarchy.matched,2
by_stratum.core.n_generated,26
by_stratum.core.precision,0.5384615384615384
by_stratum.core.recall,0.15053763440860216
by_stratum.core.coverage,0.15053763440860216
by_stage.extraction.n_classes,33
by_stage.extraction.n_relations,19
by_stage.extraction.n_hierarchy,10
by_stage.extraction.coverage,0.1505
by_stage.extraction.precision,0.4242
by_stage.extraction.recall,0.1505
by_stage.extraction.relation_recall,0.4444
by_stage.extraction.relation_precision,0.5789
by_stage.extraction.hierarchy_recall,0.0
by_stage.extraction.hierarchy_precision,0.0
by_stage.after_text_grounded.n_classes,42
by_stage.after_text_grounded.n_relations,33
by_stage.after_text_grounded.n_hierarchy,12
by_stage.after_text_grounded.coverage,0.1613
by_stage.after_text_grounded.precision,0.3571
by_stage.after_text_grounded.recall,0.1613
by_stage.after_text_grounded.relation_recall,0.4444
by_stage.after_text_grounded.relation_precision,0.3939
by_stage.after_text_grounded.hierarchy_recall,0.0
by_stage.after_text_grounded.hierarchy_precision,0.0
by_stage.after_cleanup.n_classes,36
by_stage.after_cleanup.n_relations,18
by_stage.after_cleanup.n_hierarchy,14
by_stage.after_cleanup.coverage,0.172
by_stage.after_cleanup.precision,0.4444
by_stage.after_cleanup.recall,0.172
by_stage.after_cleanup.relation_recall,0.3889
by_stage.after_cleanup.relation_precision,0.6667
by_stage.after_cleanup.hierarchy_recall,0.0263
by_stage.after_cleanup.hierarchy_precision,0.1429
by_stage.after_orphan_rescue.n_classes,36
by_stage.after_orphan_rescue.n_relations,18
by_stage.after_orphan_rescue.n_hierarchy,16
by_stage.after_orphan_rescue.coverage,0.172
by_stage.after_orphan_rescue.precision,0.4444
by_stage.after_orphan_rescue.recall,0.172
by_stage.after_orphan_rescue.relation_recall,0.3889
by_stage.after_orphan_rescue.relation_precision,0.6667
by_stage.after_orphan_rescue.hierarchy_recall,0.0263
by_stage.after_orphan_rescue.hierarchy_precision,0.125
by_stage.after_llm_refinement.n_classes,35
by_stage.after_llm_refinement.n_relations,18
by_stage.after_llm_refinement.n_hierarchy,13
by_stage.after_llm_refinement.coverage,0.172
by_stage.after_llm_refinement.precision,0.4571
by_stage.after_llm_refinement.recall,0.172
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.6667
by_stage.after_llm_refinement.hierarchy_recall,0.0263
by_stage.after_llm_refinement.hierarchy_precision,0.1538
