metric,value
coverage,0.46236559139784944
precision,0.6615384615384615
recall,0.46236559139784944
errors,{"hallucinations": 0, "plausible_out_of_ontology": 22, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,33
structural.hierarchy_coverage,0.6307692307692307
relations.n_generated,63
relations.n_gold,18
relations.precision,0.7302
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,33
hierarchy.n_gold,76
hierarchy.precision,0.4545
hierarchy.recall,0.1974
hierarchy.matched,15
