metric,value
coverage,0.3333333333333333
precision,0.24603174603174602
recall,0.3333333333333333
errors,{"hallucinations": 0, "plausible_out_of_ontology": 95, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,25
structural.hierarchy_coverage,0.2698412698412698
extraction_only.coverage,0.34408602150537637
extraction_only.precision,0.23880597014925373
extraction_only.recall,0.34408602150537637
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,13
extraction_only.structural.hierarchy_coverage,0.14925373134328357
extraction_only.relations.n_generated,122
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.6066
extraction_only.relations.recall,0.6111
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,True
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,True
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,True
extraction_only.relations.per_gold_relation.has laboratory value,True
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,False
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,True
extraction_only.relations.per_gold_relation.produced by sensor,False
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,True
extraction_only.relations.per_gold_relation.affected by treatment,False
clinical_only.coverage,0.3333333333333333
clinical_only.precision,0.24603174603174602
clinical_only.recall,0.3333333333333333
relations.n_generated,114
relations.n_gold,18
relations.precision,0.6754
relations.recall,0.6111
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,True
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,True
relations.per_gold_relation.monitoring indicates condition,True
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,True
relations.per_gold_relation.has laboratory value,True
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,False
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,True
relations.per_gold_relation.produced by sensor,False
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,25
hierarchy.n_gold,76
hierarchy.precision,0.24
hierarchy.recall,0.0789
hierarchy.matched,6
by_stratum.core.n_generated,120
by_stratum.core.precision,0.25
by_stratum.core.recall,0.3225806451612903
by_stratum.core.coverage,0.3225806451612903
by_stage.extraction.n_classes,134
by_stage.extraction.n_relations,122
by_stage.extraction.n_hierarchy,13
by_stage.extraction.coverage,0.3441
by_stage.extraction.precision,0.2388
by_stage.extraction.recall,0.3441
by_stage.extraction.relation_recall,0.6111
by_stage.extraction.relation_precision,0.6066
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.0769
by_stage.after_text_grounded.n_classes,139
by_stage.after_text_grounded.n_relations,132
by_stage.after_text_grounded.n_hierarchy,24
by_stage.after_text_grounded.coverage,0.3441
by_stage.after_text_grounded.precision,0.2302
by_stage.after_text_grounded.recall,0.3441
by_stage.after_text_grounded.relation_recall,0.6111
by_stage.after_text_grounded.relation_precision,0.6136
by_stage.after_text_grounded.hierarchy_recall,0.0789
by_stage.after_text_grounded.hierarchy_precision,0.25
by_stage.after_cleanup.n_classes,129
by_stage.after_cleanup.n_relations,108
by_stage.after_cleanup.n_hierarchy,19
by_stage.after_cleanup.coverage,0.3333
by_stage.after_cleanup.precision,0.2403
by_stage.after_cleanup.recall,0.3333
by_stage.after_cleanup.relation_recall,0.6111
by_stage.after_cleanup.relation_precision,0.6759
by_stage.after_cleanup.hierarchy_recall,0.0789
by_stage.after_cleanup.hierarchy_precision,0.3158
by_stage.after_orphan_rescue.n_classes,129
by_stage.after_orphan_rescue.n_relations,117
by_stage.after_orphan_rescue.n_hierarchy,26
by_stage.after_orphan_rescue.coverage,0.3333
by_stage.after_orphan_rescue.precision,0.2403
by_stage.after_orphan_rescue.recall,0.3333
by_stage.after_orphan_rescue.relation_recall,0.6111
by_stage.after_orphan_rescue.relation_precision,0.6752
by_stage.after_orphan_rescue.hierarchy_recall,0.0789
by_stage.after_orphan_rescue.hierarchy_precision,0.2308
by_stage.after_llm_refinement.n_classes,126
by_stage.after_llm_refinement.n_relations,114
by_stage.after_llm_refinement.n_hierarchy,25
by_stage.after_llm_refinement.coverage,0.3333
by_stage.after_llm_refinement.precision,0.246
by_stage.after_llm_refinement.recall,0.3333
by_stage.after_llm_refinement.relation_recall,0.6111
by_stage.after_llm_refinement.relation_precision,0.6754
by_stage.after_llm_refinement.hierarchy_recall,0.0789
by_stage.after_llm_refinement.hierarchy_precision,0.24
