metric,value
coverage,0.43010752688172044
precision,0.6153846153846154
recall,0.43010752688172044
errors,{"hallucinations": 0, "plausible_out_of_ontology": 25, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,37
structural.hierarchy_coverage,0.6923076923076923
extraction_only.coverage,0.44086021505376344
extraction_only.precision,0.6119402985074627
extraction_only.recall,0.44086021505376344
extraction_only.structural.relation_domain_range_rate,1.0
extraction_only.structural.hierarchy_edges,13
extraction_only.structural.hierarchy_coverage,0.2835820895522388
extraction_only.relations.n_generated,43
extraction_only.relations.n_gold,18
extraction_only.relations.precision,0.6744
extraction_only.relations.recall,0.4444
extraction_only.relations.per_gold_relation.has demographic data,False
extraction_only.relations.per_gold_relation.has surgical procedure,False
extraction_only.relations.per_gold_relation.has monitoring data,True
extraction_only.relations.per_gold_relation.receives therapy,True
extraction_only.relations.per_gold_relation.targets condition,True
extraction_only.relations.per_gold_relation.monitoring indicates condition,False
extraction_only.relations.per_gold_relation.has clinical assessment,True
extraction_only.relations.per_gold_relation.has outcome,False
extraction_only.relations.per_gold_relation.has laboratory value,False
extraction_only.relations.per_gold_relation.has nursing intervention,False
extraction_only.relations.per_gold_relation.has session,True
extraction_only.relations.per_gold_relation.has timepoint,True
extraction_only.relations.per_gold_relation.has observation,False
extraction_only.relations.per_gold_relation.measures parameter,False
extraction_only.relations.per_gold_relation.produced by sensor,True
extraction_only.relations.per_gold_relation.has quality assessment,False
extraction_only.relations.per_gold_relation.associated with condition,False
extraction_only.relations.per_gold_relation.affected by treatment,True
clinical_only.coverage,0.43010752688172044
clinical_only.precision,0.6153846153846154
clinical_only.recall,0.43010752688172044
relations.n_generated,15
relations.n_gold,18
relations.precision,0.6667
relations.recall,0.3889
relations.per_gold_relation.has demographic data,False
relations.per_gold_relation.has surgical procedure,False
relations.per_gold_relation.has monitoring data,True
relations.per_gold_relation.receives therapy,True
relations.per_gold_relation.targets condition,False
relations.per_gold_relation.monitoring indicates condition,False
relations.per_gold_relation.has clinical assessment,True
relations.per_gold_relation.has outcome,False
relations.per_gold_relation.has laboratory value,False
relations.per_gold_relation.has nursing intervention,False
relations.per_gold_relation.has session,True
relations.per_gold_relation.has timepoint,True
relations.per_gold_relation.has observation,False
relations.per_gold_relation.measures parameter,False
relations.per_gold_relation.produced by sensor,True
relations.per_gold_relation.has quality assessment,False
relations.per_gold_relation.associated with condition,True
relations.per_gold_relation.affected by treatment,False
hierarchy.n_generated,37
hierarchy.n_gold,76
hierarchy.precision,0.4054
hierarchy.recall,0.1974
hierarchy.matched,15
by_stratum.core.n_generated,52
by_stratum.core.precision,0.6538461538461539
by_stratum.core.recall,0.3655913978494624
by_stratum.core.coverage,0.3655913978494624
by_stage.extraction.n_classes,67
by_stage.extraction.n_relations,43
by_stage.extraction.n_hierarchy,13
by_stage.extraction.coverage,0.4409
by_stage.extraction.precision,0.6119
by_stage.extraction.recall,0.4409
by_stage.extraction.relation_recall,0.4444
by_stage.extraction.relation_precision,0.6512
by_stage.extraction.hierarchy_recall,0.0132
by_stage.extraction.hierarchy_precision,0.0769
by_stage.after_text_grounded.n_classes,77
by_stage.after_text_grounded.n_relations,57
by_stage.after_text_grounded.n_hierarchy,57
by_stage.after_text_grounded.coverage,0.4839
by_stage.after_text_grounded.precision,0.5844
by_stage.after_text_grounded.recall,0.4839
by_stage.after_text_grounded.relation_recall,0.5
by_stage.after_text_grounded.relation_precision,0.5614
by_stage.after_text_grounded.hierarchy_recall,0.2237
by_stage.after_text_grounded.hierarchy_precision,0.2982
by_stage.after_cleanup.n_classes,65
by_stage.after_cleanup.n_relations,13
by_stage.after_cleanup.n_hierarchy,34
by_stage.after_cleanup.coverage,0.4301
by_stage.after_cleanup.precision,0.6154
by_stage.after_cleanup.recall,0.4301
by_stage.after_cleanup.relation_recall,0.3889
by_stage.after_cleanup.relation_precision,0.6154
by_stage.after_cleanup.hierarchy_recall,0.1974
by_stage.after_cleanup.hierarchy_precision,0.4412
by_stage.after_orphan_rescue.n_classes,65
by_stage.after_orphan_rescue.n_relations,15
by_stage.after_orphan_rescue.n_hierarchy,38
by_stage.after_orphan_rescue.coverage,0.4301
by_stage.after_orphan_rescue.precision,0.6154
by_stage.after_orphan_rescue.recall,0.4301
by_stage.after_orphan_rescue.relation_recall,0.3889
by_stage.after_orphan_rescue.relation_precision,0.6667
by_stage.after_orphan_rescue.hierarchy_recall,0.1974
by_stage.after_orphan_rescue.hierarchy_precision,0.3947
by_stage.after_llm_refinement.n_classes,65
by_stage.after_llm_refinement.n_relations,15
by_stage.after_llm_refinement.n_hierarchy,37
by_stage.after_llm_refinement.coverage,0.4301
by_stage.after_llm_refinement.precision,0.6154
by_stage.after_llm_refinement.recall,0.4301
by_stage.after_llm_refinement.relation_recall,0.3889
by_stage.after_llm_refinement.relation_precision,0.6667
by_stage.after_llm_refinement.hierarchy_recall,0.1974
by_stage.after_llm_refinement.hierarchy_precision,0.4054
